Country Name,HRAssociation,agg_score,count_source,agg_score_wt
Viet Nam,Access,4.642245892042857,7,2.166381416286667
Viet Nam,Access,4.451920957062501,8,2.374357843766667
Viet Nam,"Expression, Association",2.1,1,0.14
