Pillar,Sub-Pillar,Indicator,Country Name,data_col,new_rank_score,higher_is_better
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Suriname,8.523201860103574,2.692691720258505,False
,Connectivity Technology,ISP internet download speed average ,Eswatini,10.13,1.424022346368715,True
Business,Startup Environment,Time required to start a business (days),Sweden,7.5,4.880000000000001,False
,Connectivity Technology,ISP internet download speed average ,Sweden,163.31,5.279444196805976,True
People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),Sweden,6.15,4.212142857142856,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Sweden,22995.0,5.21181059820237,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Sweden,28.47,5.051450932995313,True
Business,Startup Environment,"Amount invested into startups yearly from private, public, blended sources (respectively)",Sweden,39.1649705731172,4.647262220888737,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Sweden,69.70348604840787,1.0,False
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Sweden,4.6647516633522376e-05,4.912960810491491,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Sweden,90.57,5.163476479871068,True
Infrastructure,Innovation Ecosystem,Angel Ecosystem size,Sweden,4.288402041972054,5.080611909451534,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Sweden,7063.95,5.2251751834185365,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Sweden,0.0004071452483133,5.684412943641243,True
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),Sweden,9.728679768539142e-06,5.068672822659553,True
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),Sweden,4.222247019545988e-05,5.0761535599389775,True
People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),Switzerland,5.4,5.020238500851789,False
Infrastructure,Innovation Ecosystem,Angel Ecosystem size,Switzerland,3.8016251364386937,4.99,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Switzerland,21.303949937570163,1.8373184437501344,False
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),Switzerland,7.00851750613391e-05,5.99,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Switzerland,109.65,5.322033374743982,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Switzerland,45650.70000000001,5.507974629643489,True
Business,Startup Environment,"Amount invested into startups yearly from private, public, blended sources (respectively)",Switzerland,64.5527471204103,5.054281516432148,True
,Connectivity Technology,ISP internet download speed average ,Switzerland,214.82,5.67135692217833,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Switzerland,0.0003036742304325,5.019959814626711,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Switzerland,0.0005375917754289,5.943020002876474,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Switzerland,56.34999999999997,5.187058043215518,True
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),Switzerland,0.0002539858756798,5.725150500693588,True
Business,Startup Environment,Time required to start a business (days),Switzerland,10.0,4.33,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Switzerland,17580.95,5.750430318713796,True
,Connectivity Technology,ISP internet download speed average ,Syrian Arab Republic (the),10.28,1.43554469273743,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Syrian Arab Republic (the),22.39,2.160844343517754,True
Business,Startup Environment,Time required to start a business (days),Syrian Arab Republic (the),15.5,3.282857142857142,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Syrian Arab Republic (the),-19.73,2.0754078702921803,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Syrian Arab Republic (the),-35911.73000000001,1.9052653964380677,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Syrian Arab Republic (the),-1288.0,2.610978019079439,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Syrian Arab Republic (the),1.7574556541214794e-07,2.109018576793892,True
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),Syrian Arab Republic (the),5.8581855137382654e-08,1.6090187189836027,True
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),Syrian Arab Republic (the),5.8581855137382654e-08,2.0091568118779155,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Syrian Arab Republic (the),5.445733267984534e-06,2.3686906021179563,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Taiwan,,0.0,True
People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),Taiwan,8.08,2.2032699619771856,False
,Connectivity Technology,ISP internet download speed average ,Taiwan,147.13,5.156339015355293,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Taiwan,74.62,5.03093022865393,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Taiwan,-19.86,2.064539773686877,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Taiwan,-11086.15,2.46183108041918,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Taiwan,-4380.3,1.94465065969546,True
,Connectivity Technology,ISP internet download speed average ,Tajikistan,32.37,3.1015855468170352,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Tajikistan,0.0,1.0,True
Business,Startup Environment,Time required to start a business (days),Tajikistan,7.0,5.0,False
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Tajikistan,15.16,1.5930455125478518,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Tajikistan,7.20513005259745e-06,2.7064455241131817,True
,Connectivity Technology,ISP internet download speed average ,United Republic of Tanzania (the),16.86,1.940991620111732,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",United Republic of Tanzania (the),-186.22000000000003,3.512866251469493,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,United Republic of Tanzania (the),14.14,1.5214589536367504,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",United Republic of Tanzania (the),-0.8400000000000001,3.760434782608696,True
Business,Startup Environment,Time required to start a business (days),United Republic of Tanzania (the),29.5,1.9708913387011815,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",United Republic of Tanzania (the),-7742.66,2.7873907583506146,True
Business,Startup Environment,Time required to start a business (days),Thailand,6.0,5.1523076923076925,False
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Thailand,2.5445790679011137e-05,4.128174779930528,True
,Connectivity Technology,ISP internet download speed average ,Thailand,216.16,5.681552283312071,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Thailand,-3.8,3.4773043478260868,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Thailand,-1131.33,2.679164285400273,True
People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),Thailand,8.44,1.9270318021201411,False
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Thailand,2.0969304371047187e-06,3.228266683258399,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Thailand,48.89,4.172993850307485,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Thailand,5.5047725086675525,3.452147559108228,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Thailand,-4013.419999999999,3.296616770200109,True
,Connectivity Technology,ISP internet download speed average ,Bahamas (the),55.04,3.934175693723105,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Bahamas (the),34.67,3.3004764680169023,True
,Connectivity Technology,ISP internet download speed average ,Gambia (the),10.8,1.4754888268156423,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Timor-Leste,6.724949562878279e-05,5.001449995049701,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Timor-Leste,2.730495539432148,4.383949549681283,False
Business,Startup Environment,Time required to start a business (days),Timor-Leste,13.0,3.724821428571429,False
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Togo,0.7730647802919697,5.069736846913457,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Togo,-2617.35,3.5478214029050923,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Togo,1.838573267144696e-05,3.722248152640888,True
Business,Startup Environment,Time required to start a business (days),Togo,2.5,5.685384615384615,False
,Connectivity Technology,ISP internet download speed average ,Togo,21.61,2.3362696183710554,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Togo,-17.84,2.2334132747846644,True
Business,Startup Environment,Time required to start a business (days),Tonga,16.0,3.194464285714285,False
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Tonga,2.838301938560224,4.349545807803899,False
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Trinidad and Tobago,0.0507827488708394,5.933242358602897,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Trinidad and Tobago,-267.93,3.33138298349681,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Trinidad and Tobago,2.1505854251958287e-06,3.241774129389325,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Trinidad and Tobago,-13.81,2.5703242695490625,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Trinidad and Tobago,0.0003898635477582,5.026707622610884,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Trinidad and Tobago,38.32,3.5637359755209093,True
Business,Startup Environment,Time required to start a business (days),Trinidad and Tobago,10.5,4.220000000000001,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Trinidad and Tobago,-6811.779999999999,2.878031673380363,True
,Connectivity Technology,ISP internet download speed average ,Trinidad and Tobago,89.61,4.4672745708491615,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Tunisia,-77.31999999999998,1.486797934151065,True
Business,Startup Environment,Time required to start a business (days),Tunisia,9.0,4.550000000000001,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Tunisia,-52584.45999999999,1.834918023502872,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Tunisia,-8861.94,1.824281676247464,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Tunisia,9.405953335697364e-07,2.773237755507241,True
,Connectivity Technology,ISP internet download speed average ,Tunisia,9.45,1.3717877094972066,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Tunisia,7.615103559485551,2.851727273131136,False
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Tunisia,1.2873326467559218e-05,3.311952035077158,True
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),Tunisia,1.710173333763157e-07,2.2909029819407545,True
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),Tunisia,7.524762668557891e-06,4.15603827854858,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Tunisia,30.8,3.021349264170188,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Turkey,-26427.23,1.945283417398274,True
Infrastructure,Innovation Ecosystem,Angel Ecosystem size,Turkey,0.2548256040568428,1.5350469183022906,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Turkey,45.42,4.044176541172941,True
Business,Startup Environment,Time required to start a business (days),Turkey,7.0,5.0,False
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Turkey,6.496628249938282e-06,2.5704330150626595,True
,Connectivity Technology,ISP internet download speed average ,Turkey,38.58,3.329657219171984,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Turkey,2.466750202958525e-05,4.340710758200956,True
Government,Digital Public Services,Security incidents (# of relevant issues),Turkey,0.0355707041435495,4.947085679449275,False
People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),Turkey,7.57,2.683212927756654,False
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),Turkey,1.0907398856619329e-06,3.450002419760088,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Turkey,-7094.599999999997,1.8717493263056972,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Turkey,7.386849560477115,2.891701470751581,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Turkey,-19.01,2.135600405336936,True
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),Turkey,4.818433341056012e-06,3.783204500503405,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Turkmenistan,1.682908415787431e-07,2.102544664205689,True
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),Turkmenistan,0.0,1.0,True
,Connectivity Technology,ISP internet download speed average ,Turkmenistan,4.61,1.0,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Turkmenistan,3.647706496250241,4.091244392467103,False
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),Turkmenistan,0.0,1.0,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Tuvalu,0.8480325644504749,4.984690978843215,False
People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),United Arab Emirates (the),7.24,3.004419642857142,False
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Uganda,4.517774245330095e-08,1.890770100904105,True
,Connectivity Technology,ISP internet download speed average ,Uganda,14.72,1.7766061452513964,True
Business,Startup Environment,Time required to start a business (days),Uganda,24.0,2.181965423111923,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Uganda,-333.88000000000005,3.1849037089551566,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Uganda,0.5465556065674122,5.340534002942022,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Uganda,0.7799999999999998,3.915391304347826,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Uganda,-5717.620000000004,2.9845713601165147,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Uganda,4.987033712347895e-06,2.280633130382049,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Uganda,17.07,1.7270948532539343,True
Government,Digital Public Services,Security incidents (# of relevant issues),Ukraine,0.3398686833507599,2.0513623613948324,False
Business,Startup Environment,Time required to start a business (days),Ukraine,6.5,5.076153846153846,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Ukraine,-21804.740000000005,1.9647871236251016,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Ukraine,6.276241685877366,3.1880494643740294,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Ukraine,-25.92,1.9430600387346677,True
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),Ukraine,2.883778997721432e-06,3.319870815072293,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Ukraine,2.761477390403866e-05,4.208460117981531,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Ukraine,-4900.900000000001,1.930668257542894,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Ukraine,31.04,3.038659478362232,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Ukraine,4.145432309224558e-06,3.743969503651809,True
,Connectivity Technology,ISP internet download speed average ,Ukraine,73.08,4.2335665933563735,True
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),Ukraine,8.5612188994855e-07,3.285225325835918,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",United Arab Emirates (the),18635.00999999999,5.80307369875652,True
Business,Startup Environment,Time required to start a business (days),United Arab Emirates (the),3.8,5.487384615384616,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",United Arab Emirates (the),72.07999999999998,5.263568080653244,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,United Arab Emirates (the),190.03,5.99,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",United Arab Emirates (the),32749.08999999999,5.339319817402815,True
,Connectivity Technology,ISP internet download speed average ,United Arab Emirates (the),190.96,5.489818626170092,True
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),United Arab Emirates (the),3.070459052051036e-07,2.631769848273056,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,United Arab Emirates (the),7.0402703463813e-05,5.001696861386101,True
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),United Arab Emirates (the),1.535229526025518e-06,2.981192609736072,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),United Arab Emirates (the),1.105365258738373e-05,4.103389781195436,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",United Arab Emirates (the),13.54849146647254,1.971488911886793,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",United Kingdom of Great Britain and Northern Ireland (the),13.72,4.737105069801617,True
People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),United Kingdom of Great Britain and Northern Ireland (the),6.26,4.094285714285714,False
Business,Startup Environment,Time required to start a business (days),United Kingdom of Great Britain and Northern Ireland (the),4.5,5.380769230769231,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",United Kingdom of Great Britain and Northern Ireland (the),862.6000000000012,4.1456143622920365,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,United Kingdom of Great Britain and Northern Ireland (the),79.01,5.067411610650371,True
,Connectivity Technology,ISP internet download speed average ,United Kingdom of Great Britain and Northern Ireland (the),93.73,4.525524835051841,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",United Kingdom of Great Britain and Northern Ireland (the),2810.5299999999984,5.012744766230407,True
Business,Startup Environment,"Amount invested into startups yearly from private, public, blended sources (respectively)",United Kingdom of Great Britain and Northern Ireland (the),50.12211085476585,5.015545953203525,True
