Country Name,Indicator,data_col,new_rank_score,higher_is_better
Angola,Digital payments penetration,,,True
Burundi,Digital payments penetration,,,True
Cabo Verde,Digital payments penetration,,,True
Chad,Digital payments penetration,,,True
Eswatini,Digital payments penetration,,,True
Gambia,Digital payments penetration,,,True
Iceland,Digital payments penetration,,,True
Jamaica,Digital payments penetration,,,True
Madagascar,Digital payments penetration,,,True
Oman,Digital payments penetration,,,True
Qatar,Digital payments penetration,,,True
Yemen,Digital payments penetration,,,True
