Country Name,Country Code,Indicator,data_col,new_rank_score,higher_is_better
St. Lucia,LCA,Time required to start a business (days),1.0,1.0,True
St. Martin (French part),MAF,Time required to start a business (days),,,True
St. Vincent and the Grenadines,VCT,Time required to start a business (days),2.0,2.666666666666667,True
Sudan,SDN,Time required to start a business (days),1.0,1.0,True
Suriname,SUR,Time required to start a business (days),1.0,1.0,True
Sweden,SWE,Time required to start a business (days),2.0,2.666666666666667,True
Switzerland,CHE,Time required to start a business (days),2.0,2.666666666666667,True
Syrian Arab Republic,SYR,Time required to start a business (days),1.0,1.0,True
Tajikistan,TJK,Time required to start a business (days),2.0,2.666666666666667,True
Tanzania,TZA,Time required to start a business (days),1.0,1.0,True
Thailand,THA,Time required to start a business (days),2.0,2.666666666666667,True
Timor-Leste,TLS,Time required to start a business (days),1.0,1.0,True
Togo,TGO,Time required to start a business (days),3.0,4.333333333333334,True
Tonga,TON,Time required to start a business (days),1.0,1.0,True
Trinidad and Tobago,TTO,Time required to start a business (days),2.0,2.666666666666667,True
Tunisia,TUN,Time required to start a business (days),2.0,2.666666666666667,True
Turkey,TUR,Time required to start a business (days),2.0,2.666666666666667,True
Turkmenistan,TKM,Time required to start a business (days),,,True
Turks and Caicos Islands,TCA,Time required to start a business (days),,,True
Tuvalu,TUV,Time required to start a business (days),,,True
Uganda,UGA,Time required to start a business (days),1.0,1.0,True
Ukraine,UKR,Time required to start a business (days),2.0,2.666666666666667,True
United Arab Emirates,ARE,Time required to start a business (days),3.0,4.333333333333334,True
United Kingdom,GBR,Time required to start a business (days),3.0,4.333333333333334,True
United States,USA,Time required to start a business (days),3.0,4.333333333333334,True
Uruguay,URY,Time required to start a business (days),2.0,2.666666666666667,True
Uzbekistan,UZB,Time required to start a business (days),3.0,4.333333333333334,True
Vanuatu,VUT,Time required to start a business (days),1.0,1.0,True
"Venezuela, RB",VEN,Time required to start a business (days),1.0,1.0,True
Vietnam,VNM,Time required to start a business (days),1.0,1.0,True
Virgin Islands (U.S.),VIR,Time required to start a business (days),,,True
West Bank and Gaza,PSE,Time required to start a business (days),1.0,1.0,True
"Yemen, Rep.",YEM,Time required to start a business (days),1.0,1.0,True
Zambia,ZMB,Time required to start a business (days),2.0,2.666666666666667,True
Zimbabwe,ZWE,Time required to start a business (days),1.0,1.0,True
Africa Eastern and Southern,AFE,Time required to start a business (days),1.0,1.0,True
Africa Western and Central,AFW,Time required to start a business (days),1.0,1.0,True
Arab World,ARB,Time required to start a business (days),1.0,1.0,True
Caribbean small states,CSS,Time required to start a business (days),1.0,1.0,True
Central Europe and the Baltics,CEB,Time required to start a business (days),1.0,1.0,True
Early-demographic dividend,EAR,Time required to start a business (days),1.0,1.0,True
East Asia & Pacific,EAS,Time required to start a business (days),1.0,1.0,True
East Asia & Pacific (excluding high income),EAP,Time required to start a business (days),1.0,1.0,True
East Asia & Pacific (IDA & IBRD countries),TEA,Time required to start a business (days),1.0,1.0,True
Euro area,EMU,Time required to start a business (days),2.0,2.666666666666667,True
Europe & Central Asia,ECS,Time required to start a business (days),1.0,1.0,True
Europe & Central Asia (excluding high income),ECA,Time required to start a business (days),1.0,1.0,True
Europe & Central Asia (IDA & IBRD countries),TEC,Time required to start a business (days),1.0,1.0,True
European Union,EUU,Time required to start a business (days),1.0,1.0,True
Fragile and conflict affected situations,FCS,Time required to start a business (days),1.0,1.0,True
Heavily indebted poor countries (HIPC),HPC,Time required to start a business (days),1.0,1.0,True
High income,HIC,Time required to start a business (days),2.0,2.666666666666667,True
IBRD only,IBD,Time required to start a business (days),1.0,1.0,True
IDA & IBRD total,IBT,Time required to start a business (days),1.0,1.0,True
IDA blend,IDB,Time required to start a business (days),1.0,1.0,True
IDA only,IDX,Time required to start a business (days),1.0,1.0,True
IDA total,IDA,Time required to start a business (days),1.0,1.0,True
Late-demographic dividend,LTE,Time required to start a business (days),1.0,1.0,True
Latin America & Caribbean,LCN,Time required to start a business (days),1.0,1.0,True
