Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,HRAssociation
Poland,2019.0,Internet Usage,80.43590724,5.021795362000001,True,Access
Portugal,2019.0,Internet Usage,75.34637155,4.7673185775,True,Access
Romania,2019.0,Internet Usage,73.65747575,4.6828737875,True,Access
San Marino,2019.0,Internet Usage,,,True,Access
Serbia,2019.0,Internet Usage,77.41677362,4.870838681,True,Access
Slovakia,2019.0,Internet Usage,82.8536605,5.142683025,True,Access
Slovenia,2019.0,Internet Usage,83.1083578,5.15541789,True,Access
Spain,2019.0,Internet Usage,90.71866533,5.5359332665,True,Access
Sweden,2019.0,Internet Usage,94.49344341,5.7246721705,True,Access
Switzerland,2019.0,Internet Usage,93.14608695,5.657304347499999,True,Access
Turkey,2019.0,Internet Usage,73.97670281,4.6988351405,True,Access
Ukraine,2019.0,Internet Usage,70.1248443,4.506242215,True,Access
United Kingdom,2019.0,Internet Usage,92.51662855,5.6258314275,True,Access
Vatican,2019.0,Internet Usage,,,True,Access
Antigua and Barbuda,2019.0,Internet Usage,,,True,Access
Argentina,2019.0,Internet Usage,79.9,4.995,True,Access
Barbados,2019.0,Internet Usage,,,True,Access
Bolivia (Plurinational State of),2019.0,Internet Usage,47.47481911,3.3737409554999997,True,Access
Brazil,2019.0,Internet Usage,73.91244005,4.6956220025,True,Access
Colombia,2019.0,Internet Usage,65.00690072,4.250345036000001,True,Access
Costa Rica,2019.0,Internet Usage,81.20259644,5.0601298219999995,True,Access
Cuba,2019.0,Internet Usage,67.97080866,4.398540433,True,Access
Dominica,2019.0,Internet Usage,,,True,Access
El Salvador,2019.0,Internet Usage,50.49119319,3.5245596595,True,Access
Grenada,2019.0,Internet Usage,,,True,Access
Guatemala,2019.0,Internet Usage,44.40104984,3.2200524919999998,True,Access
Guyana,2019.0,Internet Usage,,,True,Access
Honduras,2019.0,Internet Usage,39.39,2.9695,True,Access
Jamaica,2019.0,Internet Usage,,,True,Access
Mexico,2019.0,Internet Usage,70.06991047,4.5034955235,True,Access
Panama,2019.0,Internet Usage,63.62841477,4.1814207385,True,Access
Paraguay,2019.0,Internet Usage,68.51762842,4.425881421,True,Access
Peru,2019.0,Internet Usage,59.95050106,3.997525053,True,Access
Saint Kitts and Nevis,2019.0,Internet Usage,,,True,Access
Saint Lucia,2019.0,Internet Usage,,,True,Access
Saint Vincent and the Grenadines,2019.0,Internet Usage,,,True,Access
Trinidad and Tobago,2019.0,Internet Usage,,,True,Access
United States,2019.0,Internet Usage,89.43028486,5.4715142430000006,True,Access
Uruguay,2019.0,Internet Usage,83.35153377,5.1675766885000005,True,Access
Venezuela,2019.0,Internet Usage,,,True,Access
