Country Code,Country Name,Indicator,data_col,new_rank_score,higher_is_better
AFG,Afghanistan,Country rank and value in the UNCTAD B2C E-commerce Index,132.0,1.4195804195804191,True
AGO,Angola,Country rank and value in the UNCTAD B2C E-commerce Index,113.0,2.0839160839160833,True
ALB,Albania,Country rank and value in the UNCTAD B2C E-commerce Index,59.0,3.972027972027972,True
ARE,United Arab Emirates,Country rank and value in the UNCTAD B2C E-commerce Index,23.0,5.230769230769231,True
ARG,Argentina,Country rank and value in the UNCTAD B2C E-commerce Index,81.0,3.202797202797203,True
ARM,Armenia,Country rank and value in the UNCTAD B2C E-commerce Index,78.0,3.3076923076923075,True
AUS,Australia,Country rank and value in the UNCTAD B2C E-commerce Index,14.0,5.545454545454545,True
AUT,Austria,Country rank and value in the UNCTAD B2C E-commerce Index,17.0,5.44055944055944,True
AZE,Azerbaijan,Country rank and value in the UNCTAD B2C E-commerce Index,68.0,3.6573426573426575,True
BDI,Burundi,Country rank and value in the UNCTAD B2C E-commerce Index,140.0,1.13986013986014,True
BEL,Belgium,Country rank and value in the UNCTAD B2C E-commerce Index,22.0,5.265734265734266,True
BEN,Benin,Country rank and value in the UNCTAD B2C E-commerce Index,138.0,1.20979020979021,True
BFA,Burkina Faso,Country rank and value in the UNCTAD B2C E-commerce Index,128.0,1.5594405594405591,True
BGD,Bangladesh,Country rank and value in the UNCTAD B2C E-commerce Index,103.0,2.4335664335664333,True
BGR,Bulgaria,Country rank and value in the UNCTAD B2C E-commerce Index,50.0,4.286713286713287,True
BHR,Bahrain,Country rank and value in the UNCTAD B2C E-commerce Index,,,True
BIH,Bosnia and Herzegovina,Country rank and value in the UNCTAD B2C E-commerce Index,52.0,4.216783216783217,True
BLR,Belarus,Country rank and value in the UNCTAD B2C E-commerce Index,44.0,4.496503496503497,True
BLZ,Belize,Country rank and value in the UNCTAD B2C E-commerce Index,77.0,3.3426573426573425,True
BOL,Bolivia,Country rank and value in the UNCTAD B2C E-commerce Index,,,True
BRA,Brazil,Country rank and value in the UNCTAD B2C E-commerce Index,62.0,3.867132867132867,True
BTN,Bhutan,Country rank and value in the UNCTAD B2C E-commerce Index,100.0,2.5384615384615383,True
BWA,Botswana,Country rank and value in the UNCTAD B2C E-commerce Index,87.0,2.9930069930069934,True
CAN,Canada,Country rank and value in the UNCTAD B2C E-commerce Index,15.0,5.51048951048951,True
CHE,Switzerland,Country rank and value in the UNCTAD B2C E-commerce Index,2.0,5.965034965034965,True
CHL,Chile,Country rank and value in the UNCTAD B2C E-commerce Index,54.0,4.146853146853147,True
CHN,China,Country rank and value in the UNCTAD B2C E-commerce Index,65.0,3.762237762237762,True
CIV,Cote d'Ivoire,Country rank and value in the UNCTAD B2C E-commerce Index,,,True
CMR,Cameroon,Country rank and value in the UNCTAD B2C E-commerce Index,107.0,2.2937062937062933,True
COG,"Congo, Rep.",Country rank and value in the UNCTAD B2C E-commerce Index,135.0,1.314685314685315,True
COL,Colombia,Country rank and value in the UNCTAD B2C E-commerce Index,71.0,3.5524475524475525,True
COM,Comoros,Country rank and value in the UNCTAD B2C E-commerce Index,141.0,1.104895104895105,True
CRI,Costa Rica,Country rank and value in the UNCTAD B2C E-commerce Index,61.0,3.902097902097902,True
CYP,Cyprus,Country rank and value in the UNCTAD B2C E-commerce Index,27.0,5.090909090909091,True
CZE,Czech Republic,Country rank and value in the UNCTAD B2C E-commerce Index,29.0,5.020979020979021,True
DEU,Germany,Country rank and value in the UNCTAD B2C E-commerce Index,9.0,5.72027972027972,True
DJI,Djibouti,Country rank and value in the UNCTAD B2C E-commerce Index,129.0,1.5244755244755241,True
DNK,Denmark,Country rank and value in the UNCTAD B2C E-commerce Index,13.0,5.58041958041958,True
DOM,Dominican Republic,Country rank and value in the UNCTAD B2C E-commerce Index,88.0,2.9580419580419584,True
DZA,Algeria,Country rank and value in the UNCTAD B2C E-commerce Index,97.0,2.6433566433566433,True
ECU,Ecuador,Country rank and value in the UNCTAD B2C E-commerce Index,91.0,2.8531468531468533,True
EGY,"Egypt, Arab Rep.",Country rank and value in the UNCTAD B2C E-commerce Index,116.0,1.9790209790209792,True
ESP,Spain,Country rank and value in the UNCTAD B2C E-commerce Index,33.0,4.881118881118881,True
EST,Estonia,Country rank and value in the UNCTAD B2C E-commerce Index,21.0,5.300699300699301,True
ETH,Ethiopia,Country rank and value in the UNCTAD B2C E-commerce Index,133.0,1.384615384615385,True
FIN,Finland,Country rank and value in the UNCTAD B2C E-commerce Index,12.0,5.615384615384615,True
FRA,France,Country rank and value in the UNCTAD B2C E-commerce Index,20.0,5.335664335664336,True
GAB,Gabon,Country rank and value in the UNCTAD B2C E-commerce Index,110.0,2.1888111888111883,True
GBR,United Kingdom,Country rank and value in the UNCTAD B2C E-commerce Index,6.0,5.825174825174825,True
GEO,Georgia,Country rank and value in the UNCTAD B2C E-commerce Index,70.0,3.5874125874125875,True
