Country,Ethnicity,Percent of population
Uganda,Bakiga,7.1
Uganda,Iteso,7
Uganda,Langi,6.3
Uganda,Bagisu,4.9
Uganda,Acholi,4.4
Uganda,Lugbara,3.3
Uganda,Other,32.1
Ukraine,Ukrainian,77.8
Ukraine,Russian,17.3
Ukraine,Belarusian,0.6
Ukraine,Moldovan,0.5
Ukraine,Crimean tatar,0.5
Ukraine,Bulgarian,0.4
Ukraine,Hungarian,0.3
Ukraine,Romanian,0.3
Ukraine,Polish,0.3
Ukraine,Jewish,0.2
Ukraine,Other,1.8
Uruguay,White,87.7
Uruguay,Black,4.6
Uruguay,Indigenous,2.4
Uruguay,Other,0.3
Uruguay,None or unspecified,5
United States of America (the),White,61.6
United States of America (the),Black or african american,12.4
United States of America (the),Asian,6
United States of America (the),Amerindian and alaska native,1.1
United States of America (the),Native hawaiian and other pacific islander,0.2
United States of America (the),Other,8.4
United States of America (the),Two or more races,10.2
Uzbekistan,Uzbek,83.8
Uzbekistan,Tajik,4.8
Uzbekistan,Kazakh,2.5
Uzbekistan,Russian,2.3
Uzbekistan,Karakalpak,2.2
Uzbekistan,Tatar,1.5
Uzbekistan,Other,2.9
Holy See (the) *,Italian,
Holy See (the) *,Swiss,
Holy See (the) *,Argentinian,
Holy See (the) *,And other nationalities from around the world,
Saint Vincent and the Grenadines,African descent,71.2
Saint Vincent and the Grenadines,Mixed,23
Saint Vincent and the Grenadines,Indigenous,3
Saint Vincent and the Grenadines,East indian/indian,1.1
Saint Vincent and the Grenadines,European,1.5
Saint Vincent and the Grenadines,Other,0.2
Venezuela (Bolivarian Republic of),Unspecified spanish,
Venezuela (Bolivarian Republic of),Italian,
Venezuela (Bolivarian Republic of),Portuguese,
Venezuela (Bolivarian Republic of),Arab,
Venezuela (Bolivarian Republic of),German,
Venezuela (Bolivarian Republic of),African,
Venezuela (Bolivarian Republic of),Indigenous,
British Virgin Islands,African/black,76.3
British Virgin Islands,Latino,5.5
British Virgin Islands,White,5.4
British Virgin Islands,Mixed,5.3
British Virgin Islands,Indian,2.1
British Virgin Islands,East indian,1.6
British Virgin Islands,Other,3
British Virgin Islands,Unspecified,0.8
United States Virgin Islands,Black,76
United States Virgin Islands,White,15.6
United States Virgin Islands,Asian,1.4
United States Virgin Islands,Other,4.9
United States Virgin Islands,Mixed,2.1
Viet Nam,Kinh (viet),85.3
Viet Nam,Tay,1.9
Viet Nam,Thai,1.9
Viet Nam,Muong,1.5
Viet Nam,Khmer,1.4
Viet Nam,Mong,1.4
Viet Nam,Nung,1.1
Viet Nam,Other,5.5
Vanuatu,Melanesian,99.2
Vanuatu,Non-melanesian,0.8
Wallis and Futuna Islands,Polynesian,
Samoa,Samoan,96
Samoa,Samoan/new zealander,2
Samoa,Other,1.9
Kosovo (UNSCR 1244),Albanians,92.9
Kosovo (UNSCR 1244),Bosniaks,1.6
Kosovo (UNSCR 1244),Serbs,1.5
Kosovo (UNSCR 1244),Turk,1.1
Kosovo (UNSCR 1244),Ashkali,0.9
Kosovo (UNSCR 1244),Egyptian,0.7
Kosovo (UNSCR 1244),Gorani,0.6
Kosovo (UNSCR 1244),Romani,0.5
Kosovo (UNSCR 1244),Other/unspecified,0.2
Yemen,Predominantly arab; but also afro-arab,
Yemen,South asian,
Yemen,European,
South Africa,Black african,80.9
South Africa,Colored,8.8
South Africa,White,7.8
South Africa,Indian/asian,2.6
Zambia,Bemba,21
Zambia,Tonga,13.6
Zambia,Chewa,7.4
Zambia,Lozi,5.7
Zambia,Nsenga,5.3
Zambia,Tumbuka,4.4
Zambia,Ngoni,4
Zambia,Lala,3.1
Zambia,Kaonde,2.9
Zambia,Namwanga,2.8
Zambia,Lunda (north western),2.6
Zambia,Mambwe,2.5
Zambia,Luvale,2.2
Zambia,Lamba,2.1
Zambia,Ushi,1.9
Zambia,Lenje,1.6
Zambia,Bisa,1.6
Zambia,Mbunda,1.2
Zambia,Other,13.8
Zambia,Unspecified,0.4
Zimbabwe,African (predominantly shona; ndebele is the second largest ethnic group),99.4
Zimbabwe,Other,0.4
Zimbabwe,Unspecified,0.2
