Country Name,agg_score,count_source,agg_score_wt
Pakistan,2.4538312120464543,13,2.4538312120464543
Lebanon,2.405657980801124,11,2.0355567529855665
Belize,2.3801948051948054,3,0.5492757242757244
Liberia,2.3707942783829483,12,2.1884254877381064
Togo,2.3593851379974455,11,1.9964028090747616
Nigeria,2.348712165895535,11,1.9873718326808374
Guatemala,2.3408789344296443,12,2.1608113240889026
Iraq,2.3390872791643553,11,1.9792276977544545
Antigua and Barbuda,2.3202684955493944,3,0.5354465758960141
Bangladesh,2.3051972308846813,12,2.127874366970475
Morocco,2.290839499395241,11,1.9384026533344345
Middle East & North Africa,2.2788876109399645,8,1.4023923759630552
Benin,2.2501182202347736,11,1.9039461863525007
Mozambique,2.244284038250888,12,2.0716468045392813
"Egypt, Arab Rep.",2.228094643835022,10,1.713918956796171
Algeria,2.208971269980566,11,1.8691295361374018
South Asia,2.2072959623329247,8,1.3583359768202614
Cote d'Ivoire,2.198975746669624,8,1.353215844104384
Philippines,2.1808484448050374,11,1.8453332994504161
Chad,2.1634055921899145,11,1.8305739626222353
"Korea, Dem. People's Rep.",2.16017316017316,2,0.3323343323343323
Equatorial Guinea,2.1396103896103895,2,0.3291708291708292
Andorra,2.1396103896103895,2,0.3291708291708292
Sub-Saharan Africa,2.1347366469745617,8,1.3136840904458842
Sub-Saharan Africa (excluding high income),2.1347366469745612,8,1.313684090445884
Lower middle income,2.1321584454213087,8,1.3120975048746515
Eritrea,2.1136363636363638,3,0.4877622377622378
Middle East & North Africa (excluding high income),2.078755943045551,8,1.27923442648957
Cameroon,2.0629791980243173,12,1.9042884904839852
"Congo, Rep.",2.001387202497956,11,1.693481479036732
Lao PDR,1.9960306093095017,11,1.68894897710804
Fiji,1.9512987012987013,3,0.45029970029970035
Guinea,1.946258845203723,11,1.6468344074800734
Cambodia,1.941714756937467,12,1.7923520833268929
Afghanistan,1.901499954441905,13,1.901499954441905
The Bahamas,1.898876404494382,1,0.14606741573033707
Madagascar,1.8301880850593635,11,1.548620687357923
Low income,1.8046958284248462,8,1.110582048261444
Saint Lucia,1.7865168539325844,1,0.1374243733794296
Arab world,1.7756772241702665,8,1.092724445643241
Turkmenistan,1.768888763909499,10,1.3606836645457685
Niger,1.7649128507782852,11,1.4933877968123952
Guyana,1.761535094119364,3,0.40650809864293014
Mauritania,1.756780815576282,11,1.4865068439491618
Palau,1.75,2,0.2692307692307693
Venezuela,1.7303370786516854,1,0.1331028522039758
Marshall Islands,1.7175324675324675,2,0.2642357642357642
Ethiopia,1.676369675010979,11,1.4184666480862131
Nauru,1.62012987012987,2,0.24925074925074925
Solomon Islands,1.603896103896104,2,0.24675324675324678
Iran,1.5617977528089888,2,0.24027657735522906
Burundi,1.5616883116883118,3,0.3603896103896104
"Bahamas, The",1.5541125541125542,2,0.23909423909423913
South Sudan,1.495783738182945,11,1.2656631630778765
"Congo, Dem. Rep.",1.4568672469965882,10,1.1206671130742987
Tuvalu,1.4090909090909092,2,0.2167832167832168
Samoa,1.4090909090909092,2,0.2167832167832168
West Bank and Gaza,1.4058011523819631,8,0.8651084014658235
Vanuatu,1.3766233766233766,2,0.2117882117882118
Myanmar,1.3424483973690875,12,1.239183136033004
Saint Vincent and the Grenadines,1.3370786516853932,1,0.10285220397579949
Central African Republic,1.2969888532427145,11,1.0974521065899892
Kiribati,1.2954545454545454,2,0.1993006993006993
"Micronesia, Fed. Sts.",1.2305194805194803,2,0.18931068931068928
Saint Kitts and Nevis,1.1685393258426966,1,0.0898876404494382
"Korea, DPR",1.0,1,0.07692307692307693
Yemen,1.0,1,0.07692307692307693
Somalia,0.5,2,0.07692307692307693
Personal Card,0.0,0,0.0
0.03,0.0,0,0.0
-,0.0,0,0.0
