Country Name,agg_score,count_source,agg_score_wt
United States of America (the),5.99,1,0.3523529411764706
"China, Hong Kong SAR",5.58082,1,0.3282835294117647
"Korea, Republic of",5.48102,1,0.32241294117647057
United States of America,5.402309399507668,3,0.9533487175601767
North America,5.395205128205129,2,0.6347300150829563
Hong Kong,5.2501722699515,2,0.6176673258766471
Kosovo,5.218340299145299,3,0.9208835822021116
United States New York City,5.191101,1,0.3053588823529412
United States Los Angeles,5.035912,1,0.2962301176470588
Republic of Korea (the),5.021602388107244,1,0.29538837577101434
United Kingdom of Great Britain and Northern Ireland (the),5.015545953203525,1,0.295032114894325
Russian Federation Moscow,4.871741,1,0.286573
"Hong Kong SAR, China",4.8656950807014105,4,1.144869430753273
Russian Federation Saint Petersburg,4.834815,1,0.28440088235294114
Japan Tokyo,4.777929,1,0.28105464705882355
New Zealand,4.776442996626438,14,3.933541291339419
Japan Osaka,4.769446,1,0.2805556470588235
Mexico Monterrey,4.763458,1,0.28020341176470587
Netherlands (the),4.7338221061490735,1,0.27846012389112196
China Shanghai,4.676632000000001,1,0.275096
China Beijing,4.672141,1,0.27483182352941177
Brunei Darussalam,4.65923563270922,7,1.9185087899390905
Sweden,4.619582956636421,16,4.347842782716632
"Taiwan, China",4.584152448906112,3,0.8089680792187257
Denmark,4.565051054219968,13,3.4909213944035042
Mexico Mexico City,4.563359,1,0.26843288235294116
Solomon Islands,4.5536387777777785,3,0.8035833137254904
Ireland,4.553107011840845,15,4.017447363388981
Finland,4.52830157709521,15,3.9955602150840086
Netherlands,4.515601111177083,15,3.9843539216268375
Israel,4.494672326794722,12,3.1727098777374514
Singapore,4.493763688365947,12,3.1720684859053745
Samoa,4.491541000000001,3,0.7926248823529414
Puerto Rico (U.S.),4.466054,1,0.2627090588235294
Germany,4.441426383800119,17,4.441426383800119
Republic of Korea,4.404793297438999,2,0.518210976169294
Indonesia Jakarta,4.400186,1,0.2588344705882353
India Delhi,4.392701000000001,1,0.25839417647058827
Indonesia Surabaya,4.35827,1,0.25636882352941176
Estonia,4.318375996432657,16,4.064353878995441
India Mumbai,4.312362,1,0.25366835294117646
"Korea, Rep.",4.302739524709816,9,2.277920924846373
Canada,4.301685117557207,14,3.542564214458876
Australia,4.205497454196309,14,3.4633508446322545
Azerbaijan,4.204338442806383,12,2.9677683125692114
United Kingdom,4.20303602878141,15,3.70856120186595
Vanuatu,4.198661284096654,3,0.7409402266052919
Europe & Central Asia (excluding high income),4.1959583333333335,2,0.4936421568627451
Tonga,4.175312873015874,3,0.7368199187675072
Switzerland,4.17457926787901,14,3.437888808841538
France,4.135602537664456,17,4.135602537664456
Norway,4.130534797489854,15,3.6445895271969295
Belgium,4.101289950611325,14,3.3775329005034442
Jordan,4.084704535028746,12,2.8833208482555857
United Arab Emirates,4.073840488164106,11,2.636014433517951
Republic of Moldova,4.069744681717333,3,0.7181902379501177
United States,4.05881554089874,11,2.626292408816832
OECD members,4.057359649210351,2,0.47733642931886483
Europe & Central Asia (IDA & IBRD countries),4.020136634218038,2,0.47295725108447506
Brazil Rio de Janeiro,4.000487000000001,1,0.23532276470588237
Brazil São Paulo,3.991006,1,0.2347650588235294
Malaysia,3.98279797996325,13,3.0456690435013085
Russian Federation,3.9818301259058058,12,2.810703618286451
Cyprus,3.981449668945252,12,2.810435060431943
Chile,3.952003667052146,12,2.789649647330927
Austria,3.943119989370631,16,3.71117175470177
Slovakia,3.939373993144371,8,1.853823055597351
Czech Republic,3.9350422342740687,14,3.2406230164609977
Ukraine,3.9345599534456537,12,2.777336437726344
"Micronesia, Fed. Sts.",3.9324662063492064,3,0.69396462464986
Latvia,3.921328856965074,15,3.4599960502633005
Marshall Islands,3.9172833015873016,3,0.6912852885154063
Hungary,3.8974054962083673,16,3.6681463493725808
Luxembourg,3.895400275437735,16,3.6662590827649266
Pakistan Lahore,3.893701000000001,1,0.2290412352941177
Kyrgyz Republic,3.8921801383100005,5,1.1447588642088238
Spain,3.88714682327857,17,3.88714682327857
Serbia,3.872136151086139,12,2.733272577237275
Lithuania,3.8644874477014586,15,3.409841865618934
Late-demographic dividend,3.863901041666667,2,0.4545765931372549
Portugal,3.851988736994536,15,3.398813591465767
Montenegro,3.824037583679679,12,2.699320647303303
Europe & Central Asia,3.823299404761905,2,0.4497999299719888
"Gambia, The",3.8217626097756665,5,1.1240478264046079
Japan,3.8205436075987205,14,3.1463300297871815
Dominica,3.814666714285714,3,0.6731764789915966
"Bahamas, The",3.81137,3,0.672594705882353
North Macedonia,3.803207218653,9,2.0134626451692355
Kazakhstan,3.799513040436642,12,2.6820092050141007
Iceland,3.783715566110645,14,3.1160010544440606
Rwanda,3.7785839438510345,12,2.667235725071319
Costa Rica,3.7785207399455136,12,2.6671911105497745
St. Lucia,3.777954888888889,3,0.6666979215686275
Thailand,3.7767079305425924,13,2.8880707704149233
Post-demographic dividend,3.7759467592130544,2,0.44422903049565343
Nigeria Kano,3.769949,1,0.22176170588235294
Jamaica,3.7668590034827587,12,2.6589592965760653
Guinea-Bissau,3.764405,3,0.6643067647058823
Afghanistan,3.7638365833333336,4,0.8856086078431373
Armenia,3.7558000459466174,12,2.6511529736093773
St. Vincent and the Grenadines,3.7403438888888894,3,0.66006068627451
Puerto Rico,3.73948717948718,2,0.43993966817496233
Uzbekistan,3.738686239595795,6,1.3195363198573395
Viet Nam,3.735658560957572,7,1.5382123486295884
High income,3.7306336205892796,2,0.4388980730105035
Turkey,3.730307734023955,15,3.291448000609372
Georgia,3.7295306338075958,11,2.4132257042284446
Euro area,3.69201754382682,2,0.43435500515609643
Pakistan Karachi,3.687614,1,0.2169184705882353
Kenya,3.6785770822101793,12,2.5966426462660093
Grenada,3.6756120476190475,3,0.6486374201680672
Qatar,3.6747455817359715,11,2.3777765528879815
Cote dIvoire,3.6733698825755,2,0.4321611626559412
Saudi Arabia,3.6596007135475275,11,2.367976932295459
Mauritius,3.6520018527335476,12,2.5778836607530926
Togo,3.645063412670103,6,1.2864929691776834
"Macedonia, FYR",3.6405286509899994,3,0.642446232527647
Colombia,3.637716328989897,12,2.5677997616399275
Palau,3.6368097327530715,3,0.6417899528387774
Pacific island small states,3.6242182708647963,2,0.4263786201017407
European Union,3.606565255808926,2,0.42430179480105007
Nigeria Lagos,3.600289,1,0.21178170588235296
Slovak Republic,3.5971813852931245,8,1.6927912401379408
Albania,3.596805505818909,12,2.53892153351923
