Sub-Pillar,Country Name,agg_score,count_source,agg_score_wt
Ambition,Finland,6.0,1,6.0
Ambition,Sweden,5.968487394957982,1,5.968487394957982
Ambition,Denmark,5.894957983193278,1,5.894957983193278
Ambition,Germany,5.642857142857142,1,5.642857142857142
Ambition,Belgium,5.611344537815126,1,5.611344537815126
Ambition,Austria,5.6008403361344525,1,5.6008403361344525
Ambition,Norway,5.59033613445378,1,5.59033613445378
Ambition,France,5.5588235294117645,1,5.5588235294117645
Ambition,Netherlands,5.548319327731091,1,5.548319327731091
Ambition,Estonia,5.548319327731091,1,5.548319327731091
Ambition,Slovenia,5.548319327731091,1,5.548319327731091
Ambition,Czech Republic,5.527310924369749,1,5.527310924369749
Ambition,Ireland,5.485294117647058,1,5.485294117647058
Ambition,Croatia,5.4222689075630255,1,5.4222689075630255
Ambition,Poland,5.40126050420168,1,5.40126050420168
Ambition,Switzerland,5.390756302521008,1,5.390756302521008
Ambition,United Kingdom,5.380252100840336,1,5.380252100840336
Ambition,Japan,5.359243697478991,1,5.359243697478991
Ambition,Slovak Republic,5.338235294117646,1,5.338235294117646
Ambition,Spain,5.327731092436974,1,5.327731092436974
Ambition,Canada,5.296218487394958,1,5.296218487394958
Ambition,Latvia,5.296218487394958,1,5.296218487394958
Ambition,New Zealand,5.285714285714285,1,5.285714285714285
Ambition,Italy,5.254201680672268,1,5.254201680672268
Ambition,Hungary,5.254201680672268,1,5.254201680672268
Ambition,Belarus,5.254201680672268,1,5.254201680672268
Ambition,"Korea, Rep.",5.233193277310924,1,5.233193277310924
Ambition,Portugal,5.233193277310924,1,5.233193277310924
Ambition,Iceland,5.191176470588236,1,5.191176470588236
Ambition,High-income Countries,5.180672268907562,1,5.180672268907562
Ambition,OECD members,5.086134453781512,1,5.086134453781512
Ambition,Chile,5.075630252100839,1,5.075630252100839
Ambition,Lithuania,5.033613445378151,1,5.033613445378151
Ambition,United States,4.960084033613445,1,4.960084033613445
Ambition,Malta,4.928571428571429,1,4.928571428571429
Ambition,Australia,4.918067226890756,1,4.918067226890756
Ambition,Serbia,4.918067226890756,1,4.918067226890756
Ambition,Ukraine,4.907563025210084,1,4.907563025210084
Ambition,Greece,4.897058823529412,1,4.897058823529412
Ambition,Israel,4.855042016806722,1,4.855042016806722
Ambition,Romania,4.855042016806722,1,4.855042016806722
Ambition,Cyprus,4.844537815126051,1,4.844537815126051
Ambition,Uruguay,4.80252100840336,1,4.80252100840336
Ambition,Thailand,4.7710084033613445,1,4.7710084033613445
Ambition,Luxembourg,4.7710084033613445,1,4.7710084033613445
Ambition,Kyrgyz Republic,4.749999999999999,1,4.749999999999999
Ambition,Bulgaria,4.728991596638655,1,4.728991596638655
Ambition,Russian Federation,4.728991596638655,1,4.728991596638655
Ambition,Moldova,4.718487394957983,1,4.718487394957983
Ambition,Bosnia and Herzegovina,4.718487394957983,1,4.718487394957983
Ambition,Cuba,4.718487394957983,1,4.718487394957983
Ambition,Costa Rica,4.70798319327731,1,4.70798319327731
Ambition,Argentina,4.623949579831932,1,4.623949579831932
Ambition,Vietnam,4.623949579831932,1,4.623949579831932
Ambition,North Macedonia,4.592436974789916,1,4.592436974789916
