lat,lon,Electrical Distribution Grid
6.550017294,-8.475952148,1
6.604587384,-8.475952148,1
6.539102558,-8.475952148,1
6.593673846,-8.475952148,1
6.560931791,-8.442993164,1
6.593673846,-8.442993164,1
6.550017294,-8.442993164,1
6.550017294,-8.453979492,1
6.604587384,-8.453979492,1
6.593673846,-8.453979492,1
6.517272372,-8.508911133,1
6.539102558,-8.508911133,1
6.528187584,-8.508911133,1
6.506356922,-8.508911133,1
6.539102558,-8.497924805,1
6.528187584,-8.497924805,1
6.539102558,-8.46496582,1
6.593673846,-8.46496582,1
6.604587384,-8.46496582,1
6.550017294,-8.46496582,1
6.539102558,-8.486938477,1
5.59958517,-7.344360352,1
4.614753441,-7.344360352,1
4.603802644,-7.344360352,1
5.479299954,-7.344360352,1
4.636654527,-7.344360352,1
5.457427296,-7.344360352,1
5.19489408,-7.344360352,1
4.439520687,-7.344360352,1
4.428567241,-7.344360352,1
5.61051897,-7.344360352,1
5.43555384,-7.344360352,1
4.625704069,-7.344360352,1
5.468363725,-7.344360352,1
4.647604816,-7.344360352,1
5.446490668,-7.344360352,1
5.183952784,-7.344360352,1
4.417613633,-7.344360352,1
5.59958517,-7.333374023,1
5.424616814,-7.333374023,1
4.603802644,-7.333374023,1
5.490235982,-7.333374023,1
5.479299954,-7.333374023,1
5.216776103,-7.333374023,1
5.512107438,-7.333374023,1
5.19489408,-7.333374023,1
4.439520687,-7.333374023,1
5.533978087,-7.333374023,1
5.43555384,-7.333374023,1
4.592851678,-7.333374023,1
5.501171811,-7.333374023,1
5.205835187,-7.333374023,1
5.588651165,-7.333374023,1
5.41367959,-7.333374023,1
5.523042863,-7.333374023,1
4.450473971,-7.333374023,1
5.588651165,-7.322387695,1
5.555847928,-7.322387695,1
5.41367959,-7.322387695,1
4.570949243,-7.322387695,1
4.559997775,-7.322387695,1
5.523042863,-7.322387695,1
5.271477814,-7.322387695,1
5.260537856,-7.322387695,1
4.450473971,-7.322387695,1
5.533978087,-7.322387695,1
4.592851678,-7.322387695,1
5.501171811,-7.322387695,1
5.238657362,-7.322387695,1
5.577716957,-7.322387695,1
5.402742168,-7.322387695,1
5.512107438,-7.322387695,1
5.249597705,-7.322387695,1
4.439520687,-7.322387695,1
5.544913109,-7.322387695,1
5.227716828,-7.322387695,1
5.216776103,-7.322387695,1
5.358990509,-7.278442383,1
4.505237935,-7.278442383,1
5.326174707,-7.278442383,1
5.348052104,-7.278442383,1
5.369928719,-7.278442383,1
4.516190234,-7.278442383,1
