user_loc,fr_loc,scaled_sci
QA,GP,983
QA,AR,662
QA,EC,844
QA,LT,1185
QA,LC,2693
QA,GA,3006
QA,GH,27548
QA,CL,576
QA,CH,6207
QA,BY,2316
QA,MU,22031
QA,MK,7481
QA,MD,2047
QA,KM,11719
QA,CD,2530
QA,NE,4872
QA,CY,30950
QA,AU,11202
QA,LB,89888
QA,PA,1595
QA,GB,9444
QA,PG,4035
QA,LU,5253
QA,MV,167704
QA,OM,328978
QA,CF,5623
QA,KG,3109
QA,IE,11325
QA,MZ,3746
QA,HR,3781
QA,MY,33436
QA,DE,4191
QA,CV,2188
QA,CG,3364
QA,JE,5317
QA,NZ,13841
QA,KY,39822
QA,IT,5095
QA,LR,10872
QA,CA,11409
QA,BF,4251
QA,JM,4021
QA,GQ,7495
QA,JP,4765
QA,BZ,2330
QA,BE,3124
QA,NP,409749
QA,DJ,24349
QA,GM,32375
QA,AL,2843
QA,HT,1870
QA,AM,1750
QA,GW,3137
QA,NG,7169
QA,CR,1767
QA,AZ,2503
QA,BN,56301
QA,NA,5385
QA,KZ,1420
QA,PK,42733
QA,GE,2716
QA,CI,2995
QA,BG,1555
QA,CZ,1185
QA,MT,31365
QA,AO,2492
QA,PR,759
QA,CW,2404
QA,AT,3504
QA,DO,1459
QA,GY,5089
QA,BH,364094
QA,LV,1684
QA,HN,1301
GY,BZ,895021
GY,BA,577
BH,BA,2842
GY,DZ,1657
GY,BD,1427
BH,BD,201716
GY,CM,5076
GY,AW,129144
BH,AW,4992
GY,GD,1803933
GY,AR,1423
BH,AR,569
GY,BI,2785
GY,AM,224
BH,AM,971
GY,ES,1192
GY,GW,4177
GY,BW,11328
GY,BO,2011
GY,CF,4066
GY,FR,1868
GY,AE,3965
BH,AE,281739
GY,GT,2278
GY,CV,6066
GY,BR,5470
GY,ET,1549
GY,CD,5205
GY,BF,2842
BH,BF,1913
GY,GF,1402228
GY,EC,4156
GY,DE,722
GY,GP,46222
GY,BY,567
GY,GE,925
GY,GH,11538
GY,EG,974
GY,FI,629
GY,GR,603
GY,AG,4547602
BH,AG,3831
GY,GB,8188
GY,GQ,8701
GY,BT,748
GY,CH,1728
GY,AU,1207
BH,AU,8087
GY,CL,3518
GY,BJ,5783
GY,CI,4410
GY,DK,559
GY,GA,5817
GY,AT,455
BH,AT,2453
GY,BE,1355
BH,BE,2242
GY,GU,34047
GY,AO,6424
BH,AO,1967
GY,DJ,2419
GY,AL,956
BH,AL,1866
GY,BN,881
GY,CG,8063
GY,CZ,303
GY,BB,3391323
BH,BB,3127
GY,EE,500
GY,CO,6547
GY,CW,191001
GY,FJ,315613
GY,AZ,432
BH,AZ,1944
GY,CY,1517
ZA,PT,1764
ZA,JE,11249
ZA,NP,428
ZA,PE,294
ZA,BS,3571
ZA,UZ,235
ZA,GB,4663
ZA,TG,21153
ZA,GH,17320
ZA,MY,536
ZA,LC,3554
ZA,TT,3193
ZA,AU,4847
ZA,MV,2664
ZA,PG,2819
ZA,LB,4846
ZA,KY,19272
ZA,CH,2044
ZA,MT,3774
ZA,GW,10494
ZA,ID,327
ZA,MK,522
ZA,RS,566
ZA,BN,1062
ZA,PL,264
ZA,EC,351
ZA,MZ,135869
ZA,KH,243
ZA,CD,32434
ZA,NE,9846
ZA,CO,447
ZA,TO,1082
ZA,MD,151
ZA,SN,10730
ZA,SZ,657577
ZA,UY,359
ZA,TL,385
ZA,CF,8928
ZA,BE,1378
ZA,BF,9474
ZA,NC,316
ZA,IS,839
ZA,DE,1143
ZA,IE,5003
ZA,BD,2548
ZA,TJ,447
ZA,NA,83609
ZA,ML,11793
ZA,SB,1743
ZA,AZ,377
ZA,DJ,6646
ZA,PK,2328
ZA,SC,16478
ZA,CI,11018
ZA,CZ,348
ZA,LU,2017
ZA,WS,844
ZA,AO,27649
ZA,PR,344
ZA,UG,24379
ZA,SG,983
ZA,XK,376
ZA,CW,1125
ZA,AT,1033
ZA,DO,1989
ZA,GY,5613
ZA,BH,4360
ZA,VN,141
ZA,LV,315
ZA,TH,201
ZA,SE,1264
ZA,HN,509
CH,BO,5004
CH,BR,4478
CH,BA,106169
CH,AG,9114
CH,BT,5381
CH,BB,7053
CH,BW,1643
CH,BI,4727
CH,BN,1888
CH,CA,13018
CH,AM,4657
CH,BF,4801
CH,AR,3704
CH,BG,19863
CH,AE,7485
CH,CG,6337
CH,CH,7098330
CH,AL,40652
CH,AW,10369
CH,BZ,2561
CH,BY,5580
CH,AU,12367
CH,CD,6327
CH,BJ,4001
CH,AZ,3252
CH,BS,7622
CH,CF,8387
CH,BE,33038
CH,BD,640
CH,AO,5062
CH,AT,115636
CH,BH,3678
MM,AG,109
MM,BA,68
MM,GF,131
MM,LK,860
MM,FI,297
MM,GR,98
MM,FJ,289
MM,HU,95
MM,KR,4111
MM,GT,137
MM,BT,1919
MM,ES,91
MM,IN,496
MM,BO,212
MM,BB,120
MM,MA,307
MM,MM,1150336
MM,CM,228
MM,LS,173
MM,LB,195
MM,JO,683
MM,ID,742
MM,MG,367
MM,KG,113
MM,BW,181
MM,BR,89
MM,EE,63
MM,LY,192
MM,BS,150
MM,AW,122
MM,AM,60
MM,BZ,220
MM,ME,123
MM,BN,2592
MM,GU,396
MM,IM,202
MM,CA,292
MM,CR,135
MM,DK,531
MM,GQ,180
MM,FR,96
MM,GN,225
MM,DZ,261
MM,LA,13504
MM,AE,1253
MM,HT,180
MM,BG,91
MM,JP,3540
MM,CV,95
MM,AR,104
MM,KM,105
MM,CY,250
MM,EG,242
MM,GD,316
MM,BJ,320
MM,KW,578
MM,GA,189
MM,BI,259
MM,LT,84
MM,KE,404
MM,ET,519
MM,CH,284
MM,GP,48
MM,HK,1488
MM,LC,180
MM,JE,76
MM,MD,60
MM,AL,147
MM,GB,331
MM,BY,138
MM,CG,191
MM,CD,189
MM,GH,468
MM,MK,143
MM,KI,400
MM,CL,82
MM,EC,161
MM,HR,100
MM,IE,163
MM,CO,147
MM,KH,6951
MM,AU,2087
MM,KZ,96
MM,GM,312
MM,DJ,273
MM,ML,278
MM,CF,163
MM,IT,109
MM,LR,472
MM,KY,265
MM,BF,268
MM,JM,421
MM,IS,83
MM,BE,109
MM,GW,198
MM,AZ,130
MM,DE,184
MM,GE,143
MM,BD,1409
MM,CI,228
MM,CZ,93
MM,LU,113
MM,AO,245
MM,CW,66
MM,AT,121
MM,DO,151
MM,GY,196
MM,BH,883
MM,LV,76
MM,HN,175
RW,BA,640
RW,MO,255
RW,FJ,1534
RW,GT,454
RW,CM,29092
RW,KI,2768
RW,GF,4888
RW,ES,603
RW,LS,18173
RW,PL,1560
RW,KR,1217
RW,LK,2287
RW,HR,397
RW,CY,13882
RW,GU,368
RW,IM,657
RW,MN,418
RW,KE,135204
RW,EE,416
RW,IN,1354
RW,BO,488
RW,NI,1020
RW,BW,28738
RW,BT,1427
RW,HU,336
RW,RW,54966518
RW,JO,2438
RW,MM,459
RW,MG,15585
RW,DK,2841
RW,RO,812
RW,AE,13180
RW,QA,11273
RW,PH,1596
RW,GQ,13182
RW,MQ,1971
RW,GD,3591
RW,DZ,1976
RW,BI,3042307
RW,PY,816
RW,HK,553
GR,DO,1244
FI,BH,1784
GR,BH,10671
PA,GF,6444
PA,LB,3054
PA,KR,581
PA,EE,566
PA,BT,330
PA,FI,650
PA,GR,1167
PA,MN,319
PA,MA,3248
PA,OM,1241
PA,LS,445
PA,CM,1003
PA,MW,439
PA,MU,1066
PA,ID,426
PA,MM,159
PA,GU,1173
PA,IM,939
PA,FJ,705
PA,IT,2327
PA,LR,2530
PA,BA,415
PA,ML,1233
PA,AE,1466
PA,DK,1180
PA,NI,267358
PA,IN,427
PA,BO,8270
PA,NA,1260
PA,BW,578
PA,LY,574
PA,LK,1038
PA,DZ,1460
PA,BR,3081
PA,AW,64184
PA,GT,15712
PA,GM,2356
PA,HK,1088
PA,AM,245
PA,ES,13846
PA,FR,1142
PA,JO,1059
PA,BI,739
PA,MQ,2647
PA,HU,573
