Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2015,2016,2017
CYP,Cyprus,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,36,27
CZE,Czech Republic,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,71.7,84,
CZE,Czech Republic,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,29,29
DEU,Germany,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,78,93.5,
DEU,Germany,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,17,9
DJI,Djibouti,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,,18,
DJI,Djibouti,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,,129
DNK,Denmark,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,78.7,93,
DNK,Denmark,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,16,13
DOM,Dominican Republic,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,39.9,42,
DOM,Dominican Republic,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,83,88
DZA,Algeria,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,32.3,38,
DZA,Algeria,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,95,97
ECU,Ecuador,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,45,41,
ECU,Ecuador,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,71,91
EGY,"Egypt, Arab Rep.",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,39.9,29,
EGY,"Egypt, Arab Rep.",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,82,116
ESP,Spain,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,75,80,
ESP,Spain,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,24,33
EST,Estonia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,72.3,90,
EST,Estonia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,27,21
ETH,Ethiopia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,21.2,16,
ETH,Ethiopia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,112,133
FIN,Finland,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,84.3,93,
