Country,Number of Significant Cyberattacks (2006-2020)
United States,156
United Kingdom,47
India,23
Germany,21
South Korea,18
Australia,16
Ukraine,16
China,15
Iran,15
Saudi Arabia,15
Japan,13
Canada,12
France,11
Israel,11
Pakistan,9
Russia,8
Hong Kong,7
Vietnam,6
Turkey,6
North Korea,5
