"Percentage of Population Using Internet by Age, Sex, Variable, Country and Year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,Poland,..,..,..,..,..,..,21.0,28.0,32.0,37.0,43.0,50.0,53.0,56.0,58.0,59.0,62.0,64.0,69.0,72.0,74.0,78.0,..
,,,Portugal,..,..,..,..,..,..,23.0,25.0,28.0,31.0,34.0,38.0,42.0,48.0,51.0,54.0,57.0,61.0,66.0,69.0,70.0,71.0,..
,,,Romania,..,..,..,..,..,..,9.0,..,17.0,20.0,25.0,30.0,33.0,36.0,42.0,44.0,46.0,49.0,54.0,59.0,67.0,70.0,..
,,,Russian Federation,..,..,..,..,..,..,56.0,63.0,60.0,70.0,73.0,77.0,79.0,81.0,..,60.0,..,..,..,..,..,..,..
,,,Serbia,..,..,..,..,..,..,..,..,..,20.6,28.3,31.1,34.2,37.6,43.0,47.6,55.9,58.8,63.0,64.4,..,..,..
,,,Slovakia,..,..,..,..,..,..,36.0,39.0,39.0,49.0,59.0,65.0,70.0,71.0,71.0,74.0,76.0,73.0,77.0,78.0,78.0,81.0,..
,,,Slovenia,..,..,..,..,..,..,31.0,39.0,42.0,48.0,51.0,57.0,62.0,61.0,62.0,66.0,68.0,68.0,72.0,76.0,77.0,80.0,..
,,,Spain,..,..,..,..,..,26.0,27.0,30.0,34.0,39.0,44.0,48.0,54.0,58.0,61.0,63.0,69.0,73.0,75.0,79.0,82.0,88.0,..
,,,Sweden,..,..,..,..,..,64.0,73.0,72.0,76.0,72.0,81.0,85.0,88.0,89.0,89.0,92.0,89.0,88.0,91.0,95.0,92.0,96.0,..
,,,Switzerland,..,..,15.8,26.1,32.7,38.3,43.9,52.0,57.0,62.0,66.0,70.4,73.0,77.6,79.9,79.3,80.7,83.2,85.9,88.1,87.6,89.9,91.0
,,,Turkey,..,..,..,..,..,..,6.0,7.0,..,15.0,37.0,21.0,25.0,..,28.0,30.0,36.0,39.0,46.0,53.0,62.0,66.0,..
,,,Ukraine,..,..,..,..,..,..,..,..,..,3.5,7.0,12.2,17.9,24.0,30.0,40.6,47.0,49.9,54.5,60.8,65.4,71.8,..
,,,United Kingdom,..,..,..,..,..,43.0,43.0,47.0,51.0,61.0,66.0,73.0,78.0,79.0,84.0,85.0,89.0,88.0,93.0,92.0,94.0,94.0,..
,,,United States,9.0,22.0,50.0,61.0,..,..,65.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.9,43.7,57.4,..
16 - 24,Female,Weekly users of Internet,Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.4,99.9,..
,,,Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,..,..
,,,Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Austria,..,..,..,..,..,59.0,65.0,74.0,80.0,80.0,87.0,93.0,93.0,97.0,98.0,98.0,94.0,100.0,98.0,100.0,99.0,99.0,..
,,,Azerbaijan,..,..,..,..,..,..,..,..,..,..,19.3,17.8,17.6,38.1,53.7,94.5,95.1,95.2,94.5,94.2,95.8,96.1,..
,,,Belarus,..,..,..,..,..,..,..,..,..,..,..,52.1,53.8,70.7,87.1,92.2,94.6,93.6,95.3,97.4,97.2,98.9,..
,,,Belgium,..,..,..,..,..,..,..,75.0,83.0,87.0,90.0,94.0,94.0,95.0,94.0,97.0,97.0,97.0,97.0,97.0,97.0,94.0,..
,,,Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.8,98.7,96.7,..
,,,Bulgaria,..,..,..,..,..,..,31.0,..,45.0,61.0,64.0,74.0,77.0,79.0,81.0,79.0,83.0,83.0,87.0,88.0,90.0,90.0,..
,,,Croatia,..,..,..,..,..,..,..,..,..,65.0,75.0,83.0,89.0,88.0,96.0,94.0,94.0,93.0,97.0,98.0,100.0,98.0,..
,,,Cyprus,..,..,..,..,..,..,55.0,51.0,63.0,57.0,67.0,89.0,90.0,92.0,90.0,96.0,98.0,98.0,99.0,98.0,100.0,100.0,..
,,,Czechia,..,..,..,..,..,41.0,51.0,52.0,64.0,74.0,82.0,85.0,88.0,93.0,92.0,92.0,97.0,96.0,96.0,98.0,99.0,98.0,..
,,,Denmark,..,..,..,..,..,75.0,82.0,87.0,92.0,96.0,97.0,96.0,98.0,97.0,98.0,98.0,98.0,99.0,99.0,100.0,100.0,100.0,..
,,,Estonia,..,..,..,..,..,..,78.0,..,90.0,92.0,94.0,96.0,98.0,99.0,98.0,97.0,99.0,99.0,99.0,99.0,99.0,100.0,..
,,,Finland,..,..,..,..,..,84.0,88.0,73.0,94.0,98.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,99.0,..
,,,France,..,..,..,..,..,..,..,..,73.0,79.0,93.0,95.0,96.0,89.0,97.0,95.0,95.0,96.0,96.0,96.0,98.0,94.0,..
,,,Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.1,99.5,100.0,98.3,..
,,,Germany,..,..,..,..,..,74.0,74.0,77.0,82.0,87.0,90.0,93.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0,98.0,99.0,99.0,..
,,,Greece,..,..,..,..,..,26.0,30.0,32.0,44.0,53.0,67.0,74.0,80.0,82.0,88.0,88.0,91.0,94.0,96.0,95.0,99.0,98.0,..
,,,Hungary,..,..,..,..,..,..,49.0,55.0,74.0,79.0,86.0,87.0,88.0,92.0,93.0,95.0,96.0,94.0,95.0,96.0,93.0,98.0,..
,,,Iceland,..,..,..,..,..,91.0,91.0,93.0,95.0,99.0,100.0,99.0,..,100.0,100.0,100.0,99.0,..,..,100.0,99.0,100.0,..
,,,Ireland,..,..,..,..,..,29.0,35.0,34.0,61.0,63.0,77.0,79.0,86.0,92.0,91.0,93.0,95.0,96.0,96.0,95.0,93.0,100.0,..
,,,Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Italy,..,..,..,..,..,38.0,45.0,49.0,54.0,58.0,62.0,71.0,78.0,80.0,81.0,84.0,88.0,89.0,89.0,90.0,92.0,91.0,..
,,,Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,45.7,34.9,32.5,24.6,20.5,18.2,17.9,21.7,20.3,16.3,14.2,..
,,,Latvia,..,..,..,..,..,..,55.0,79.0,85.0,93.0,93.0,96.0,95.0,98.0,98.0,97.0,97.0,98.0,99.0,100.0,98.0,100.0,..
,,,Lithuania,..,..,..,..,..,..,65.0,66.0,75.0,86.0,87.0,93.0,94.0,94.0,97.0,97.0,94.0,97.0,99.0,99.0,99.0,99.0,..
,,,Luxembourg,..,..,..,..,..,88.0,74.0,80.0,87.0,88.0,98.0,96.0,98.0,99.0,98.0,99.0,96.0,100.0,100.0,100.0,100.0,98.0,..
,,,Malta,..,..,..,..,..,..,..,64.0,..,78.0,80.0,92.0,98.0,98.0,96.0,98.0,99.0,98.0,99.0,100.0,99.0,100.0,..
,,,Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.5,95.6,96.6,96.0,100.0,100.0,100.0,100.0,..
,,,Netherlands,..,..,..,..,..,..,..,93.0,94.0,98.0,97.0,98.0,98.0,100.0,100.0,100.0,99.0,98.0,98.0,99.0,98.0,100.0,..
,,,North Macedonia,..,..,..,..,..,..,..,..,44.0,48.0,68.0,78.0,76.0,..,84.0,91.0,95.0,95.0,96.0,95.0,..,98.0,..
,,,Norway,..,..,..,..,..,79.0,83.0,90.0,96.0,88.0,98.0,96.0,100.0,99.0,100.0,98.0,100.0,100.0,100.0,99.0,98.0,99.0,..
,,,Poland,..,..,..,..,..,..,49.0,60.0,69.0,77.0,84.0,91.0,94.0,95.0,95.0,96.0,96.0,97.0,98.0,99.0,99.0,99.0,..
,,,Portugal,..,..,..,..,..,45.0,56.0,65.0,68.0,77.0,81.0,85.0,87.0,91.0,95.0,96.0,97.0,98.0,99.0,100.0,99.0,100.0,..
,,,Romania,..,..,..,..,..,..,..,..,42.0,48.0,55.0,63.0,63.0,71.0,76.0,77.0,77.0,85.0,86.0,91.0,95.0,94.0,..
,,,Russian Federation,..,..,..,..,..,..,84.0,88.0,73.0,94.0,98.0,97.0,98.0,98.0,..,89.0,..,..,..,..,..,..,..
,,,Serbia,..,..,..,..,..,..,..,..,..,35.9,60.8,59.2,74.7,80.5,88.7,83.6,96.1,98.3,95.6,96.1,..,..,..
,,,Slovakia,..,..,..,..,..,..,54.0,63.0,65.0,73.0,89.0,95.0,96.0,97.0,99.0,100.0,98.0,99.0,97.0,93.0,97.0,99.0,..
,,,Slovenia,..,..,..,..,..,..,..,..,79.0,82.0,94.0,93.0,98.0,97.0,97.0,100.0,97.0,100.0,98.0,97.0,98.0,98.0,..
,,,Spain,..,..,..,..,..,55.0,57.0,59.0,66.0,75.0,81.0,83.0,89.0,91.0,94.0,94.0,95.0,97.0,96.0,96.0,97.0,99.0,..
,,,Sweden,..,..,..,..,..,91.0,91.0,91.0,94.0,86.0,96.0,98.0,100.0,99.0,99.0,98.0,100.0,100.0,87.0,98.0,96.0,100.0,..
,,,Switzerland,..,..,27.2,44.6,50.2,57.1,65.0,73.0,81.0,87.0,90.0,92.2,94.1,94.7,97.3,97.3,98.8,99.0,97.8,100.0,99.4,98.8,100.0
,,,Turkey,..,..,..,..,..,..,12.0,14.0,..,30.0,60.0,39.0,43.0,..,47.0,52.0,58.0,64.0,74.0,78.0,83.0,85.0,..
,,,Ukraine,..,..,..,..,..,..,..,..,..,10.9,19.8,33.3,47.0,55.5,64.8,72.5,79.3,79.7,84.1,91.0,93.5,95.2,..
,,,United Kingdom,..,..,..,..,..,61.0,61.0,72.0,72.0,83.0,88.0,94.0,95.0,95.0,96.0,96.0,98.0,96.0,100.0,98.0,100.0,100.0,..
,,,United States,8.0,33.0,61.0,72.0,..,..,75.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.1,57.7,73.2,..
25 - 54,Female,Weekly users of Internet,Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.9,98.5,..
,,,Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.8,..,..,..
,,,Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Austria,..,..,..,..,..,38.0,47.0,52.0,57.0,63.0,68.0,72.0,75.0,83.0,81.0,85.0,85.0,86.0,88.0,92.0,94.0,94.0,..
,,,Azerbaijan,..,..,..,..,..,..,..,..,..,..,5.6,13.3,14.2,20.2,28.4,69.0,71.4,74.5,75.1,75.8,78.1,79.5,..
