"Percentage of Population Using Internet by Age, Sex, Variable, Country and Year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
16 - 74,Male,Weekly users of Internet,Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.6,98.5,..
,,,Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.1,..,..,..
,,,Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Austria,..,..,..,..,..,42.0,53.0,54.0,61.0,67.0,73.0,72.0,75.0,81.0,81.0,81.0,82.0,86.0,86.0,88.0,87.0,89.0,..
,,,Azerbaijan,..,..,..,..,..,..,..,..,..,..,15.4,22.9,16.0,29.2,41.3,71.9,75.0,75.6,76.3,77.0,77.4,77.7,..
,,,Belarus,..,..,..,..,..,..,..,..,..,..,..,30.0,28.2,35.4,42.8,48.3,53.2,54.0,57.4,61.4,69.0,74.2,..
,,,Belgium,..,..,..,..,..,..,..,58.0,62.0,67.0,70.0,75.0,79.0,81.0,80.0,82.0,85.0,84.0,86.0,86.0,89.0,90.0,..
,,,Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.6,72.4,72.8,..
,,,Bulgaria,..,..,..,..,..,..,15.0,..,23.0,29.0,34.0,41.0,42.0,47.0,51.0,53.0,55.0,55.0,58.0,63.0,65.0,68.0,..
,,,Croatia,..,..,..,..,..,..,..,..,..,36.0,47.0,48.0,60.0,62.0,67.0,71.0,68.0,71.0,75.0,72.0,75.0,81.0,..
,,,Cyprus,..,..,..,..,..,..,33.0,28.0,32.0,37.0,39.0,48.0,52.0,58.0,61.0,63.0,67.0,71.0,76.0,80.0,84.0,86.0,..
,,,Czechia,..,..,..,..,..,23.0,28.0,29.0,38.0,45.0,54.0,57.0,62.0,66.0,68.0,72.0,78.0,79.0,80.0,83.0,84.0,86.0,..
,,,Denmark,..,..,..,..,..,68.0,73.0,75.0,80.0,79.0,83.0,84.0,87.0,89.0,90.0,92.0,91.0,93.0,94.0,95.0,95.0,96.0,..
,,,Estonia,..,..,..,..,..,..,45.0,55.0,56.0,58.0,61.0,65.0,70.0,72.0,75.0,77.0,82.0,87.0,85.0,87.0,88.0,89.0,..
,,,Finland,..,..,..,..,..,60.0,63.0,64.0,72.0,77.0,80.0,79.0,84.0,86.0,88.0,89.0,92.0,90.0,91.0,92.0,92.0,93.0,..
,,,France,..,..,..,..,..,..,..,..,42.0,59.0,61.0,69.0,74.0,76.0,79.0,80.0,82.0,82.0,82.0,83.0,86.0,87.0,..
,,,Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.6,97.4,98.2,98.7,..
,,,Germany,..,..,..,..,..,..,55.0,62.0,65.0,70.0,73.0,76.0,79.0,80.0,82.0,83.0,86.0,87.0,88.0,89.0,92.0,93.0,..
,,,Greece,..,..,..,..,..,18.0,21.0,22.0,27.0,33.0,38.0,43.0,46.0,51.0,53.0,60.0,62.0,66.0,68.0,70.0,71.0,75.0,..
,,,Hungary,..,..,..,..,..,..,24.0,34.0,42.0,49.0,56.0,58.0,62.0,67.0,70.0,72.0,75.0,73.0,79.0,77.0,76.0,81.0,..
,,,Iceland,..,..,..,..,..,77.0,79.0,82.0,86.0,88.0,89.0,92.0,94.0,95.0,95.0,96.0,97.0,..,..,98.0,98.0,99.0,..
,,,Ireland,..,..,..,..,..,26.0,28.0,30.0,45.0,55.0,56.0,60.0,63.0,70.0,74.0,75.0,75.0,76.0,78.0,77.0,80.0,87.0,..
,,,Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Italy,..,..,..,..,..,30.0,31.0,34.0,36.0,39.0,43.0,47.0,54.0,56.0,58.0,61.0,64.0,68.0,70.0,72.0,75.0,76.0,..
,,,Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
