id,ctry,cit,reg,name,url,stat,date,prfs,lat,lon,prts,traf,avg,trgh,ipv6_avg,pch,updt,tc_rank,tw_rank,pc_rank,pr_rank,pw_rank,tr_rank,prts_url,q9,iata,regct
44,China,Beijing,Asia-Pacific,"TerreNAP Beijing",http://www.corporate-ir.net/ireye/ir_site.zhtml?ticker=tww&script=410&layout=-6&item_id=137869,Unknown,0,0,39.93000,116.28000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
45,China,Guangzhou,Asia-Pacific,,,Unknown,20001200,0,23.13915,113.24146,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
46,China,Shanghai,Asia-Pacific,"Asia Pacific Internet Exchange",,"Not an exchange",0,0,31.40000,121.47000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
47,China,Shanghai,Asia-Pacific,"Shanghai City Exchange",,Unknown,0,0,31.40000,121.47000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
48,China,Shanghai,Asia-Pacific,"Shanghai Internet Exchange",http://www.sii.com.cn/html/en/infoport/internet_exchange_center.htm,Unknown,20001200,0,31.40000,121.47000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
50,Colombia,,"Latin America",CIN,,Unknown,0,0,,,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,137
60,Egypt,Cairo,Africa,"Cairo Regional Internet Exchange",http://www.cr-ix.net,Defunct,20020500,0,30.13000,31.40000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,81
61,"United Kingdom",London,Europe,"LoNAP/XchangePoint shared interconnect",http://www.xchangepoint.net/ourpartners/LoNAP-XP-iconnect.html,Defunct,20040000,0,51.48000,-0.45000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
63,"United Kingdom",London,Europe,"London Internet Providers Exchange",http://www.lipex.net,Defunct,20011000,0,51.48000,-0.45000,0,0,0,0,0.000000,No,2009-03-20,,,,,,,http://www.lipex.net/peers/,No,,383
65,"United Kingdom",London,Europe,UK6X,http://uk6x.net,Defunct,0,0,51.48000,-0.45000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
67,"United Kingdom",Manchester,Europe,"Manchester Network Access Point",http://www.manap.net/,Unknown,19970000,0,53.35000,-2.27000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://www.manap.net/members.php?sort=Company_name,No,,383
