CMS slug,Region Name,Sub-region Name,Country or Area,World Bank Income Level,Access,Association,Expression,Total Country Score
ireland,Europe,Northern Europe,Ireland,High Income,5.496807493277778,,5.996363570901366,5.746585532089572
austria,Europe,Western Europe,Austria,High Income,5.573146764833334,,5.997113659411811,5.7851302121225725
qatar,Asia,Western Asia,Qatar,High Income,5.895115066888889,,5.999993999291917,5.947554533090402
portugal,Europe,Southern Europe,Portugal,High Income,4.987942518333334,,5.997959759251591,5.492951138792463
monaco,Europe,Western Europe,Monaco,High Income,1.5,,5.999987998583833,3.7499939992919167
new-zealand,Oceania,Australia and New Zealand,New Zealand,High income,5.860814793833334,,5.998133779786015,5.929474286809674
north-macedonia,Europe,Southern Europe,North Macedonia,Upper Middle Income,5.220509812277777,,6.0,5.610254906138889
malta,Europe,Southern Europe,Malta,High Income,5.466172614055555,,5.999987998583833,5.733080306319694
italy,Europe,Southern Europe,Italy,High Income,5.8732879638333335,5.285714285714286,5.967236133863796,5.708746127803805
vanuatu,Oceania,Melanesia,Vanuatu,Lower Middle Income,2.5051710129166667,,6.0,4.252585506458333
kenya,Africa,Sub-Saharan Africa,Kenya,Lower Middle Income,2.989423970722223,4.857142857142858,5.9993519235269765,4.615306250464019
mali,Africa,Sub-Saharan Africa,Mali,Low Income,3.0498111405,,,3.0498111405
bangladesh,Asia,Southern Asia,Bangladesh,Lower Middle Income,3.9080555748166654,3.4285714285714284,5.996957641001638,4.444528214796577
sierra-leone,Africa,Sub-Saharan Africa,Sierra Leone,Low Income,2.442937440833333,,,2.442937440833333
pakistan,Asia,Southern Asia,Pakistan,Lower Middle Income,2.329600710722222,2.857142857142857,5.759425612222242,3.648723060029107
barbados,Americas,Latin America and the Caribbean,Barbados,High Income,2.8504685719166667,,,2.8504685719166667
turkmenistan,Asia,Central Asia,Turkmenistan,Upper Middle Income,1.49875,,,1.49875
australia,Oceania,Australia and New Zealand,Australia,High Income,5.870859019,4.857142857142858,5.960107292660534,5.5627030562677975
sweden,Europe,Northern Europe,Sweden,High Income,5.7541060926666665,,5.999801976633242,5.8769540346499545
tonga,Oceania,Polynesia,Tonga,Upper Middle Income,2.6182428868333334,,,2.6182428868333334
tanzania,Africa,Sub-Saharan Africa,United Republic of Tanzania (the),Low Income,3.4888229243333337,,,3.4888229243333337
estonia,Europe,Northern Europe,Estonia,High Income,5.6046840065,5.571428571428571,5.9917550270931965,5.722622535007257
guatemala,Americas,Latin America and the Caribbean,Guatemala,Upper Middle Income,3.8170528876666654,,,3.8170528876666654
saint-lucia,Americas,Latin America and the Caribbean,Saint Lucia,Upper Middle Income,4.051134376549999,,,4.051134376549999
guinea,Africa,Sub-Saharan Africa,Guinea,Low Income,2.757148901666667,,,2.757148901666667
japan,Asia,Eastern Asia,Japan,High income,5.628997229666667,5.142857142857143,5.987698548428715,5.586517640317509
slovakia,Europe,Eastern Europe,Slovakia,High Income,5.63611045409375,,5.999981997875749,5.81804622598475
central-african-republic,Africa,Sub-Saharan Africa,Central African Republic (the),Low Income,2.3466738510000003,,,2.3466738510000003
bulgaria,Europe,Eastern Europe,Bulgaria,Upper Middle Income,4.869267327666666,,5.999945993627248,5.434606660646957
sao-tome-and-principe,Africa,Sub-Saharan Africa,Sao Tome and Principe,Lower Middle Income,4.7590953825,,,4.7590953825
croatia,Europe,Southern Europe,Croatia,High Income,5.168422815777778,,5.9993279206946415,5.58387536823621
mongolia,Asia,Eastern Asia,Mongolia,Lower Middle Income,4.279027318444445,,,4.279027318444445
costa-rica,Americas,Latin America and the Caribbean,Costa Rica,Upper Middle Income,5.283184262722221,5.714285714285714,5.9999279915029975,5.665799322836977
uganda,Africa,Sub-Saharan Africa,Uganda,Low Income,1.776736838,3.7142857142857135,,2.7455112761428566
south-africa,Africa,Sub-Saharan Africa,South Africa,Upper Middle Income,5.189159774833334,5.142857142857143,5.9999279915029975,5.443981636397825
guyana,Americas,Latin America and the Caribbean,Guyana,Upper Middle Income,2.4897943815000003,,,2.4897943815000003
benin,Africa,Sub-Saharan Africa,Benin,Lower Middle Income,3.2842011768333337,,,3.2842011768333337
canada,Americas,Northern America,Canada,High Income,5.4528662365,5.571428571428571,5.985706313344974,5.670000373757849
gabon,Africa,Sub-Saharan Africa,Gabon,Upper Middle Income,4.936307017,,,4.936307017
mauritania,Africa,Sub-Saharan Africa,Mauritania,Lower Middle Income,3.7119376183333337,,,3.7119376183333337
norway,Europe,Northern Europe,Norway,High Income,5.862166826,,5.998955876793461,5.930561351396731
finland,Europe,Northern Europe,Finland,High Income,5.647459425888889,,5.998061771289012,5.822760598588951
indonesia,Asia,South-eastern Asia,Indonesia,Lower Middle Income,3.9642635412777785,3.4285714285714284,4.470293494632367,3.954376154827191
brunei,Asia,South-eastern Asia,Brunei Darussalam,High income,5.731122681111112,,,5.731122681111112
