Indicator,Country,2000_value,2000_notes,2000_source,2001_value,2001_notes,2001_source,2002_value,2002_notes,2002_source,2003_value,2003_notes,2003_source,2004_value,2004_notes,2004_source,2005_value,2005_notes,2005_source,2006_value,2006_notes,2006_source,2007_value,2007_notes,2007_source,2008_value,2008_notes,2008_source,2009_value,2009_notes,2009_source,2010_value,2010_notes,2010_source,2011_value,2011_notes,2011_source,2012_value,2012_notes,2012_source,2013_value,2013_notes,2013_source,2014_value,2014_notes,2014_source,2015_value,2015_notes,2015_source,2016_value,2016_notes,2016_source,2017_value,2017_notes,2017_source,2018_value,2018_notes,2018_source,2019_value,2019_notes,2019_source,data_country,data_year
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Croatia,1033000,,Croatian Post and Telecommunications (HPT).,1755000,,HPT estimate.,2312600,,Croatian Post and Electronic Communications Agency (HAKOM).,2537300,,Croatian Post and Electronic Communications Agency (HAKOM).,2835500,,Croatian Post and Electronic Communications Agency (HAKOM).,3649700,,Croatian Post and Electronic Communications Agency (HAKOM).,4395200,,Croatian Post and Electronic Communications Agency (HAKOM).,5034582,,Croatian Post and Electronic Communications Agency (HAKOM).,4554777,Break in comparability: from this year data refer to subscriptions active in the last 90 days. Incl. mobile-broadband subscriptions via USB keys/datacards from two MNOs.,ITU estimate,4675017,Incl. mobile-broadband subscriptions via USB keys/datacards from two MNOs.,ITU estimate,4928352,Incl. mobile-broadband subscriptions via USB keys/datacards from two MNOs.,ITU estimate,5115140,Incl. mobile-broadband subscriptions via USB keys/datacards from two MNOs.,Croatian Post and Electronic Communications Agency (HAKOM),4971351,Incl. mobile-broadband subscriptions via USB keys/datacards from two MNOs.,Croatian Post and Electronic Communications Agency (HAKOM),4721015,Break in comparability: from this year excl. mobile-broadband subscriptions via USB keys/datacards from all operators.,Croatian Regulatory Authority for Network Industries,4461352,,Croatian Regulatory Authority for Network Industries,4415660,,Croatian Regulatory Authority for Network Industries,4414347,,HAKOM,4315580,,HAKOM,4388476,,HAKOM,4404652,,HAKOM,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Cuba,6536,,Ministerio de la Informática y las Comunicaciones.,8579,,Ministerio de la Informática y las Comunicaciones.,17851,,Ministerio de la Informática y las Comunicaciones.,35356,,Ministerio de la Informática y las Comunicaciones.,75797,,Ministerio de la Informática y las Comunicaciones.,135534,,Ministerio de la Informática y las Comunicaciones.,152715,,Ministerio de la Informática y las Comunicaciones.,198252,,BMI.,331736,,Ministerio de la Informática y las Comunicaciones.,621156,,Ministerio de la Informática y las Comunicaciones,1003015,,Ministerio de la Informática y las Comunicaciones,1315141,,Ministerio de la Informática y las Comunicaciones,1681645,,Ministerio de la Informática y las Comunicaciones,1995698,,Ministerio de Comunicaciones,2530752,,Ministerio de Comunicaciones,3335346,,Ministerio de Comunicaciones,3987900,,Ministerio de Comunicaciones,4613782,,Ministerio de Comunicaciones,5373316,,Ministerio de Comunicaciones,6042629,,Ministerio de Comunicaciones,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,201097,,Bureau Telecommunicatie & Post Curacao,204024,,Bureau Telecommunicatie & Post Curacao,206294,,Bureau Telecommunicatie & Post Curacao,204702,,Bureau Telecommunicatie & Post Curacao,203502,,Bureau Telecommunicatie & Post Curacao,192569,,Bureau Telecommunicatie & Post Curacao,190489,,Bureau Telecommunicatie & Post Curacao,186644,,Bureau Telecommunicatie en Post,187184,,Bureau Telecommunicatie en Post,186390,,Bureau Telecommunicatie en Post,184236,,Bureau Telecommunicatie en Post,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Cyprus,218324,,,314355,,,417933,,,551752,,,658234,,,782503,,,867785,,,988312,,Office of the Commissioner for Electronic Communications and Postal Regulation.,1016739,,Office of the Commissioner for Electronic Communications and Postal Regulation.,977521,,Office of the Commissioner for Electronic Communications and Postal Regulation,1034071,,Office of the Commissioner for Electronic Communications and Postal Regulation,1090944,,Office of the Commissioner for Electronic Communications and Postal Regulation,1110935,,Office of the Commissioner for Electronic Communications and Postal Regulation,1099621,,Office of the Commissioner for Electronic Communications and Postal Regulation,1110802,,Office of the Commissioner for Electronic Communications and Postal Regulation,1111123,,Office of the Commissioner for Electronic Communications and Postal Regulation,1133780,,Office of the Commissioner for Electronic Communications and Postal Regulation,1176801,,Office of the Commissioner for Electronic Communications and Postal Regulation,1200378,,Office of the Commissioner for Electronic Communications and Postal Regulation,1243151,,Office of the Commissioner for Electronic Communications and Postal Regulation,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Czech Republic,4346009,,,6947151,,,8610177,,,9708683,,,10782567,,,11775878,,,12406199,,,13228631,,Czech Telecommunication Office.,13780165,,Czech Telecommunication Office.,13062617,Break in comparability. Adapted to 3-month activity creterion (previously: subscription recharged in the last 13 months).,Czech Telecommunication Office,12934100,,Czech Telecommunication Office,13167700,,Czech Telecommunication Office,13521900,,Czech Telecommunication Office,13719300,,Czech Telecommunication Office,13913100,,Czech Telecommunication Office,12454575.01,M2M services excluded,Czech Telecommunication Office,12485045,Excl. M2M and data only.,Czech Telecommunication Office,12636359,SIM cards for internet access service without voice services (subscriptions via data cards or USB modems) and M2M SIM cards were not included.,Czech Telecommunication Office,12704262,SIM cards for internet access service without voice services (subscriptions via data cards or USB modems) and M2M SIM cards were not included.,Czech Telecommunication Office,13101360,SIM cards for internet access service without voice services (subscriptions via data cards or USB modems) and M2M SIM cards were not included.,Czech Telecommunication Office,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Côte d'Ivoire,472952,,Agence des Télécommunications de Côte d'Ivoire.,728545,,Agence des Télécommunications de Côte d'Ivoire.,1027058,,Agence des Télécommunications de Côte d'Ivoire.,1280696,,Agence des Télécommunications de Côte d'Ivoire.,1674332,,Agence des Télécommunications de Côte d'Ivoire.,2349439,,Agence des Télécommunications de Côte d'Ivoire.,4065421,,Agence des Télécommunications de Côte d'Ivoire.,7467708,,Agence des Télécommunications de Côte d'Ivoire (ATCI).,10449036,,Agence des Télécommunications de Côte d'Ivoire (ATCI).,13184308,,ATCI,15599044,,Agence des Télécommunications de Côte d'Ivoire (ATCI),17344242,,Agence des Télécommunications de Côte d'Ivoire (ATCI),18099532,,,19390902,,Autorité de Régulation des Télécommunications/TIC,22104575,,Autorité de Régulation des Télécommunications/TIC,25407610,,Autorité de Régulation des Télécommunications/TIC,27451250,,ARTCI,31747233,,ARTCI,33807850,,ARTCI,37376603,,ARTCI,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Dem. People's Rep. of Korea,0,,Ministry of Posts and Telecommunications.,0,,Ministry of Posts and Telecommunications.,0,,Ministry of Posts and Telecommunications.,0,,Ministry of Posts and Telecommunications.,0,,Ministry of Posts and Telecommunications.,0,,Ministry of Posts and Telecommunications.,0,,Ministry of Posts and Telecommunications.,0,,Ministry of Posts and Telecommunications.,0,,Ministry of Posts and Telecommunications.,69261,Sept.,Koryolink.,431919,,Koryolink.,1000000,,ITU estimate.,1700000,,ITU estimate.,2420000,,ITU estimate.,2800000,,ITU estimate.,3240000,,ITU estimate.,3606000,,ITU estimate.,3810000,,ITU estimate.,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Dem. Rep. of the Congo,15000,Includes non-active subscriptions,Ministère des Postes et Télécommunications.,150000,Includes non-active subscriptions,Ministère des Postes et Télécommunications.,560000,Includes non-active subscriptions,Ministère des Postes et Télécommunications.,1246225,Includes non-active subscriptions,Autorité de Régulation de la Poste et des Télécommunications.,1990722,Includes non-active subscriptions,Autorité de Régulation de la Poste et des Télécommunications.,2746094,Includes non-active subscriptions,Autorité de Régulation de la Poste et des Télécommunications.,4415470,Includes non-active subscriptions,Autorité de Régulation de la Poste et des Télécommunications.,6592000,Includes non-active subscriptions,Autorité de Régulation de la Poste et des Télécommunications.,9937622,Includes non-active subscriptions,A.R.P.T.C.,9458557,Break in comparability: from 2009 on only active subscriptions are taken into consideration.,A.R.P.T.C.,11820348,,Autorité de Régulation de la Poste et des Télécommunications,15644877,,Autorité de Régulation de la Poste et des Télécommunications,20092678,,Autorité de Régulation de la Poste et des Télécommunications,28231900,,Autorité de Régulation de la Poste et des Télécommunications,37102958,,Autorité de Régulation de la Poste et des Télécommunications,37752782,,Autorité de Régulation de la Poste et des Télécommunications,28889317,,Autorité de Régulation de la Poste et des Télécommunications,35375246,,ARPTC,36470600,,ARPTC,37123208,,ARPTC,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Denmark,3363552,,,3960165,,,4477752,,,4767100,,,5166912,,,5449206,,,5828157,,,6308000,Includes mobile broadband subscriptions via data cards or USB modems.,National IT and Telecom Agency.,6556988,Incl. telemetry.,National IT- and Telecom Agency NITA,6833683,Incl. telemetry.,National IT- and Telecom Agency NITA,6420790,Break in comparability; from this year excluding telemetry subscriptions.,Danish Business Authority,7173185,,Danish Business Authority,7292756,,Danish Business Authority,7031152,,Danish Business Authority,7160233,,Danish Energy Agency,7079249,,Danish Energy Agency,6985035,,Center for Tele,7140859,,Danish Energy Agency,7216215,,Danish Energy Agency,7243465,,Danish Energy Agency,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Djibouti,230,,Office des Postes et Télécommunications (OPT).,3000,,Office des Postes et Télécommunications (OPT).,15000,,Djibouti Telecom S.A.,23000,,,34482,,,44053,,,44817,,,69539,,Ministère de la Communication et de la Culture; chargé des Postes et des Télécommunications.,112848,,Ministère de la Communication et de la Culture; chargé des Postes et des Télécommunications.,128776,,Ministère de la Communication et de la Culture; chargé des Postes et des Télécommunications.,165613,,Ministère de la Communication et de la Culture chargé des Postes et des Télécommunications,193049,,Ministère de la Communication et de la Culture chargé des Postes et des Télécommunications,212468,,Ministère de la Communication et de la Culture chargé des Postes et des Télécommunications,244123,,Ministère de la Communication et de la Culture chargé des Postes et des Télécommunications,287049,,Ministère de la Communication et de la Culture chargé des Postes et des Télécommunications,314350,,Ministère de la Communication chargé des Postes et des Télécommunications,345246,,Ministère de la Communication chargé des Postes et des Télécommunications,373052,,Ministère de la Communication chargé des Postes et des Télécommunications,395037,,Ministère de la Communication chargé des Postes et des Télécommunications,413866,,Ministère de la Communication chargé des Postes et des Télécommunications,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Dominica,1200,,Telecommunications of Dominica Limited estimate.,7710,,National Telecommunications Regulatory Commission (NTRC).,12173,,National Telecommunications Regulatory Commission (NTRC).,23786,,National Telecommunications Regulatory Commission (NTRC).,41838,,National Telecommunications Regulatory Commission (NTRC).,52000,,National Telecommunications Regulatory Commission (NTRC).,71500,,National Telecommunications Regulatory Commission (NTRC).,89000,,National Telecommunications Regulatory Commission (NTRC).,91000,,ECTEL.,98500,,ECTEL.,105567,Country estimate.,National Telecommunications Regulatory Commission,108924,,National Telecommunications Regulatory Commission,109300,,National Telecommunications Regulatory Commission,93575,,National Telecommunications Regulatory Commission,73886,,ECTEL,77254,,ECTEL,78444,,National Telecommunications Regulatory Commission,75230,,National Telecommunications Regulatory Commission,75771,,National Telecommunications Regulatory Commission,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Dominican Rep.,705431,,,1270082,,,1700609,,,2091914,,,2534063,,,3623289,,,4605659,,,5512859,,INDOTEL,7210483,,INDOTEL,8629815,,INDOTEL,8892783,,Instituto Dominicano de las Telecomunicaciones (INDOTEL),8770780,,Instituto Dominicano de las Telecomunicaciones (INDOTEL),8934196,,Instituto Dominicano de las Telecomunicaciones (INDOTEL),9200410,,Instituto Dominicano de las Telecomunicaciones (INDOTEL),8303536,Validation process of mobile accounts carried out in 2014; resulting in unverified accounts being disactivated.,Instituto Dominicano de las Telecomunicaciones (INDOTEL),8797247,,Instituto Dominicano de las Telecomunicaciones (INDOTEL),8708131,,INSTITUTO DOMINICANO DE LAS TELECOMUNICACIONES,8769127,,INSTITUTO DOMINICANO DE LAS TELECOMUNICACIONES,8937647,,INSTITUTO DOMINICANO DE LAS TELECOMUNICACIONES,8948107,,INSTITUTO DOMINICANO DE LAS TELECOMUNICACIONES,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Ecuador,482213,,,859152,,,1560861,,,2398161,,,3544174,,,6246332,Incl. public mobile telephony.,,8485050,Incl. public mobile telephony.,,9939977,Incl. public mobile telephony.,SENATEL.,11684479,Incl. public mobile telephony.,SENATEL.,13241758,Incl. public mobile telephony.,SENATEL.,14780730,Incl. public mobile telephony.,Secretaría Nacional de Telecomunicaciones (SENATEL),15332715,Incl. public mobile telephony.,Secretaría Nacional de Telecomunicaciones (SENATEL),16456740,Incl. public mobile telephony.,Secretaría Nacional de Telecomunicaciones (SENATEL),16626199,Incl. public mobile telephony.,Secretaría Nacional de Telecomunicaciones (SENATEL),16605737,Incl. public mobile telephony.,Agencia de Regulación y Control de las Telecomunicaciones,12943791,Operators cleaned inactive lines. Incl. public mobile telephony.,Agencia de Regulación y Control de las Telecomunicaciones,13882280,Incl. public payphones.,Agencia de Regulación y Control de las Telecomunicaciones,14651404,Incluidos teléfonos públicos,Agencia de Regulación y Control de las Telecomunicaciones,15772838,Incluidos teléfonos públicos,Agencia de Regulación y Control de las Telecomunicaciones,15853100,Incluidos teléfonos públicos,Agencia de Regulación y Control de las Telecomunicaciones,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Egypt,1359900,June.,Telecom Egypt.,2793800,,Telecom Egypt.,4494700,,Telecom Egypt.,5797530,,Ministry of Communications and Information Technology.,7643060,,Ministry of Communications and Information Technology.,13629602,,Ministry of Communications and Information Technology.,18001106,,Ministry of Communications and Information Technology.,30093673,,Ministry of Communcations and Information Technology,41286662,,Ministry of Communcations and Information Technology,55352233,,Ministry of Communications and Information Technology.,70661005,,Ministry of Communications and Information Technology,83425145,,Ministry of Communications and Information Technology,96798801,,Ministry of Communications and Information Technology,99704976,,Ministry of Communications and Information Technology,95316034,,Ministry of Communications and Information Technology,94016152,,Ministry of Communications and Information Technology,97791441,,Ministry of Communications and Information Technology,102958194,,Ministry of Communications and Information Technology,93784497,,Ministry of Communications and Information Technology,95340262,,Ministry of Communications and Information Technology,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,El Salvador,743628,,,857782,,,888818,,,1149790,,,1832579,,,2411753,,,3851611,,,6137381,,Superintendencia General de Electricidad y Telecomunicaciones,6950703,,Superintendencia General de Electricidad y Telecomunicaciones,7566245,,Superintendencia General de Electricidad y Telecomunicaciones,7700336,Estimate based on June 2010 data.,Superintendencia General de Electricidad y Telecomunicaciones,8316150,,Superintendencia General de Electricidad y Telecomunicaciones,8649000,,ITU estimate.,8991899,Incl. data-only subscriptions.,Superintendencia General de Electricidad y Telecomunicaciones,9193342,,Superintendencia General de Electricidad y Telecomunicaciones,9334132,,Superintendencia General de Electricidad y Telecomunicaciones,9637259,,Superintendencia General de Electricidad y Telecomunicaciones,9478044,,Superintendencia General de Electricidad y Telecomunicaciones,9433495,,Superintendencia General de Electricidad y Telecomunicaciones,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Equatorial Guinea,5000,,Ministerio de Transportes; Información y Comunicaciones. Estimate.,15000,,Ministerio de Transportes; Información y Comunicaciones. Estimate.,32000,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale (GETESA).,41500,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale (GETESA).,61900,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale (GETESA).,96900,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale (GETESA).,120000,,ITU estimate.,150000,,ITU estimate.,180000,,ITU estimate.,200000,,ITU estimate based on Hits Telecom.,399290,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,478860,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,501077,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,510783,,Orange-GETESA,516540,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,533336,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,575650,RECTIFICADO GETESA,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,566113,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,591223,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Eritrea,0,,Eritrea Telecommunication Services Corporation (Eritel).,0,,Eritrea Telecommunication Services Corporation (Eritel).,0,,Eritrea Telecommunication Services Corporation (Eritel).,0,,Eritrea Telecommunication Services Corporation (Eritel).,20000,,Eritrea Telecommunication Services Corporation (Eritel).,40438,,Eritrea Telecommunication Services Corporation (Eritel).,61996,,Eritrea Telecommunication Services Corporation (Eritel).,84348,,Eritrea Telecommunication Services Corporation.,108631,,Eritrea Telecommunication Services Corporation.,141130,,Eritrea Telecommunication Services Corporation.,185275,,EriTel,241939,,EriTel,305283,,EriTel,354844,,EriTel,417400,,ITU estimate.,475000,,ITU estimate.,506000,,EriTel,695000,,ITU estimate.,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Estonia,557000,,Ministry of Economic Affairs and Communications.,651200,,Ministry of Economic Affairs and Communications.,881000,,Ministry of Economic Affairs and Communications.,1050241,,Ministry of Economic Affairs and Communications.,1255731,,Ministry of Economic Affairs and Communications.,1445300,,Ministry of Economic Affairs and Communications.,1658700,,Ministry of Economic Affairs and Communications.,1681849,,Ministry of Economic Affairs and Communications.,1624465,,Estonian Competition Authority.,1570538,,Estonian Competition Authority.,1652809,Excl. 1'890'000 prepaid cards that are used to provide travel SIM service.,Estonian Competition Authority,1806075,Excl. 2209181 prepaid cards that are used to provide Travel SIM/WorldMobile service.,Estonian Competition Authority,1999750,Excl. 2 720 698 prepaid cards that are used to provide Travel SIM/WorldMobile service.,Estonian Competition Authority,1927423,,Estonian Competition Authority,1897551,Excl. 3 135 687 prepaid cards that are used to provide Travel SIM/WorldMobile service.,Estonian Technical Regulation Authority,1903545,Excl. 2 351 881 prepaid cards that are used to provide Travel SIM/WorldMobile service.,Estonian Technical Regulatory Authority,1897921,Excl. 320 502 prepaid cards that are used to provide Travel SIM.,Consumer Protection and Technical Regulatory Authority,1904425,Excl. 297 544 prepaid cards that are used to provide Travel SIM.,Consumer Protection and Technical Regulatory Authority,1924034,Excl. 347 016 prepaid cards that are used to provide Travel SIM.,Consumer Protection and Technical Regulatory Authority,1951051,Excl. 366 153 prepaid cards that are used to provide Travel SIM.,Consumer Protection and Technical Regulatory Authority,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Eswatini,33000,,Swaziland Posts and Telecommunications Corporation (STPC).,55000,,Swaziland Posts and Telecommunications Corporation (STPC).,68000,,Swaziland Posts and Telecommunications Corporation (STPC).,85000,,ITU estimate.,145000,,Swaziland Posts and Telecommunications Corporation (STPC).,200000,,Swaziland Posts and Telecommunications Corporation (STPC).,250000,,Swaziland Posts and Telecommunications Corporation (STPC).,380000,,ITU estimate.,531643,,Swaziland Posts and Telecommunications Corporation (STPC).,664432,,SPTC AR2011.,725802,,SPTC AR2011.,766540,,Swaziland Posts and Telecommunications Corporation,805000,,Swaziland Posts and Telecommunications Corporation,893000,,ITU estimate.,916800,,ITU estimate.,941000,,ITU estimate.,995000,,ITU estimate.,1052000,,ITU estimate.,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Ethiopia,17757,,,27500,,,50369,,,51324,,,155534,,,410630,,,866700,,,1208498,,Ethiopian Telecommunication Agency.,1954527,,Ethiopian Telecommunication Agency.,4051703,,Ethiopian Telecommunication Agency.,6854000,,Ministry of Communication and Information Technology,14126659,,Ministry of Communications and Information Technology,20523889,,Ministry of Communications and Information Technology,25646865,,Ministry of Communications and Information Technology,30490000,,Ministry of Communications and Information Technology,42311629,There was A Telecom Expansion Project (TEP) ongoing which results in about 12 Million new subscriber than the previous year.,Ministry of Communications and Information Technology,51224000,,Ministry of Communications and Information Technology,39600000,Kindly note that we have been clearing data on mobile subscription; and internet users as well. The 2017 data showed significant decrease compared to 2015; and 2016.,Ministry of Communications and Information Technology,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Falkland (Malvinas) Is.,0,,Cable and Wireless PLC Ltd. (C&W).,0,,Cable and Wireless PLC Ltd. (C&W).,0,,Cable and Wireless PLC Ltd. (C&W).,0,,Cable and Wireless PLC Ltd. (C&W).,0,,Cable and Wireless PLC Ltd. (C&W).,766,GSM mobile was only launched on 12.12.2005.,Cable and Wireless PLC Ltd. (C&W).,2276,,Cable and Wireless PLC Ltd. (C&W).,2979,,Cable & Wireless South Atlantic Plc,2991,,Cable & Wireless,3256,,Cable & Wireless,3254,,Cable & Wireless,3286,,Cable & Wireless,3457,,Cable & Wireless,3607,,Sure,4172,,Sure,4400,,ITU estimate.,4674,,Sure,5000,,ITU estimate.,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Faroe Islands,16971,,,24487,,,34737,,,38026,,,41298,,,42032,,,49965,,,52169,,Postal and Telecom Surveillance Authority.,54860,,Postal and Telecom Surveillance Authority.,56993,,Postal and Telecom Surveillance Authority.,59446,,Post and Telecom Surveillance Authority,58475,,Post and Telecom Surveillance Authority,58722,,Post and Telecom Surveillance Authority,57751,,ITU estimate.,58282,,Post and Telecom Surveillance Authority,53213,,Post and Telecom Authority,54487,,Fjarskiftiseftirlitið (NRA),56619,The number for 2017 has been revised and is now 56619,Fjarskiftiseftirlitið (NRA),56792,,Fjarskiftiseftirlitið (NRA),,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Fiji,55057,Data refer to March of following year.,Telecom Fiji.,80933,Data refer to March of following year.,Telecom Fiji.,89900,Data refer to March of following year.,Telecom Fiji.,109882,Data refer to March of following year.,Ministry of Information; Communications & Media Relations.,142190,Data refer to March of following year.,Ministry of Information; Communications & Media Relations.,205000,Data refer to March of following year.,Ministry of Information; Communications & Media Relations.,284661,Data refer to March of following year.,Ministry of Information; Communications & Media Relations.,530048,Data refer to March of following year.,Ministry of Information; Communications & Media Relations.,600000,Data refer to March of following year.,Ministry of Information; Communications & Media Relations.,640000,,Ministry of Public Enterprises; Communications; Civil Aviation and Tourism,697920,30th June 2011.,Ministry of Public Enterprises; Communications; Civil Aviation and Tourism,727000,,Ministry of Public Enterprises; Communications; Civil Aviation and Tourism,858809,,Ministry of Communications,930406,,Ministry of Communications,876176,Reduction in multiple sim usage per subscriber (of different network operators),Ministry of Communications,965950,,Ministry of Communications,1044685,,Ministry of Communications,1033915,,Ministry of Communications,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Finland,3728625,,,4175587,,,4516772,,,4747126,,,4988000,,,5270000,,,5670000,,,6080000,,Finnish Communications Regulatory Authority.,6830000,Includes data-only subscriptions,Finnish Communications Regulatory Authority.,7700000,Includes data-only subscriptions,Finnish Communications Regulatory Authority.,8390000,Includes data-only subscriptions,Finnish Communications Regulatory Authority (FICORA),8940000,Includes data-only subscriptions,Finnish Communications Regulatory Authority (FICORA),9320000,Includes data-only subscriptions,Finnish Communications Regulatory Authority (FICORA),7411200,Break in comparability: Contrary to previous years; 2014 data exclude data-only subscriptions,Finnish Communications Regulatory Authority (FICORA),7602600,Excludes data-only subscriptions.,Finnish Communications Regulatory Authority (FICORA),7396200,Excludes data-only subscriptions.,Finnish Communications Regulatory Authority (FICORA),7220100,Excludes data-only subscriptions.,Finnish Transport and Communications Agency Traficom,7160000,Excludes data-only subscriptions.,Finnish Transport and Communications Agency Traficom,7150000,Excludes data-only subscriptions.,Finnish Transport and Communications Agency Traficom,7150000,Excludes data-only subscriptions.,Finnish Transport and Communications Agency Traficom,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,France,29052360,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,36997400,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,38585300,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,41702000,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,44544000,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,48088000,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,51662000,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,55358100,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,57972000,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,57918000,,Autorité de Régulation des Communications électroniques et des postes,57785000,,Autorité de Régulation des Communications électroniques et des postes,59816000,,Autorité de Régulation des Communications électroniques et des postes,62260000,,Autorité de Régulation des Communications électroniques et des postes,63324000,,Autorité de Régulation des Communications électroniques et des postes,65425000,,Autorité de Régulation des Communications électroniques et des postes,66681000,,Autorité de Régulation des Communications électroniques et des postes,67571000,,ARCEP,69018000,,ARCEP,70422000,,ARCEP,72040000,,ARCEP,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,French Guiana,39830,,,75320,,,87300,,,92000,,,98000,,,,,,,,,,,,,,,217748,,ARCEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,French Polynesia,39900,,,67300,,,52250,,,60100,,,96000,,,120000,,,152000,,,174847,,Service des Postes et Télécommunications.,187146,,Service des Postes et Télécommunications.,208261,,Service des Postes et Télécommunications.,215890,,Service des Postes et Télécommunications,222827,,Agence de Réglementation du Numérique,227601,,Service des Postes et Télécommunications,243395,,Service des Postes et Télécommunications,255123,,Service des Postes et Télécommunications,268334,,Direction générale de l'économie numérique (DGEN),280111,,Direction Générale de l'Economie Numérique,287839,,Direction Générale de l'Economie Numérique,302673,,Direction Générale de l'Economie Numérique,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Gabon,120000,Includes inactive subscribers.,Office des postes et des télécommunications (OPT).,150000,Includes inactive subscribers.,Office des postes et des télécommunications (OPT).,279289,Includes inactive subscribers.,Gabon Telecom S.A.,300000,Includes inactive subscribers.,Gabon Telecom S.A.,489367,Includes inactive subscribers.,Gabon Telecom S.A.,736690,Includes inactive subscribers.,Gabon Telecom S.A.,897987,Includes inactive subscribers.,Gabon Telecom S.A.,1169000,Includes inactive subscribers.,Gabon Telecom S.A.,1300000,Includes inactive subscribers.,ITU estimate.,1450000,,ITU estimate.,1610000,,Gabon Télécom,2370227,,ARCEP.,2557728,,ITU estimate.,2745229,,ITU estimate.,2932731,,Autorité de Régulation des Communications Electroniques et des Postes,2821555,,Autorité de Régulation des Communications Electroniques et des Postes,2962486,,Autorité de Régulation des Communications Électroniques et des Postes,2663243,,Autorité de Régulation des Communications Électroniques et des Postes,2930554,,Autorité de Régulation des Communications Électroniques et des Postes,2992811,,Autorité de Régulation des Communications Électroniques et des Postes,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Gambia,5600,,GAMTEL estimate.,55085,,Gambia Telecommunications Co. Ltd (GAMTEL).,100000,,Gambia Telecommunications Co. Ltd (GAMTEL).,149300,,Gambia Telecommunications Co. Ltd (GAMTEL).,175000,,Gambia Telecommunications Co. Ltd (GAMTEL).,247478,,The Gambia Public Utilities Regulatory Authority.,404345,,The Gambia Public Utilities Regulatory Authority.,800371,,The Gambia Public Utilities Regulatory Authority.,1166136,,The Gambia Public Utilities Regulatory Authority.,1312874,,The Gambia Public Utilities Regulatory Authority,1478347,,The Gambia Public Utilities Regulatory Authority,1401163,,The Gambia Public Utilities Regulatory Authority,1526191,,The Gambia Public Utilities Regulatory Authority,1848854,,The Gambia Public Utilities Regulatory Authority,2283691,,The Gambia Public Utilities Regulatory Authority,2715672,,The Gambia Public Utilities Regulatory Authority,2838127,,Public Utilities Regulatory Authority,2966000,,Public Utilities Regulatory Authority,3181393,,Public Utilities Regulatory Authority,,,,,
