Country,Type,Title of Legislation/Draft Legislation,Links to laws,data_country,data_year
Saudi Arabia,Draft Legislation,Bill - Freedom of Information and Protection of Private data,,,
Senegal,Legislation,LOI n° 2008-12 du 25 janvier 2008 portant sur la Protection des données à caractère personnel ,http://www.centif.sn/Loi_2008_12.pdf,,
Serbia,Legislation,Law on Personnal Data Protection N°97/08,http://www.refworld.org/pdfid/4b5718f52.pdf,,
Seychelles,Draft Legislation, Bill - The Data Protection  No. 9 of 2003,http://greybook.seylii.org/se/2003-9,,
Singapore,Legislation,Personal Data Protection Act No. 26 2012 (in English),https://sso.agc.gov.sg/Act/PDPA2012,,
Slovakia,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Slovakia,Legislation,Act on the Protection of Personal Data 1992 (in English),https://dataprotection.gov.sk/uoou/en/content/national-legal-framework,,
Slovenia,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Slovenia,Legislation,Personal Data Protection Act 1990 (in English),https://rm.coe.int/16806af30c,,
South Africa,Legislation,Protection of Personal Information Act 4 of 2013,http://www.justice.gov.za/inforeg/docs.html,,
Spain,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Spain,Legislation,"Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales (in Spanish)",https://www.boe.es/eli/es/lo/2018/12/05/3/con,,
Suriname,Legislation,"The Constitution of the Republic of Suriname, Article 17 (in English)",http://www.parliament.am/library/sahmanadrutyunner/surinam.pdf,,
Sweden,Legislation,Personal Data Act 1998 (in English),http://www.qcert.org/sites/default/files/public/documents/swe-privacy-personal_data_act-eng-1998.pdf ,,
Switzerland,Legislation,"Federal Act on Data Protection, 1992 (in English)",https://www.admin.ch/opc/en/classified-compilation/19920153/,,
Tajikistan,Legislation,"Law of the Republic of Tajikistan No 1537 about Personal Data Protection, 2018",https://cis-legislation.com/document.fwx?rgn=108952,,
Thailand,Legislation,"Personal Data Protection Act, B. E. 2562, 2019",https://www.etda.or.th/app/webroot/content_files/13/files/The%20Personal%20Data%20Protection%20Act.pdf,,
The former Yugoslav Republic of Macedonia,Legislation,"Law on Personal Data Protection (in English, unofficial translation)",https://www.legislationline.org/download/id/1247/file/22fb16d752a9b7737b6fc8252ba5.pdf,,
Togo,Legislation,Loi No. 14/2019 relativbe a la protection des donnees a caractere personnelle (In French),https://jo.gouv.tg/sites/default/files/JO/JOS_29_10_2019-64E%20ANNEE-N%C2%B026%20TER.pdf#page=1,,
Trinidad and Tobago,Legislation,Data Protection Act 2011 (in English),http://www.ttparliament.org/legislations/a2011-13.pdf,,
Trinidad and Tobago,Legislation,The Constitution of the Rpublic of Trinidad and Tobago (in English),http://www.oas.org/juridico/english/mesicic3_tto_constitution.pdf,,
Tunisia,Legislation,Loi organique No. 63/2004 portant sur la protection des données à caractère personnelles,http://www.ins.tn/sites/default/files/Loi%2063-2004%20Fr.pdf,,
Tunisia,Legislation,Organic Act No. 63/2004 on the protection of personal data,https://media2.mofo.com/documents/The+Organic+Act+2004-63.pdf,,
Turkey,Legislation,"Law on the Protection of Personal Data No. 6698, 2016 (In Turkish)",http://www.resmigazete.gov.tr/eskiler/2016/04/20160407-8.pdf,,
Turkmenistan,Legislation,Law on Information on Private Life and its Protection No. 519-V (in Russian),https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/107056/131641/F419973633/519.pdf,,
Uganda,Draft Legislation,"The Data Protection and Privacy Bill, 2015 (in English)",https://ulii.org/system/files/legislation/act/2019/1/THE%20DATA%20PROTECTION%20AND%20PRIVACY%20BILL%20-%20ASSENTED.pdf,,
Ukraine,Legislation,On protection of Personal Data No. 2267-VI,https://zakon.rada.gov.ua/laws/show/2297-17?lang=en,,
United Kingdom of Great Britain and Northern Ireland,Legislation,Data Protection Act 1998 (in English)  ,http://www.legislation.gov.uk/ukpga/1998/29/contents,,
United Republic of Tanzania,Draft Legislation,Data Protection Bill 2013,,,
United States of America,Legislation,Privacy Act of 1974 (in English) ,http://www.justice.gov/opcl/file/631151/download

,,
United States of America,Legislation,
Federal Trade Commission Act 15,https://www.ftc.gov/sites/default/files/documents/statutes/federal-trade-commission-act/ftc_act_incorporatingus_safe_web_act.pdf,,
Uruguay,Legislation,La Ley 18.331 Protección de Datos Personales y Acción de Habeas Data del 11 agosto del año 2008 y el Decreto reglamentario 414/2009 (in Spanish),https://www.impo.com.uy/bases/leyes/18331-2008,,
Uzbekistan,Legislation,"Law No. ZRU-547, On Personal Data, dated 2 July 2019.",https://cis-legislation.com/document.fwx?rgn=116961,,
Viet Nam,Legislation,Law on information technology 2006,http://vbpl.vn/tw/Pages/vbpqen-toanvan.aspx?ItemID=4773,,
Viet Nam,Legislation,Law on protection of consumers' rights 2010,http://vbpl.vn/tw/Pages/vbpqen-toanvan.aspx?ItemID=10500,,
Yemen,Legislation,Law of the Right of Access to Information 2012 (in English),http://www.right2info.org/resources/publications/laws-1/laws_yemen,,
Zambia,Legislation,"Data Protection Act, 2020,",http://www.parliament.gov.zm/sites/default/files/documents/related_documents/The%20Data%20Protection%20Bill%2C%202020.pdf,,
Zimbabwe,Draft Legislation,Bill - Data Protection  2016 (In English),http://www.techzim.co.zw/wp-content/uploads/2016/08/Zimbabwes-Draft-Data-Protection-Bill-v-1-June-2013.pdf,,
