Country,Type,Title of Legislation/Draft Legislation,Links to laws,data_country,data_year
China,Legislation,"The Decision of the Standing Committee of the National People's Congress on Strengthening the Network Information Protection, 2012 (Not official translation in English).",https://chinacopyrightandmedia.wordpress.com/2012/12/28/national-peoples-congress-standing-committee-decision-concerning-strengthening-network-information-protection/,,
China,Legislation,"The Decision of the Standing Committee of the National People's Congress on Strengthening the Network Information Protection, 2012 (In Chinese).",http://www.gov.cn/jrzg/2012-12/28/content_2301231.htm,,
Colombia,Legislation,Ley 1581 de 2012 - Marco general de la protección de los datos personales en Colombia ,https://www.funcionpublica.gov.co/eva/gestornormativo/norma_pdf.php?i=49981,,
Congo,No Data,Loi n° 29-2019 du 10 octobre 2019 portant
protection des données à caractère personnel,https://www.sgg.cg/JO/2019/congo-jo-2019-45.pdf,,
Costa Rica,Legislation,"Political Constitution of the Republic of Costa Rica, consolidated version to October 5, 2005 (in English)",http://www.wipo.int/wipolex/en/text.jsp?file_id=219959,,
Costa Rica,Legislation,"Constitución Política de la República de Costa Rica, versión refundida al 5 de octubre de 2005 (in Spanish)",http://www.wipo.int/wipolex/en/text.jsp?file_id=219833,,
Costa Rica,Legislation,Ley de protección de la persona frente al tratamiento de sus datos personales - Ley n.º 8968,http://www.oas.org/es/sla/ddi/docs/CR4%20Ley%20de%20Protecci%C3%B3n%20de%20la%20Persona%20frente%20al%20Tratamiento%20de%20sus%20Datos%20Personales.pdf,,
Côte d'Ivoire,Legislation,Loi n° 2013-450 du 19 juin 2013 relative à la protection des données à caractère personnel (in French),http://media.mofo.com/files/PrivacyLibrary/3979/Cote-d-voire-loi_2013_450.pdf,,
Croatia,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Croatia,Legislation,Act on Personal Data Protection (in English),http://www.right2info.org/resources/publications/laws-1/croatia-personal-data-protection-act/view,,
Cyprus,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Cyprus,Legislation,The Processing of Personal Data (Protection of the Individual) Law (in English),http://www.dataprotection.gov.cy/dataprotection/dataprotection.nsf/2B53605103DCE4A4C225826300362211/$file/Law%20125(I)%20of%202018%20ENG%20final.pdf,,
Czech Republic,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Czech Republic,Legislation,Act No. 11/2019 on changes related to Act on Processing Personal Data (In Czech),https://aplikace.mvcr.cz/sbirka-zakonu/ViewFile.aspx?type=z&id=63840,,
Czech Republic,Legislation,Act No. 110/2019 on Processing of Personal Data (In Czech),https://aplikace.mvcr.cz/sbirka-zakonu/ViewFile.aspx?type=z&id=63839,,
Denmark,Legislation,Act on Processing of Personal Data (in Danish),https://www.retsinformation.dk/Forms/R0710.aspx?id=201319,,
Denmark,Legislation,Act on Processing of Personal Data (in English),https://rm.coe.int/16806af0e6,,
Denmark,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Dominica,Draft Legislation,Bill - Privacy and Data Protection,,,
Dominican Republic,Legislation,"Ley No. 172-13, sobre Protección de Datos de Carácter Personal del 13 de diciembre de 2013 (in English)",http://www.poderjudicial.gob.do/documentos/PDF/leyes/LEY_172_13.pdf,,
Ecuador,Legislation, Protection of Privacy and Personal Data Bill 2019,https://www.nmslaw.com.ec/wp-content/uploads/2019/09/Proyecto-de-Ley-Org%C3%A1nica-de-Protecci%C3%B3n-de-Datos-Personales.pdf,,
El Salvador,Draft Legislation,Bill - Ley de Comercio Electronico y Comunicaciones,https://www.asamblea.gob.sv/sites/default/files/documents/correspondencia/2A326CE8-F13A-4828-8640-648235C228BF.pdf,,
Equatorial Guinea,Legislation,"Law No. 1/2016, Law on Personal Data Protection",https://platform.dataguidance.com/notes/equatorial-guinea-data-protection-overview,,
