1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Country Name,Country Code,Indicator Name,Indicator Code,data_country,data_year
,69.24938532,71.63140148,73.97759045,76.25672638,78.47035476,80.6285915,82.75367053,84.87744995,86.98134879,89.01921321,91.00537408,93.01187215,95.07734457,97.21271514,99.43090973,101.7320337,104.1630839,106.7166842,108.7832104,110.1202318,111.2706709,112.4696523,113.7439761,114.9315771,115.9429575,116.8662452,117.7156305,118.25915,121.1164735,124.9223393,127.068177,125.5551458,121.438321,118.5006322,116.7116965,115.8727784,114.9075518,113.8233228,112.6108184,111.2933966,110.0503337,109.0634703,108.3281349,107.6833509,107.0335792,106.3043906,105.5283808,104.7917457,104.119986,103.4876361,102.8793818,102.3681419,101.9102564,101.5079031,101.1097647,100.6615736,100.1729189,99.63319283,99.07277836,98.54611872,,Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,,
,103.13,106.36,109.745,113.28,116.955,120.61,124.24,128.04,131.98,135.375,137.965,140.315,142.645,145.06,147.865,150.99,154.08,157.14,160.225,164.43,170.295,176.835,183.675,190.84,198.315,206.105,214.21,222.66,231.44,239.09,244.96,250.39,255.87,261.44,267.005,272.5,277.89,283.015,287.97,291.15,291.62,290.885,289.705,288.13,286.27,284.185,281.915,279.455,276.83,274.245,271.55,268.455,264.975,261.085,256.84,252.24,247.315,242.12,236.605,230.945,,American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,,
,127.8295455,129.5636364,131.3136364,133.3272727,135.5545455,137.7613636,140.0386364,142.4045455,144.8681818,146.6295455,147.2022727,147.0340909,146.5068182,145.95,145.5340909,145.4318182,145.7204545,146.2022727,146.8386364,147.475,147.9,148.2522727,148.6545455,148.55,147.8363636,147.0727273,146.2568182,145.4136364,144.6272727,143.9272727,144.6227273,146.9522727,149.6227273,152.4363636,155.45,158.6318182,161.8590909,164.9363636,167.775,170.5795455,173.2159091,175.4431818,177.4431818,179.4113636,181.5204545,183.8522727,186.4,189.2068182,192.1227273,194.7613636,197.1113636,199.2590909,201.1295455,202.8090909,204.4113636,205.8272727,207.0886364,208.2409091,209.3568182,210.6,,Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,,
,1.364565299,1.398279161,1.425354386,1.453601135,1.482368561,1.516603101,1.535868164,1.563203728,1.596266743,1.628028065,1.684000885,1.715241529,1.741665907,1.786313995,1.808442784,1.826666493,1.84736342,1.868971532,1.889277951,1.912448095,1.942551059,1.976523567,2.003758249,2.027959205,2.055154316,2.085098213,2.117057912,2.151981047,2.188721607,2.221356625,2.249851737,2.275182563,2.2955115,2.317726202,2.343683793,2.37230608,2.398114757,2.42213712,2.448780183,2.476966794,2.508975307,2.53767882,2.567035523,2.594629473,2.626406675,2.662088958,2.711118025,2.765994429,2.823588378,2.867858584,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.197365841,3.245784982,3.294351419,3.335312311,,Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,,
,85.87371546,86.40164809,86.95844644,87.54000242,88.11062773,88.73080465,89.3964857,89.86188803,90.172746,90.4881968,90.89289869,91.42269753,91.93062288,92.08722734,91.84322588,91.68110761,91.7163112,91.64208677,91.48600339,91.48610034,91.71970431,91.78550654,91.63730005,91.63153175,91.67456374,91.73284052,91.79091129,91.9209525,92.33600339,93.04229278,93.97589675,95.01586282,95.80262967,96.17205526,96.31941348,96.44955162,96.55890693,96.6649176,96.85317499,97.08635482,97.45871304,97.93937227,98.41763209,99.03012603,99.70708919,100.2016602,100.5269874,100.8421716,101.1066772,101.3500242,101.6922322,102.1569438,102.7608216,103.5670868,104.7345977,105.8733398,106.6113185,107.1318589,107.6093068,108.0570044,,Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,,
,48.61686915,50.08772246,51.5946261,53.34547028,54.97254167,56.57678119,58.06505882,59.46501316,60.84453898,62.1513633,63.4840237,64.78784383,66.01896247,67.22304337,68.36403619,69.46897869,70.61237488,71.81405242,72.9574486,74.02934497,75.19797638,76.39725056,77.62596585,78.92437843,80.15369456,81.35717462,82.61953687,83.81220183,85.03731209,86.22276698,87.3775791,88.70843698,90.06332841,91.28603531,92.34711657,93.28622757,94.19048992,95.23179127,96.52076658,97.43477998,98.19379207,98.9124646,99.62372356,100.4753726,101.5225018,102.6725317,103.8533687,106.0597625,108.2912905,109.5423442,110.9763362,112.4607902,113.9234808,115.3488139,116.7310768,118.033289,119.2087416,120.2575919,121.2800711,122.1247368,,Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,,
,109.6562305,112.4376168,114.8026869,118.1160826,121.4226636,124.3527259,127.5114097,130.5450545,133.3500389,136.2084891,139.4887072,139.3767523,139.0751558,142.5246106,145.9981308,149.1779206,152.9372274,157.2978972,161.115148,167.9452492,174.8731698,179.2161604,184.053972,188.561838,192.6800623,196.3281153,200.8477025,205.2897196,209.2561137,213.5433411,217.867134,223.6403816,216.3247664,217.5392523,231.0273754,230.9387461,230.6799844,235.021028,240.661215,245.6253505,251.7807243,258.9150312,267.1669003,277.2778816,287.7287383,298.2161215,309.3695093,322.3562695,339.1497664,355.397391,368.2139019,381.4438863,395.2327492,408.6804128,417.7238318,424.5843847,434.4078271,447.565109,462.41581,475.8655374,,Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,,
,279.8277879,280.9438757,283.0521024,285.7438452,288.3506094,290.3049055,291.9253809,293.0760512,293.9071298,294.1971054,294.7337599,295.8901584,296.8226691,297.7580439,298.6197441,299.1537782,299.5234004,299.802986,300.0725777,300.4034735,300.3955515,300.3139244,300.290067,300.2855576,300.3750152,300.4821146,300.7383912,301.696039,302.7939366,303.6983242,304.8289458,306.0681901,307.2661487,308.2145948,308.8607861,309.464869,310.2146557,310.8777575,311.5910725,338.5485469,339.7149934,341.2412483,342.6728203,344.1590819,346.0573646,348.347358,350.9147952,353.6979194,356.555251,359.8278071,364.5397622,366.8075297,368.5405218,370.180218,372.3314399,374.2213342,375.6657199,377.3795905,379.4247028,381.0635403,,Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,,
,22.62518624,22.99842143,23.39554807,23.81712487,24.26253104,24.73077332,25.21939518,25.72914154,26.26078397,26.81308088,27.38897659,27.99226676,28.62167435,29.27701313,29.96366619,30.68755764,31.451348,32.25369812,33.100337,34.00087797,34.95538311,35.95587974,36.99473217,38.07263214,39.19432423,40.36344448,41.58200603,42.84874069,44.16175949,45.52517737,46.94081234,48.40172047,50.60465591,52.53098617,53.62283611,55.01826889,56.64265697,58.39112274,60.20387549,62.06121852,63.95921426,65.90797269,67.92486697,70.0120078,72.2722508,74.51783434,76.69174353,78.98606775,81.34545938,83.76826889,86.25736077,88.80877971,91.42186946,94.13660873,96.95621674,99.85885952,102.8447943,105.8946701,108.9964881,112.1241841,,Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,,
,17.73696272,17.99889254,18.26999635,18.55303728,18.85207968,19.16226974,19.48323465,19.8176864,20.15989401,20.51047515,20.86181652,21.21813962,21.59262427,21.99612939,22.43583333,22.91580775,23.45237208,24.04158991,24.67082968,25.33979167,26.03702485,26.76102705,27.52625731,28.33141813,29.16368787,29.99936769,30.82966374,31.66564327,32.51182018,33.37485746,34.22903509,35.08243787,35.9651864,36.88324561,37.84087354,38.82021199,39.82950658,40.93955775,42.15480263,43.43160819,44.77252924,46.17057383,47.62642909,49.14465278,50.71683845,52.32544591,53.93667398,55.54793494,57.20037281,58.90659722,60.68220395,62.55019006,64.46055556,66.41024123,68.41381213,70.45138158,72.49948099,74.53480629,76.57762792,78.66456871,,Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,,
