1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,2016 - 2017 (%) ,2000 - 2017 (%/year) ,data_country,data_year
72,74,77,77,80,81,85,87,91,87,90,94,96,97,101,100,99,105,108,114,119,114,103,102,103,110,115,117,Netherlands,1.3,1.6,Netherlands,Netherlands
136,135,133,134,135,139,143,143,143,142,145,146,144,152,154,157,162,159,155,152,158,164,162,165,159,165,167,171,Poland,2.4,1.0,Poland,Poland
29,30,30,31,31,33,35,34,39,43,44,47,46,47,45,47,49,47,46,50,54,52,47,52,53,52,60,60,Portugal,0.0,1.9,Portugal,Portugal
64,57,54,55,55,59,61,57,53,51,52,54,55,55,56,59,63,62,65,58,61,62,59,59,66,66,67,64,Romania,-3.7,1.2,Romania,Romania
152,156,159,157,162,167,174,190,195,208,224,236,245,261,280,294,299,305,314,295,302,294,298,286,279,281,275,275,Spain,0.2,1.2,Spain,Spain
147,147,146,146,143,148,141,149,159,155,145,162,147,135,152,158,143,149,150,137,149,150,167,153,154,162,155,163,Sweden,5.0,0.7,Sweden,Sweden
320,323,321,323,326,334,351,351,363,368,377,385,387,398,394,398,397,397,389,377,382,367,363,358,338,339,339,336,United Kingdom,-1.0,-0.7,United Kingdom,United Kingdom
122,111,118,120,113,123,105,112,117,123,143,122,131,107,111,138,122,137,142,132,124,128,148,134,142,145,150,149,Norway,-0.2,0.3,Norway,Norway
58,60,67,74,78,86,95,103,111,116,125,123,129,141,151,162,176,192,198,195,211,229,239,240,252,262,274,296,Turkey,7.7,5.2,Turkey,Turkey
1676,1635,1529,1436,1309,1270,1237,1211,1193,1214,1250,1270,1274,1318,1346,1374,1433,1458,1483,1407,1483,1513,1542,1538,1542,1531,1561,1566,CIS,0.3,1.3,CIS,CIS
87,86,83,77,66,67,59,52,49,47,51,57,58,64,67,68,72,77,80,79,83,87,93,103,105,106,110,120,Kazakhstan,9.0,5.1,Kazakhstan,Kazakhstan
1082,1068,1008,957,876,860,847,834,827,846,878,891,891,916,932,953,996,1015,1040,992,1038,1055,1071,1059,1064,1068,1090,1090,Russia,0.0,1.3,Russia,Russia
299,279,253,230,203,194,183,178,173,172,171,173,174,180,182,186,193,196,193,174,189,195,199,194,183,164,165,158,Ukraine,-4.2,-0.5,Ukraine,Ukraine
56,54,51,49,48,47,45,46,46,45,47,48,49,49,50,49,51,49,49,50,52,52,53,54,55,57,59,60,Uzbekistan,2.9,1.5,Uzbekistan,Uzbekistan
4306,4425,4471,4637,4760,4911,5057,5126,5292,5409,5641,5431,5657,5732,5883,6072,6114,6235,6305,6108,6357,6431,6423,6501,6564,6555,6576,6553,America,-0.3,0.9,America,America
3701,3784,3811,3944,4029,4142,4250,4271,4392,4477,4658,4455,4652,4671,4775,4915,4912,4979,5000,4798,4982,4986,4927,4972,5007,4988,4993,4963,North America,-0.6,0.4,North America,North America
482,509,520,532,556,560,573,574,562,579,606,590,601,590,600,621,611,629,632,610,604,636,637,665,668,671,677,712,Canada,5.2,1.0,Canada,Canada
3219,3276,3291,3411,3473,3582,3677,3698,3830,3898,4053,3865,4051,4082,4175,4294,4301,4350,4368,4188,4378,4349,4291,4306,4339,4317,4316,4251,United States,-1.5,0.3,United States,United States
