ShortName,2000_note,2000_source,2000_value,2001_note,2001_source,2001_value,2002_note,2002_source,2002_value,2003_note,2003_source,2003_value,2004_note,2004_source,2004_value,2005_note,2005_source,2005_value,2006_note,2006_source,2006_value,2007_note,2007_source,2007_value,2008_note,2008_source,2008_value,2009_note,2009_source,2009_value,2010_note,2010_source,2010_value,2011_note,2011_source,2011_value,2012_note,2012_source,2012_value,2013_note,2013_source,2013_value,2014_note,2014_source,2014_value,2015_note,2015_source,2015_value,2016_note,2016_source,2016_value,2017_note,2017_source,2017_value,2018_note,2018_source,2018_value,2019_note,2019_source,2019_value,2020_note,2020_source,2020_value,data_country,data_year
Ascension,,Cable & Wireless plc. (C&W).,34.94,Data refer to 31st December.,Cable & Wireless plc. (C&W).,38.17,,,,,,,,,,,,,,,,,Cable & Wireless,33.00,,Cable & Wireless,33.00,,Cable & Wireless,33.00,,Cable & Wireless South Atlantic Ltd,35.00,,Cable & Wireless South Atlantic Ltd,36.00,,ITU estimate.,41.03,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,ABS Household Use of Information Technology Survey.,46.76,,ITU estimate.,52.69,,,,,,,,,,Population age 15+.,Australian Bureau of Statistics.,63.00,Population age 15+.,Australian Bureau of Statistics. ,66.00,Population age 15+.,Australian Bureau of Statistics.,69.45,Population age 15+.,Australian Bureau of Statistics.,71.67,Population age 15+.,Australian Bureau of Statistics.,74.25,,ITU estimate.,76.00,Individuals aged 15 years and over,Australian Bureau of Statistics,79.49," 
Individuals aged 15 years and over",Australian Bureau of Statistics,79.00,Population age 15+.,Australian Bureau of Statistics,83.45,,ITU estimate.,84.00,Internet users are persons aged 15 years and over who accessed the internet for personal use in a typical week.,Australian Bureau of Statistics,84.56,,ITU estimate.,86.54,Internet users are persons aged 15 years and over who accessed the internet for personal use in a typical week.,Australian Bureau of Statistics,86.55,,Australian Bureau of Statistics,,,,,,,,,
Austria,"Regular users of the Internet, Population age 14+.",Austria Internet Monitor.,33.73,"Regular users of the Internet, Population age 14+.",Austria Internet Monitor.,39.19,Population age 16-74 using Internet in the last 3 months.,Eurostat.,36.56,Population age 16-74.,Eurostat.,42.70,Population age 16-74.,Eurostat.,54.28,Population age 16-74.,Eurostat.,58.00,Population age 16-74.,Eurostat.,63.60,Population age 16-74.,Eurostat.,69.37,Population age 16-74.,Eurostat.,72.87,Population age 16-74.,Eurostat.,73.45,Population age 16-74.,Eurostat.,75.17, Users in the last 3 months. Age 16-74.,Eurostat.,78.74, Users in the last 3 months.,Eurostat.,80.03,Population age 16-74.,Eurostat.,80.62,Population age 16-74.,Statistik Austria.,81.00,Individuals aged 16 to 74 years who used the Internet in the last 3 months,ITU,83.94,Individuals aged 16 to 74 years who used the Internet in the last 3 months,ITU,84.32,,Statistik Austria,87.94,,Statistik Austria,87.48,,Statistik Austria,87.75,,,,,
Azerbaijan,,,0.15,,,0.31,,,5.00,,,,,,,,,8.03,,,11.99,,ITU estimate.,14.54,Population age 7+.,State Statistical Committee,17.08,Population age 7+.,State Statistical Committee,27.40,Population age 7+.,State Statistical Committee,46.00,Population age 7+.,ITU estimate.,50.00,,ITU estimate.,54.20,Population age 7+.,State Statistical Committee of Azerbaijan Republic,73.00,Population age 7+.,State Statistical Committee of the Republic of Azerbaijan,75.00,,State Statistical Committee of the Republic of Azerbaijan,77.00,,State Statistical Committee of the Republic of Azerbaijan,78.20,,State Statistical Committee of the Republic of Azerbaijan,79.00,,State Statistical Committee of the Republic of Azerbaijan,79.80,,State Statistical Committee,81.10,,,,,
Bahamas,Estimated based on 3 times the number of subscribers.,ITU estimate.,8.00,Estimated based on 3 times the number of subscribers.,ITU estimate.,11.80,Estimated based on 3 times the number of subscribers.,ITU estimate.,18.00,,ITU estimate.,20.00,,ITU estimate.,22.00,,ITU estimate.,25.00,,ITU estimate.,26.00,,ITU estimate.,27.00,,BAHAMAS TELECOMMUNICATIONS COMPANY LTD.,31.54,,BAHAMAS TELECOMMUNICATIONS COMPANY LTD.,33.88,,ITU estimate.,43.00,,BAHAMAS TELECOMMUNICATIONS COMPANY LTD.,65.00,,ITU estimate.,71.75,,ITU estimate.,72.00,,ITU estimate.,76.92,,ITU estimate.,78.00,,ITU estimate.,80.00,,ITU estimate.,85.00,,,,,,,,,,,
Bahrain,,,6.15,,,15.04,,,18.05,,,21.55,,,21.46,,,21.30,,,28.24,,Telecommunications Regulatory Authority (TRA),32.91,,Telecommunications Regulatory Authority (TRA),51.95,,Telecommunications Regulatory Authority (TRA),53.00,,Telecommunications Regulatory Authority (TRA),55.00,Estimated based on TRA 2011 Residential consumer survey,Telecommunications Regulatory Authority (TRA),77.00,Population age 15+. Estimated based on  2011 Residential consumer survey result and TRA analysis of the growth,Telecommunications Regulatory Authority (TRA),88.00,Population age 15+.,Telecommunications Regulatory Authority (TRA),90.00,Population age 15+.,Telecommunications Regulatory Authority (TRA),90.50,,Information and E-Government Authority,93.48,Estimated based on TRA 2016 Residential consumer survey,Information and E-Government Authority,98.00,Estimated based on TRA 2017 Residential consumer survey,Information and E-Government Authority,95.88,,Information and E-Government Authority,98.64,,Telecommunications Regulatory Authority (TRA),99.70,,,,,
Bangladesh,,ITU estimate.,0.07,,ITU estimate.,0.13,,ITU estimate.,0.14,,ITU estimate.,0.16,,ITU estimate.,0.20,,ITU estimate.,0.24,,ITU estimate.,1.00,,ITU estimate.,1.80,,ITU estimate.,2.50,,ITU estimate.,3.10,,ITU estimate.,3.70,,ITU estimate.,4.50,,ITU estimate.,5.00,Labour Force Survey 2013,Bangladesh Bureau of Statistics,6.63,,ITU estimate.,13.90,,ITU estimate.,14.40,,ITU estimate.,18.02,,,,,,,,Bangladesh Bureau of Statistics(BBS),12.90,,,,,
Barbados,,Cable and Wireless (Barbados) Limited.,3.97,,ITU estimate.,11.94,,ITU estimate.,27.84,,Ministry of Energy and Public Utilities.,39.69,,National Council for Science and Technology (NCST).,49.80,,ITU estimate.,52.50,,ITU estimate.,55.30,,ITU estimate.,58.20,,ITU estimate.,61.40,,ITU estimate.,64.70,,ITU estimate.,65.10,,ITU estimate.,66.50,,ITU estimate.,71.20,,ITU estimate.,71.80,,ITU estimate.,75.16,,ITU estimate.,76.11,,ITU estimate.,79.55,,ITU estimate.,81.76,,,,,,,,,,,
Belarus,,Beltelecom.,1.86,,Beltelecom.,4.30,,Beltelecom.,8.95,,,,,,,,,,Population age 16+.,National Statistical Committee.,16.20,Population age 16+.,National Statistical Committee.,19.70,Population age 16+.,National Statistical Committee.,23.00,Population age 16+.,National Statistical Committee of the Republic of Belarus (Belstat),27.43,Population age 16+.,National Statistical Committee of the Republic of Belarus (Belstat),31.80,Population age 16+.,National Statistical Committee of the Republic of Belarus,39.65,Population age 16+.,National Statistical Committee of the Republic of Belarus (Belstat),46.91,"Population age 6+ (break in comparability, before 16+).",National Statistical Committee of the Republic of Belarus (Belstat),54.17,Population age 6+.,National Statistical Committee of the Republic of Belarus (Belstat),59.02,During the recent 12 months.,National Statistical Committee of the Republic of Belarus (Belstat),62.23,during the recent 12 months,National Statistical Committee of the Republic of Belarus (Belstat),71.11,during the recent 12 months,National Statistical Committee of the Republic of Belarus (Belstat),74.44,,National Statistical Committee of the Republic of Belarus (Belstat),79.13,,Национальный статистический комитет Республики Беларусь,82.79,,,,,
Belgium,,Institut belge des services postaux et des télécommunications (IBPT).,29.43,,Institut belge des services postaux et des télécommunications (IBPT).,31.29,,Institut belge des services postaux et des télécommunications ,46.33,,Institut belge des services postaux et des télécommunications ,49.97,,Institut belge des services postaux et des télécommunications ,53.86,,ITU estimate.,55.82,,ITU estimate.,59.72,,ITU estimate.,64.44,,Belgian Institute for Postal Services and Telecommunications ,66.00,,Belgian Institute for Postal Services and Telecommunications ,70.00,,Belgian Institute for Postal Services and Telecommunications ,75.00, Users in the last 3 months. Age 16-74.,Eurostat.,81.61, Users in the last 3 months.,Eurostat.,80.72,Population age 16-74.,Eurostat.,82.17,Population age 16-74. Last three months. ,Eurostat,85.00,"In accordance with the explanation of indicator HH7, individuals using the Internet (or Internet users) are understood to be individuals who have used the internet from any location in the last three months.",Direction Générale Statistique - Statistics Belgium,85.05,"In accordance with the explanation of indicator HH7, individuals using the Internet (or Internet users) are understood to be individuals who have used the internet from any location in the last three months.",Direction Générale Statistique - Statistics Belgium,86.52,,Direction Générale Statistique - Statistics Belgium,87.68,,Direction Générale Statistique - Statistics Belgium,88.66,,Statistics Belgium (Statbel),90.28,,,,,
