ShortName,2000_note,2000_source,2000_value,2001_note,2001_source,2001_value,2002_note,2002_source,2002_value,2003_note,2003_source,2003_value,2004_note,2004_source,2004_value,2005_note,2005_source,2005_value,2006_note,2006_source,2006_value,2007_note,2007_source,2007_value,2008_note,2008_source,2008_value,2009_note,2009_source,2009_value,2010_note,2010_source,2010_value,2011_note,2011_source,2011_value,2012_note,2012_source,2012_value,2013_note,2013_source,2013_value,2014_note,2014_source,2014_value,2015_note,2015_source,2015_value,2016_note,2016_source,2016_value,2017_note,2017_source,2017_value,2018_note,2018_source,2018_value,2019_note,2019_source,2019_value,2020_note,2020_source,2020_value,data_country,data_year
Bulgaria,,Bulgarian Telecommunications Company Ltd.,5.37,,Bulgarian Telecommunications Company Ltd.,7.61,,Communications Regulation Commission.,9.08,,Communications Regulation Commission.,12.04,Population age 16-74.,Eurostat,18.13,Population age 16-74.,Communications Regulation Commission.,19.97,Population age 16-74.,Eurostat,27.09,Population age 16-74.,Communications Regulation Commission,33.64,Population age 16-74.,Communications Regulation Commission,39.67,"Population age 16-74.
",Communications Regulation Commission,45.00,"Population age 16-74.
",Communications Regulation Commission,46.23, Users in the last 3 months. Age 16-74.,Eurostat.,47.98, Users in the last 3 months.,Eurostat.,51.90,Population age 16-74.,Eurostat.,53.06,Population age 16-74.,Eurostat,55.49,,National Statistical Institute,56.66,,National Statistical Institute,59.83,,National Statistical Institute,63.41,,National Statistical Institute,64.78,,National Statistical Institute,67.95,,,,,
Burkina Faso,,,0.08,,,0.16,,,0.20,,,0.37,,,0.40,,,0.47,,,0.63,,Autorité de Régulation des Télécommunications Électroniques (ARCE),0.75,,ITU estimate.,0.92,,ITU estimate.,1.13,,ITU estimate.,2.40,,ITU estimate.,3.00,,ITU estimate.,3.73,,ITU estimate.,9.10,,ITU estimate.,9.40,18+ at least once a month,ITU estimate.,14.00,,ITU estimate.,13.96,,ITU estimate.,15.88,,,,,,,,,,,
Burundi,,,0.08,,,0.11,,,0.12,,,0.20,,,0.35,,,0.54,,,0.66,,Agence de Régulation et de Contrôle des Télécommunications (ARCT),0.70,,Agence de Régulation et de Contrôle des Télécommunications (ARCT),0.81,,ITU estimate. ,0.90,,ITU estimate. ,1.00,,ITU estimate.,1.11,,ITU estimate.,1.22,Population age 5+.,Institut de Statistiques et d'tudes Economiques,1.26,,ITU estimate.,1.38,,ITU estimate.,4.87,,ITU estimate.,5.17,,Institut de Statistiques et d'tudes Economiques,2.66,,,,,,,,,,,
Cabo Verde,,Cabo Verde Telecom.,1.82,,Cabo Verde Telecom.,2.69,,ITU estimate.,3.52,,Cabo Verde Telecom.,4.32,,Cabo Verde Telecom.,5.32,,Instituto das Comunicações e das Tecnologias de Informação.,6.07,,Instituto das Comunicações e das Tecnologias de Informação.,6.81,,Instituto das Comunicações e das Tecnologias de Informação.,8.28,,ITU estimate.,14.00,,ITU estimate.,21.00,,ITU estimate.,30.00,,ITU estimate.,32.00,,Instituto Nacional de Estatística,34.74,,ITU estimate.,37.50,,ITU estimate.,40.26,,Instituto Nacional de Estatística,42.68,"Population 10 years of age or older
source - IMC 2016 survey",Instituto Nacional de Estatística,50.32,"Population 10 years of age or older
source - IMC 2017 survey",Instituto Nacional de Estatística,57.16,,,,,Instituto Nacional de Estatistica,61.94,,,,,
Cambodia,,Ministry of Post and Telecommunications (MPTC).,0.05,,Ministry of Post and Telecommunications (MPTC).,0.08,,Ministry of Post and Telecommunications (MPTC).,0.23,,Ministry of Post and Telecommunications (MPTC).,0.26,,Ministry of Post and Telecommunications (MPTC).,0.30,,Ministry of Post and Telecommunications (MPTC).,0.32,,ITU estimate.,0.47,,MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC),0.49,,MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC),0.51,,MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC),0.53,,Ministry of Posts and Telecommunications,1.26,,ITU estimate.,3.10,,National Institute of Statistics,4.94,Based on Cambodia's Inter-censal Population Survey 2013 and growth of mobile broadband.,ITU estimate based on National Institute of Statistics,6.80,,ITU estimate.,14.00,,National Institute of Statistics,6.43,,National Institute of Statistics,32.40,,National Institute of Statistics,32.90,,National Institute of Statistics,40.55,,,,,,,,
Cameroon,,,0.25,,,0.28,,,0.36,,,0.59,,,0.98,,,1.40,,,2.03,,Agence de Régulation des Statistiques,2.93,,ITU estimate.,3.40,,Agence de Régulation des Statistiques,3.84,,ITU estimate.,4.30,,ITU estimate. ,5.00,,ITU estimate.,7.50,,ITU estimate.,10.00,Population age 15+.,Institut National de la Statistique,16.21,,ITU estimate.,20.68,,ITU estimate.,23.20,masculin + féminin,Institut National de la Statistique,23.20,,,,,,,,,,,
Canada,"Survey result, scope age unknown.",Statistics Canada.,51.30,"Survey result, scope age unknown.",Statistics Canada.,60.20,"Survey result, scope age unknown.",Statistics Canada.,61.59,"Survey result, scope age unknown.",Statistics Canada.,64.20,"Survey result, scope age unknown.",Statistics Canada.,65.96,Population age 16+.,Statistics Canada.,71.66,Estimated based on Survey's results 2005 and 2007. Population age 16+.,ITU estimate.,72.40,Population age 16+.,Statistics Canada.,73.20,Estimate based on Survey's results 2007 and 2009. Population age 16+.,ITU estimate.,76.70,Population age 16+.,Statistics Canada.,80.30,"Population age 16+. Survey was redesigned, therefore comparison with previous years should not be done.",Statistics Canada.,80.30,,ITU estimate.,83.00,"Residents of Canada 16 years of age or older excluding: Residents of the Yukon, Northwest Territories and Nunavut, Inmates of Institutions, Persons living on Indian Reserves, and Full time members of the Canadian Forces.",CIUS.,83.00,,ITU estimate.,85.80,,ITU estimate.,87.12,18+,ITU estimate.,90.00,,ITU estimate.,91.16,,ITU estimate.,92.70,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,Source: Tower Omnibus Survey.,,38.03,,ITU estimate.,44.50,,ITU estimate.,52.00,,Information and Communications Technology Authority ,61.00,,Information and Communications Technology Authority ,64.50,,ITU estimate confirmed by the Information and Communications Technology Authority ,66.00,,ITU estimate.,69.47,,ITU estimate.,69.70,,ITU estimate.,71.40,,ITU estimate.,74.10,,ITU estimate.,77.00,,ITU estimate.,79.00,,ITU estimate.,81.07,,,,,,,,,,,
Central African Rep.,,,0.05,,,0.08,,,0.13,,ITU estimate.,0.15,,ITU estimate.,0.22,,ITU estimate.,0.27,,ITU estimate.,0.31,,Société Centrafricaine des Télécommunications.,0.38,,Société Centrafricaine des Télécommunications.,1.00,,ITU estimate.,1.80,,ITU estimate. ,2.00,,ITU estimate.,2.20,,ITU estimate.,3.00,,ITU estimate.,3.40,,ITU estimate.,3.60,,ITU estimate.,3.80,,ITU estimate.,4.00,,ITU estimate.,4.34,,,,,,,,,,,
Chad,,SOTEL.,0.04,,SOTEL.,0.05,,SOTEL.,0.17,,SOTEL.,0.32,,Office Tchadien de Régulation des Télécommunications.,0.36,,Office Tchadien de Régulation des Télécommunications.,0.40,,Office Tchadien de Régulation des Télécommunications.,0.58,,Office Tchadien de Régulation des Télécommunications.,0.85,,Office Tchadien de Régulation des Télécommunications,1.19,,ITU estimate. ,1.50,,ITU estimate.,1.70,,ITU estimate.,1.90,,ITU estimate.,2.10,,ITU estimate.,2.50,,ITU estimate.,2.90,,ITU estimate.,3.50,,ITU estimate.,5.00,,ITU estimate.,6.50,,,,,,,,,,,
Chile,Internet users 5+ over the total population.,"OSILAC, ECLAC.",16.60,Estimated based on surveys' results. Internet users 5+ over the total population.,ITU estimate.,19.10,Estimated based on surveys' results. Internet users 5+ over the total population.,ITU estimate.,22.10,Internet users 5+ over the total population.,Ministerio de Planificación.,25.47,Estimated based on surveys' results. Population age 5+.,ITU estimate.,28.18,Estimated based on surveys' results. Population age 5+.,ITU estimate.,31.18,Population age 5+.,Ministerio de Planificación.,34.50,Estimated based on surveys' results. Population age 5+.,ITU estimate.,35.90,Estimated based on surveys' results. Population age 5+.,ITU estimate.,37.30,Population age 5+.,Ministerio de Planificación.,41.56,Estimated based on surveys' results. Population age 5+.,ITU estimate.,45.00,Population age 5+.,Ministerio Desarrollo Social,52.25,,ITU  estimate.,55.05,Population age 5+.,Ministerio Desarrollo Social,58.00,,ITU estimate.,61.11,,Subsecretaría de Telecomunicaciones,76.63,older than 15 years,Subsecretaría de Telecomunicaciones,83.56,older than 15 years,Subsecretaría de Telecomunicaciones,82.33,,,,,,,,,,,
China,,CNNIC.,1.78,,CNNIC.,2.64,,CNNIC.,4.60,,CNNIC.,6.20,,CNNIC.,7.30,,CNNIC.,8.52,Population age 6+. Online at least one hour per week.,CNNIC.,10.52,,CNNIC.,16.00,,Ministry of Information Industry (MII).,22.60,,Ministry of Industry and Information Technology,28.90,,Ministry of Industry and Information Technology,34.30,,Ministry of Industry and Information Technology,38.30,,ITU estimate.,42.30, Permanent residents at the age of 6 or above. In the last 6 months.,ITU Research based on CNNIC report.,45.80, Permanent residents at the age of 6 or above. In the last 6 months.,ITU estimate.,47.90, Permanent residents at the age of 6 or above. In the last 6 months.,ITU estimate.,50.30,,CNNIC.,53.20,,CNNIC.,54.30,,,,,,,,National Bureau of Statistics of China,64.57,,
Colombia,,Ministerio de Comunicaciones.,2.21,,Ministry of Communications' estimate.,2.85,,Ministerio de Comunicaciones.,4.60,June.,Ministerio de Comunicaciones.,7.39,,Ministerio de Comunicaciones.,9.12,,Ministerio de Comunicaciones.,11.01,,Ministerio de Comunicaciones.,15.34,,ITU estimate.,21.80,Population age 5+.,Departamento Administrativo Nacional de Estadística-DANE.,25.60,Population age 5+.,Departamento Administrativo Nacional de Estadística-DANE.,30.00,Population age 5+.,Departamento Administrativo Nacional de Estadística-DANE.,36.50,Population age 5+.,Departamento Administrativo Nacional de Estadística - DANE,40.35,Population age 5+.,Departamento Administrativo Nacional de Estadistica (DANE),48.98,Population age 5+.,Departamento Administrativo Nacional de Estadistica (DANE),51.70,Population age 5+.,Departamento Administrativo Nacional de Estadistica (DANE),52.57,,Departamento Administrativo Nacional de Estadistica (DANE),55.90,,Departamento Administrativo Nacional de Estadistica (DANE),58.14,"Los datos son expandidos con proyecciones de población, elaboradas con base en los resultados del censo 2005. La población objetivo de la encuesta corresponde a las personas de 5 años y más de edad.",Departamento Administrativo Nacional de Estadistica (DANE),62.26,,Departamento Administrativo Nacional de Estadistica (DANE),64.13,,Departamento Administrativo Nacional de Estadistica (DANE),65.01,,,,,
Comoros,,,0.27,,,0.44,,,0.55,,ITU estimate.,0.85,,ITU estimate.,1.33,,ITU estimate.,2.00,,ITU estimate.,2.20,,ITU estimate.,2.50,,ITU estimate.,3.00,,ITU estimate.,3.50,,ITU estimate.,5.10,,ITU estimate. ,5.50,,ITU estimate.,5.98,,ITU estimate.,6.50,,ITU estimate.,6.98,,ITU estimate.,7.46,,ITU estimate.,7.94,,ITU estimate.,8.48,,,,,,,,,,,
Congo (Rep. of the),,,0.03,,,0.03,,,0.16,,ITU estimate.,0.46,,ITU estimate.,1.08,,ITU estimate.,1.46,,ITU estimate.,2.01,,Direction Génerale de l'Administration Centrale des Postes et Télécommunications du Congo.,2.76,,Direction Génerale de l'Administration Centrale des Postes et Télécommunications du Congo.,4.29,,ITU estimate.,4.50,,ITU estimate.,5.00,Estimate based on the number of fixed and mobile broadband subscriptions. ,Agence de Régulation des Postes et des Communications Electroniques,5.60,,ITU estimate.,6.11,,ITU estimate.,6.60,,ITU estimate.,7.11,,ITU estimate.,7.62,,ITU estimate.,8.12,,ITU estimate.,8.65,,,,,,,,,,,
Cook Islands,,ITU estimate.,15.66,,ITU estimate.,18.08,,ITU estimate.,20.02,,ITU estimate.,22.87,,ITU estimate.,23.99,,ITU estimate.,26.20,,ITU estimate.,25.86,,ITU estimate.,25.60,,ITU estimate.,25.41,,Telecom Cook Islands Ltd.,30.29,,Telecom Cook Islands Ltd.,35.71,this figure includes all individuals who have access to the internet at home.,Cook Islands Statistics Office,39.03,,ITU estimate.,42.00,,ITU estimate.,45.00,,ITU estimate.,48.00,,ITU estimate.,51.00,,ITU estimate.,54.00,,,,,,,,,,,,,,
Costa Rica,,,5.80,,,9.56,,,19.89,,,20.33,,,20.79,Population age 5+.,Instituto Nacional de Estadística y Censos,22.07,Estimated based on 2005 and 2008 surveys' results. Population age 5+,ITU estimate.,25.10,Estimated based on 2005 and 2008 surveys' results. Population age 5+,ITU estimate.,28.40,Population age 5+ using Internet in the last 3 months.,Instituto Nacional de Estadística y Censos,32.29,Population age 5+ using Internet in the last 3 months.,ICE-Telecomunicaciones,34.33,Population age 5+ using Internet in the last 3 months.,Instituto Nacional de Estadisticas y Censos (INEC),36.50,Total population. In the last three months.,Instituto Nacional de Estadisticas y Censos (INEC),39.21,In the last 3 months. Population 5+.,Instituto Nacional de Estadisticas y Censos (INEC),47.50,Break in comparability. Total population. In the last three months.,Instituto Nacional de Estadisticas y Censos (INEC),45.96,,ITU estimate.,53.00,"Se consulta a las personas de 5 años y más. En el caso de las personas que han utilizado la computadora en los últimos tres meses , se consideró el uso de computadora portatil o tablet o computadora de escritorio ya que las preguntas se realizan de forma independiente.",Instituto Nacional de Estadisticas y Censos ,59.76,,ITU,65.88,,Instituto Nacional de Estadisticas y Censos ,71.58,,Instituto Nacional de Estadisticas y Censos ,73.48,,Instituto Nacional de Estadisticas y Censos ,81.20,,,,,
Côte d'Ivoire,,,0.23,,,0.40,,,0.50,,,0.76,,,0.85,,,1.04,,,1.52,,ITU estimate.,1.80,,ITU estimate.,1.90,,ITU estimate.,2.00,,ITU estimate.,2.70,,ITU estimate.,2.90,,ITU estimate.,5.00,,ITU estimate.,12.00,,ITU estimate.,19.27,,ITU,38.44,,ITU,41.21,,ARTCI,43.84,,ARTCI,37.55,,ARTCI,36.29,,,,,
Croatia,,,6.64,,,11.56,,Croatian Post and Electronic Communications Agency (HAKOM). ,17.76,,,22.75,,,30.91,Population age 16-74.,,33.14,Population age 16-74.,,37.98,Population age 16-74.,Eurostat.,41.44,Population age 16-74.,Croatian Post and Electronic Communications Agency (HAKOM),44.24,Population age 16-74.,Croatian Post and Electronic Communications Agency (HAKOM),50.58,Population age 16-74.,Croatian Post and Electronic Communications Agency (HAKOM),56.55, Users in the last 3 months. Age 16-74.,Eurostat.,57.79, Users in the last 3 months.,Eurostat.,61.94,Population age 16-74.,Eurostat.,66.75,Population age 16-74.,Eurostat,68.57,last 3 months.,ITU,69.85,last 3 months.,Croatian Bureau of Statistics,72.70,last 3 months.,Croatian Bureau of Statistics,67.10,,Croatian Bureau of Statistics,75.29,,Croatian Bureau of Statistics,79.08,,,,,
Cuba,Refers only to users with access to the international network.,Ministerio de la Informática y las Comunicaciones.,0.54,Refers only to users with access to the international network.,Ministerio de la Informática y las Comunicaciones.,1.08,Incl. users of the international network and also those having access only to the Cuban network.,ONE.,3.77,Incl. users of the international network and also those having access only to the Cuban network.,ONE.,5.24,Incl. users of the international network and also those having access only to the Cuban network.,ONE.,8.41,Incl. users of the international network and also those having access only to the Cuban network.,ONE.,9.74,Incl. users of the international network and also those having access only to the Cuban network.,ONE.,11.16,Incl. users of the international network and also those having access only to the Cuban network.,Ministerio de la Informática y las Comunicaciones,11.69,Incl. users of the international network and also those having access only to the Cuban network.,Ministerio de la Informática y las Comunicaciones,12.94,Incl. users of the international network and also those having access only to the Cuban network. Users of international network account for 2.9%.,Ministerio de la Informática y las Comunicaciones,14.33,Incl. users of the international network and also those having access only to the Cuban network.,Ministerio de la Informática y las Comunicaciones,15.90,Population age 6+. Incl. users of the international network and also those having access only to the Cuban network.,Oficina Nacional de Estadisticas (ONE),16.02,,ITU estimate.,21.20,Population age 6+. Incl. users of the international network and also those having access only to the Cuban network.,Oficina Nacional de Estadisticas (ONE),27.93,Population age 6+.,Oficina Nacional de Estadisticas e Información (ONEI),29.07,,Oficina Nacional de Estadisticas e Informacion ,37.31,,Oficina Nacional de Estadisticas e Informacion ,42.98,,Oficina Nacional de Estadisticas e Informacion ,57.15,,Oficina Nacional de Estadisticas e Informacion ,62.68,,Oficina Nacional de Estadisticas e Informacion,67.97,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITU estimate.,61.86,,Central Bureau of Statistics,68.13,,,,,,,,,,,
Cyprus,,ESIS.,15.26,,ESIS.,18.82,,ESIS. ESIS. ESIS.,28.32,,ITU estimate based on Eurostat.,30.09,Population age 16-74.,Eurostat,33.83,Population age 16-74.,Eurostat.,32.81,Population age 16-74.,Eurostat.,35.83,Population age 16-74.,Eurostat.,40.77,Population age 16-74.,Eurostat.,42.31,Population age 16-74.,Eurostat.,49.81,"Population age 16-74.
",Eurostat.,52.99, Users in the last 3 months. Age 16-74.,Eurostat.,56.86, Users in the last 3 months.,Eurostat.,60.69,Population age 16-74.,Eurostat.,65.45,Population age 16-74.,Eurostat,69.33,,Statistical Service of Cyprus,71.72,,Statistical Service of Cyprus,75.90,,Statistical Service of Cyprus,80.74,,Statistical Service of Cyprus,84.43,,Statistical Service of Cyprus,86.06,,,,,
Czech Republic,,Ministry of Economy. Czech Telecommunication Office.,9.78,,Ministry of Economy. Czech Telecommunication Office.,14.70,,Ministry of Economy. Czech Telecommunication Office estimate.,23.93,Population age 16-74.,Eurostat,34.30,Population age 16-74.,Eurostat,35.50,Population age 16-74.,Eurostat.,35.27,Population age 16-74.,Eurostat.,47.93,Population age 16-74.,Eurostat.,51.93,Population age 16-74.,Eurostat.,62.97,Population age 16-74.,Eurostat.,64.43,Population age 16-74.,Eurostat.,68.82, Users in the last 3 months. Age 16-74.,Eurostat.,70.49, Users in the last 3 months.,Eurostat.,73.43,Population age 16-74.,Eurostat.,74.11,Population age 16+.,Czech Statistical Office.,74.23,,Czech Statistical Office,75.67,,Czech Statistical Office,76.48,reference period: 3 months prior to questioning,Czech Statistical Office,78.72,,Czech Statistical Office,80.69,,Czech Statistical Office,80.87,,,,,
Dem. People's Rep. of Korea,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,0.00,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,0.00,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,0.00,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,0.00,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,0.00,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,0.00,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,0.00,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,0.00,,Ministry of Posts and Telecommunications.,0.00,,ITU estimate.,0.00,,ITU estimate.,0.00,,ITU estimate.,0.00,,ITU estimate.,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Dem. Rep. of the Congo,ITU estimate. ,,0.01,,ITU estimate. ,0.01,,ITU estimate. ,0.09,,ITU estimate. ,0.13,,ITU estimate. ,0.20,,ITU estimate. ,0.24,,ITU estimate. ,0.30,,ITU estimate. ,0.37,,ITU estimate. ,0.44,,ITU estimate. ,0.56,Country estimate.,Autorité de Régulation de la Poste et des Télécommunications,0.72,,ITU estimate. ,1.20,,ITU estimate.,1.68,,ITU estimate.,2.20,,ITU estimate.,3.00,,ITU estimate.,3.80,,ITU estimate.,6.21,,ITU estimate.,8.62,,,,,,,,,,,
Denmark,E-mail users.,MR&IT.,39.17,,ITU estimate.,42.96,Population age 16-74 using Internet in the last 3 months.,Eurostat.,64.25,Population age 16-74.,Eurostat.,76.26,Population age 16-74.,Eurostat.,80.93,Population age 16-74.,Eurostat.,82.74,Population age 16-74.,Eurostat.,86.65,Population age 16-74.,Eurostat.,85.03,Population age 16-74.,Eurostat.,85.02,Population age 16-74.,Eurostat.,86.84,"Population age 16-74.
",National IT- and Telecom Agency NITA,88.72, Users in the last 3 months. Age 16-74.,Eurostat.,89.81, Users in the last 3 months.,Eurostat.,92.26,Population age 16-74.,Eurostat.,94.63,Population age 16-74.,Eurostat,95.99,	internet used past 3 months,Statistics Denmark,96.33,	internet used past 3 months,Statistics Denmark,96.97,"
internet used past 3 months",Statistics Denmark,97.10,,Statistics Denmark,97.32,,Statistics Denmark,98.05,,Statistics Denmark,96.55,,
Djibouti,,,0.19,,,0.34,,,0.49,,,0.63,,,0.78,,,0.95,,,1.27,,"Ministére de la Communication et de la Culture, chargé des Postes et des Télécommunications",1.62,,"Ministére de la Communication et de la Culture, chargé des Postes et des Télécommunications",2.26,,ITU estimate. ,4.00,,ITU estimate. ,6.50,,ITU estimate. ,7.00,,ITU estimate.,8.27,,ITU estimate.,9.50,,ITU estimate.,10.71,,ITU estimate.,11.92,,ITU estimate.,13.13,,Direction de la Statistique et des Etudes Démographiques,55.68,,,,,,,,,,,
Dominica,,,8.81,,,13.25,,,18.42,,ITU estimate.,23.62,,ITU estimate.,30.32,,ITU estimate.,38.54,,ITU estimate.,39.40,,ITU estimate.,40.27,,ITU estimate.,41.16,,ITU estimate.,42.02,,National Telecommunications Regulatory Commission,47.45,,ITU estimate.,48.60,,ITU estimate.,49.80,,ITU estimate.,51.00,,ECTEL,57.50,,ITU estimate.,65.00,,ITU estimate.,67.03,,ITU estimate.,69.62,,,,,,,,,,,
Dominican Rep.,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,3.70,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,4.43,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,6.82,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,7.90,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,8.87,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,11.48,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,14.84,,Instituto Dominicano de las Telecomunicaciones (INDOTEL),17.66,,Instituto Dominicano de las Telecomunicaciones (INDOTEL),20.82,Calculated using a multiplying factor of 3.9 to residencial subscriptions and 16 to business subscriptions.,Instituto Dominicano de las Telecomunicaciones (INDOTEL),27.72,,ITU estimate.,31.40,12+ years.,Oficina Nacional Estadistica.,38.00,12+ years,Oficina Nacional de Estadistica,42.32,12+ years,Oficina Nacional de Estadistica,45.90,,ITU estimate.,49.58,Individuals using the Internet (from any location) in the last 3 months.,Oficina Nacional de Estadistica,54.22,Individuals using the Internet (from any location) in the last 12 months.,Oficina Nacional de Estadistica,63.87,,Oficina Nacional de Estadistica,67.57,,Oficina Nacional de Estadistica,74.82,,,,,,,,
Ecuador,,,1.46,,,2.67,,,4.26,,,4.46,,,4.83,,ITU estimate.,5.99,Population age 10+.,ITU estimate.,7.20,Estimated based on survey results.,ITU estimate.,10.80,,Secretaría Nacional de Telecomunicaciones (SENATEL),18.80,"Population age 5+ (Source: INEC, households survey)",Secretaría Nacional de Telecomunicaciones (SENATEL),24.60,Population age 5+.,Instituto Nacional de Estadistica y Censos,29.03,Population age 5+.,Instituto Nacional de Estadistica y Censos - INEC,31.37,Population age 5+.,Instituto Nacional de Estadistica y Censos - INEC,35.14,Population age 5+. Direct respondent as of 15.,Instituto Nacional de Estadistica y Censos,40.28,Population age 5+,Instituto Nacional de Estadistica y Censos,45.59,"PERSONAS DE 5 AÑOS Y MÁS, INFORMANTE DIRECTO DE 15 AÑOS Y MÁS",Instituto Nacional de Estadistica y Censos,48.94,"PERSONAS DE 5 AÑOS Y MÁS, INFORMANTE DIRECTO DE 15 AÑOS Y MÁS",Instituto Nacional de Estadistica y Censos,54.06,,,,,,,,,,,,,,
Egypt,,Telecom Egypt estimate.,0.64,,Telecom Egypt estimate.,0.84,,MICT.,2.72,,Telecom Egypt estimate.,4.04,,Ministry of Communications and Information Technology.,11.92,,Ministry of Communications and Information Technology.,12.75,,Ministry of Communications and Information Technology.,13.66,,Ministry of Communcations and Information Technology,16.03,,Ministry of Communications and Information Technology,18.01,,ITU estimate.,20.00,Population age 6+.,Ministry of Communications and Information Technology,21.60,Population age 6+.,Ministry of Communications and Information Technology,25.60,Population age 6+.,central agency for public mobilization and statistics-capmas,26.40,Population age 6+.,Ministry of Communications and Information Technology,29.40,Population age 6+.,Ministry of Communications and Information Technology,33.89,,Ministry of Communications and Information Technology,37.82,,Ministry of Communications and Information Technology,41.25,,Ministry of Communications and Information Technology,44.95,,Ministry of Communications and Information Technology,46.92,,Ministry of Communications and Information Technology,57.28,,,,,
El Salvador,,Superintendencia General de Electricidad y Telecomunicaciones.,1.18,Estimated based on Survey results. Population age 10+.,ITU estimate.,1.50,Estimated based on Survey results. Population age 10+.,ITU estimate.,1.90,Estimated based on Survey results. Population age 10+.,ITU estimate.,2.50,Estimated based on Survey results. Population age 10+.,ITU estimate.,3.20,Estimated based on Survey results. Population age 10+.,ITU estimate.,4.20,Population age 10+.,"OSILAC, ECLAC.",5.50,Population age 10+.,DIGESTYC,6.11,Population age 10+.,DIGESTYC,10.08,Population age 10+.,DIGESTYC,12.11,Population age 10+.,DIGESTYC,15.90,,ITU estimate.,18.90,,Dirección General de Estadística y Censos. (DIGESTYC),20.32,In the last 12 months. Individuals aged 10 and above.,Dirección General de Estadística y Censos. (DIGESTYC),23.11,Population age 10+.,Dirección General de Estadística y Censos. (DIGESTYC),24.76,,ITU,26.80,,ITU estimate.,29.00,,Direccion General de Estadistica y Censos,33.82,,,,,Dirección General de Estadística y Censos. (DIGESTYC),50.49,,,,,
Equatorial Guinea,,,0.13,,,0.17,,,0.32,,,0.52,,,0.84,,,1.15,,,1.28,,ITU estimate.,1.56,,ITU estimate.,1.82,,ITU estimate.,2.13,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,6.00,,ITU estimate.,11.50,,ITU estimate.,13.94,,ITU estimate.,16.40,,ITU estimate.,18.86,,ITU estimate.,21.32,,ITU estimate.,23.78,,ITU estimate.,26.24,,,,,,,,,,,
Eritrea,,,0.14,,,0.16,,,0.23,,,,,,,,,,,,,,ITU estimate.,0.41,,ITU estimate.,0.47,,ITU estimate.,0.54,,ITU estimate.,0.61,,ITU estimate.,0.70,,ITU estimate,0.80,,ITU estimate.,0.90,,ITU estimate.,0.99,,ITU estimate.,1.08,,ITU estimate.,1.18,,ITU estimate.,1.31,,,,,,,,,,,
Estonia,,Ministry of Economic Affairs and Communications.,28.58,,Ministry of Economic Affairs and Communications.,31.53,,Ministry of Economic Affairs and Communications estimate.,41.52,,Ministry of Economic Affairs and Communications estimate.,45.32,Population age 16-74.,Eurostat.,53.20,Population age 16-74.,Eurostat.,61.45,Population age 16-74.,Eurostat.,63.51,Population age 16-74.,Eurostat.,66.19,Population age 16-74.,Eurostat.,70.58,Population age 16-74.,Eurostat.,72.50,Population age 16-74 in the last 3 months.,Estonian Competition Authority,74.10, Users in the last 3 months. Age 16-74.,Eurostat.,76.50, Users in the last 3 months.,Eurostat.,78.39,Population age 16-74.,Eurostat.,80.00,Population age 16-74.,Statistical Office of Estonia.,84.24,,Statistical Office of Estonia,88.41,,Statistical Office of Estonia,87.24,,Statistical Office of Estonia,88.10,,Statistical Office of Estonia,89.36,,Statistical Office of Estonia,89.53,,Statistics Estonia,89.06,,
