Country,Edition,Status,A1,A2,A3,A4,A5,A,B1,B2,B3,B4,B5,B6,B7,B8,B,C1,C2,C3,C4,C5,C6,C7,C8,C,Total
Germany,2021,F,6,2,6,5,3,22,5,2,3,4,3,2,4,6,29,5,3,5,3,2,4,4,2,28,79
Ghana,2021,PF,3,1,5,4,1,14,6,3,2,3,2,3,3,5,27,4,2,3,2,3,3,3,3,23,64
Hungary,2021,F,6,2,6,5,2,21,5,2,3,3,2,1,3,5,24,4,2,4,2,2,4,4,3,25,70
Iceland,2021,F,6,3,6,6,4,25,5,4,4,4,4,3,4,6,34,6,3,6,4,6,4,5,3,37,96
India,2021,PF,3,1,1,4,2,11,3,2,2,3,2,2,3,4,21,4,2,2,2,1,2,2,2,17,49
Indonesia,2021,PF,3,1,4,4,2,14,3,2,1,2,1,1,3,4,17,2,1,2,3,2,4,2,1,17,48
Iran,2021,NF,5,1,2,0,0,8,0,0,0,1,1,0,1,2,5,0,0,0,1,1,0,1,0,3,16
Iraq,2021,PF,3,1,3,3,1,11,5,1,1,1,1,2,2,3,16,2,1,1,3,3,3,0,1,14,41
Italy,2021,F,5,2,6,5,3,21,5,3,3,3,3,3,4,6,30,4,2,5,3,3,3,3,2,25,76
Japan,2021,F,6,2,6,5,2,21,6,3,3,3,2,2,4,6,29,5,2,5,3,2,3,4,2,26,76
Jordan,2021,PF,5,1,3,3,1,13,3,1,1,2,2,1,3,4,17,2,1,3,2,3,2,3,1,17,47
Kazakhstan,2021,NF,5,2,2,2,0,11,2,1,1,1,1,1,2,2,11,1,0,2,1,2,2,2,1,11,33
Kenya,2021,PF,3,1,6,4,2,16,6,2,3,3,2,2,3,6,27,4,2,3,3,2,4,3,2,23,66
Kyrgyzstan,2021,PF,3,2,4,3,1,13,4,2,2,3,2,2,3,5,23,2,2,2,3,2,2,3,1,17,53
Lebanon,2021,PF,4,1,4,1,1,11,4,2,2,2,2,2,3,5,22,2,2,3,3,2,2,2,2,18,51
Libya,2021,PF,2,1,3,1,0,7,6,3,3,1,2,3,3,4,25,1,1,3,3,2,3,1,2,16,48
Malawi,2021,PF,1,1,5,3,1,11,6,3,3,3,2,1,2,5,25,3,1,3,3,4,2,4,3,23,59
Malaysia,2021,PF,5,3,5,4,1,18,4,2,2,2,2,1,3,5,21,2,1,2,3,2,4,3,2,19,58
Mexico,2021,PF,5,1,6,4,2,18,6,2,3,2,1,2,3,6,25,3,2,4,2,1,4,0,1,17,60
Morocco,2021,PF,5,1,4,4,1,15,6,2,2,2,2,1,2,5,22,2,1,3,3,1,2,3,1,16,53
Myanmar,2021,NF,2,1,0,1,0,4,1,1,0,1,1,0,1,2,7,0,0,1,2,1,1,0,1,6,17
Nicaragua,2021,PF,3,0,5,4,0,12,6,1,1,2,1,1,2,4,18,2,1,3,4,2,3,2,1,18,48
Nigeria,2021,PF,3,1,6,5,2,17,4,3,2,3,2,3,3,5,25,3,1,2,2,3,3,2,1,17,59
Pakistan,2021,NF,1,0,1,3,0,5,1,1,1,1,2,2,2,3,13,2,0,1,1,1,1,1,0,7,25
Philippines,2021,PF,4,1,6,4,2,17,6,3,4,2,1,1,3,6,26,3,2,3,4,3,4,2,1,22,65
Russia,2021,NF,5,2,3,2,0,12,1,1,0,2,0,1,2,3,10,1,1,1,2,1,1,1,0,8,30
Rwanda,2021,NF,3,1,5,3,1,13,3,2,1,0,1,1,1,2,11,1,1,2,3,1,2,2,2,14,38
Saudi Arabia,2021,NF,6,2,3,1,0,12,1,1,1,0,0,0,1,4,8,0,0,0,1,0,1,1,1,4,24
Serbia,2021,F,5,2,6,4,4,21,5,3,3,2,2,2,3,5,25,4,3,4,4,3,3,3,1,25,71
Singapore,2021,PF,6,3,5,4,1,19,4,1,1,2,2,1,3,3,17,1,2,3,2,2,3,3,2,18,54
South Africa,2021,F,4,1,6,4,2,17,6,3,3,3,3,2,3,6,29,4,2,6,3,2,3,4,3,27,73
South Korea,2021,PF,6,3,6,5,2,22,3,2,2,3,2,3,3,6,24,3,2,3,3,2,3,3,2,21,67
Sri Lanka,2021,PF,3,1,4,3,0,11,4,3,2,2,2,2,3,5,23,2,1,3,2,2,3,3,1,17,51
Sudan,2021,NF,1,0,2,3,0,6,5,2,2,1,0,0,2,3,15,1,1,3,3,1,0,2,1,12,33
Taiwan,2021,F,6,3,6,5,4,24,6,3,4,3,2,3,4,6,31,5,2,4,3,3,3,4,1,25,80
Thailand,2021,NF,5,2,5,4,0,16,3,0,1,1,1,2,2,3,13,0,0,0,2,1,1,1,2,7,36
The Gambia,2021,PF,2,1,4,4,1,12,6,2,2,2,2,2,3,3,22,2,1,4,2,2,1,4,3,19,53
Tunisia,2021,PF,4,2,5,3,2,16,6,2,3,3,3,3,3,5,28,3,1,3,3,2,3,2,2,19,63
Turkey,2021,NF,5,2,4,3,1,15,1,0,1,1,1,1,2,3,10,1,1,1,2,1,0,2,1,9,34
Uganda,2021,PF,1,1,3,5,1,11,3,2,2,2,2,1,3,4,19,2,2,3,2,2,3,3,2,19,49
Ukraine,2021,PF,5,2,5,5,3,20,3,2,2,3,2,2,2,5,21,3,2,3,4,3,3,2,1,21,62
United Arab Emirates,2021,NF,6,1,3,2,0,12,1,1,1,0,1,1,1,3,9,0,0,1,1,0,0,2,2,6,27
United Kingdom,2021,F,6,2,6,5,4,23,5,3,3,3,3,3,4,6,30,5,2,5,2,2,3,4,2,25,78
United States,2021,F,6,2,6,4,3,21,6,3,4,3,2,3,3,5,29,6,2,4,3,2,4,3,1,25,75
Uzbekistan,2021,NF,4,1,3,1,0,9,3,1,0,1,2,0,2,3,12,0,1,1,1,1,0,2,1,7,28
Venezuela,2021,NF,2,0,3,1,0,6,2,1,0,1,1,1,2,4,12,1,0,2,2,2,2,1,0,10,28
Vietnam,2021,NF,4,2,4,2,0,12,2,0,0,1,0,0,1,2,6,0,0,0,1,1,0,1,1,4,22
Zambia,2021,PF,2,1,5,5,2,15,6,2,3,2,2,2,3,4,24,2,1,3,3,3,2,3,3,20,59
Zimbabwe,2021,PF,1,0,4,3,0,8,6,3,1,2,2,1,3,4,22,2,1,3,3,2,1,2,2,16,46
