Country,Edition,Status,A1,A2,A3,A4,A5,A,B1,B2,B3,B4,B5,B6,B7,B8,B,C1,C2,C3,C4,C5,C6,C7,C8,C,Total
Angola,2021,PF,2,1,5,3,1,12,6,4,4,3,3,2,3,5,30,2,1,4,3,2,3,4,1,20,62
Argentina,2021,F,5,2,6,4,2,19,5,2,3,3,3,2,3,6,27,4,2,4,2,3,4,4,2,25,71
Armenia,2021,F,5,2,5,5,2,19,4,2,3,3,2,3,3,6,26,3,3,4,3,3,5,4,1,26,71
Australia,2021,F,6,2,6,5,4,23,5,2,2,3,3,3,3,6,27,5,2,5,2,2,3,5,1,25,75
Azerbaijan,2021,NF,4,1,3,2,0,10,2,2,1,2,1,0,2,4,14,1,2,1,3,1,1,2,0,11,35
Bahrain,2021,NF,6,2,4,4,0,16,1,0,1,0,0,1,1,4,8,0,0,2,1,1,0,1,1,6,30
Bangladesh,2021,PF,2,1,3,5,1,12,3,2,1,1,2,2,3,3,17,2,0,2,2,1,2,1,1,11,40
Belarus,2021,NF,5,2,2,1,0,10,2,1,0,2,2,1,2,4,14,1,1,1,1,1,0,1,1,7,31
Brazil,2021,PF,5,1,6,5,3,20,5,2,2,3,1,2,3,6,24,4,2,3,2,3,4,1,1,20,64
Cambodia,2021,PF,4,1,4,4,0,13,4,1,1,1,2,2,3,4,18,1,1,1,3,2,1,2,1,12,43
Canada,2021,F,6,2,6,5,4,23,5,3,4,3,4,3,4,6,32,5,2,6,4,4,4,5,2,32,87
China,2021,NF,5,1,1,1,0,8,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,10
Colombia,2021,PF,5,2,6,4,2,19,4,2,3,3,3,2,3,5,25,3,2,4,3,2,3,3,1,21,65
Costa Rica,2021,F,4,2,6,4,4,20,6,3,4,4,3,3,4,6,33,6,3,6,3,5,5,4,2,34,87
Cuba,2021,NF,3,0,2,0,0,5,2,1,0,1,1,0,1,3,9,0,0,2,1,1,0,2,1,7,21
Ecuador,2021,PF,4,1,6,4,2,17,6,2,2,3,2,2,3,5,25,3,2,3,3,2,4,2,1,20,62
Egypt,2021,NF,4,1,3,3,1,12,1,1,1,1,1,0,2,3,10,0,0,0,1,1,0,1,1,4,26
Estonia,2021,F,6,3,6,6,4,25,5,3,4,4,3,3,4,6,32,6,3,6,4,6,4,5,3,37,94
Ethiopia,2021,NF,1,1,0,1,1,4,3,2,0,1,1,1,2,2,12,1,0,3,2,1,1,2,1,11,27
France,2021,F,6,3,6,4,4,23,5,2,3,4,3,3,4,6,30,5,2,5,2,2,3,4,2,25,78
Georgia,2021,F,5,2,6,4,2,19,6,4,4,4,2,2,3,6,31,3,3,6,3,3,4,4,1,27,77
