ISO alpha-3,Country,Region,Year,Index,Authorisation,Consumer Protection,KYC,Transaction Limits,Agent Network,Infrastructure and Investment environment,Eligibility,Authorisation Instruments,Capital Requirements,International Remittances,Safeguarding of Funds,Consumer Protection Rules,Deposit Insurance,Permitted Identifications,KYC Requirements,KYC Proportionality,Entry-level transaction limits,Entry-level monthly limits,Entry-level balance limits,Maximum transaction limits,Maximum monthly limits,Maximum balance limits,Agent Eligibility,Agent Authorisation,Agent Activities,Agent Liability,Affordability,ID Verification Infrastructure,Interoperability,Settlement Access,Interest Payments,Financial Inclusion Strategy,Data Sovereignty,Gender Equality,data_country,data_year
ARG,Argentina,Latin America and the Caribbean,2020,77.67,48.00,100.00,60.00,77.78,100.00,100.00,0.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,
ARG,Argentina,Latin America and the Caribbean,2021,77.67,48.00,100.00,60.00,77.78,100.00,100.00,0.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,
ARM,Armenia,Europe and Central Asia,2018,66.83,90.00,40.00,32.00,100.00,76.00,47.50,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,40.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
ARM,Armenia,Europe and Central Asia,2019,66.83,90.00,40.00,32.00,100.00,76.00,47.50,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,40.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
ARM,Armenia,Europe and Central Asia,2020,66.83,90.00,40.00,32.00,100.00,76.00,47.50,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,40.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
ARM,Armenia,Europe and Central Asia,2021,66.83,90.00,40.00,32.00,100.00,76.00,47.50,100.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,40.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
BGD,Bangladesh,South Asia,2018,58.98,60.00,80.00,20.00,55.56,72.00,65.63,0.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,40.00,0.00,100.00,50.00,100.00,0.00,100.00,0.00,,,,
BGD,Bangladesh,South Asia,2019,62.05,60.00,80.00,20.00,66.67,72.00,75.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,50.00,0.00,100.00,100.00,100.00,40.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,,,,
BGD,Bangladesh,South Asia,2020,62.05,60.00,80.00,20.00,66.67,72.00,75.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,50.00,0.00,100.00,100.00,100.00,40.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,,,,
BGD,Bangladesh,South Asia,2021,62.05,60.00,80.00,20.00,66.67,72.00,75.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,50.00,0.00,100.00,100.00,100.00,40.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,,,,
