ISO alpha-3,Country,Region,Year,Index,Authorisation,Consumer Protection,KYC,Transaction Limits,Agent Network,Infrastructure and Investment environment,Eligibility,Authorisation Instruments,Capital Requirements,International Remittances,Safeguarding of Funds,Consumer Protection Rules,Deposit Insurance,Permitted Identifications,KYC Requirements,KYC Proportionality,Entry-level transaction limits,Entry-level monthly limits,Entry-level balance limits,Maximum transaction limits,Maximum monthly limits,Maximum balance limits,Agent Eligibility,Agent Authorisation,Agent Activities,Agent Liability,Affordability,ID Verification Infrastructure,Interoperability,Settlement Access,Interest Payments,Financial Inclusion Strategy,Data Sovereignty,Gender Equality,data_country,data_year
COD,"Congo, Democratic Republic",Sub-Saharan Africa,2021,85.99,90.00,80.00,92.00,100.00,100.00,51.30,100.00,100.00,50.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,33.00,100.00,,
CIV,Cote d'Ivoire,Sub-Saharan Africa,2018,74.57,100.00,40.00,32.00,100.00,94.00,64.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,75.00,50.00,100.00,,
CIV,Cote d'Ivoire,Sub-Saharan Africa,2019,71.57,100.00,40.00,32.00,100.00,94.00,44.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,0.00,0.00,100.00,0.00,70.00,75.00,50.00,100.00,,
CIV,Cote d'Ivoire,Sub-Saharan Africa,2020,71.95,100.00,40.00,32.00,100.00,94.00,47.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,0.00,0.00,100.00,0.00,70.00,100.00,50.00,100.00,,
CIV,Cote d'Ivoire,Sub-Saharan Africa,2021,71.95,100.00,40.00,32.00,100.00,94.00,47.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,0.00,0.00,100.00,0.00,70.00,100.00,50.00,100.00,,
DOM,Dominican Republic,Latin America and the Caribbean,2018,65.81,60.00,100.00,0.00,100.00,70.00,68.75,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,,,,
DOM,Dominican Republic,Latin America and the Caribbean,2019,65.81,60.00,100.00,0.00,100.00,70.00,68.75,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,,,,
DOM,Dominican Republic,Latin America and the Caribbean,2020,65.81,60.00,100.00,0.00,100.00,70.00,68.75,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,,,,
DOM,Dominican Republic,Latin America and the Caribbean,2021,65.81,60.00,100.00,0.00,100.00,70.00,68.75,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,,,,
EGY,Egypt,Middle East and North Africa,2018,67.63,84.00,80.00,0.00,88.89,94.00,48.00,60.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,80.00,100.00,100.00,0.00,0.00,100.00,30.00,0.00,50.00,100.00,,
EGY,Egypt,Middle East and North Africa,2019,64.30,84.00,80.00,0.00,66.67,94.00,48.00,60.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,50.00,100.00,0.00,100.00,100.00,80.00,100.00,100.00,0.00,0.00,100.00,30.00,0.00,50.00,100.00,,
EGY,Egypt,Middle East and North Africa,2020,80.55,84.00,100.00,40.00,100.00,94.00,63.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,0.00,100.00,30.00,0.00,50.00,100.00,,
EGY,Egypt,Middle East and North Africa,2021,80.55,84.00,100.00,40.00,100.00,94.00,63.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,0.00,100.00,30.00,0.00,50.00,100.00,,
SLV,El Salvador,Latin America and the Caribbean,2018,73.24,100.00,100.00,32.00,33.33,100.00,56.25,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,,,,
SLV,El Salvador,Latin America and the Caribbean,2019,73.24,100.00,100.00,32.00,33.33,100.00,56.25,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,,,,
SLV,El Salvador,Latin America and the Caribbean,2020,73.24,100.00,100.00,32.00,33.33,100.00,56.25,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,,,,
SLV,El Salvador,Latin America and the Caribbean,2021,73.24,100.00,100.00,32.00,33.33,100.00,56.25,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,,,,
GNQ,Equatorial Guinea,Sub-Saharan Africa,2018,73.05,84.00,72.00,32.00,100.00,90.00,53.00,60.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,30.00,0.00,50.00,0.00,,
GNQ,Equatorial Guinea,Sub-Saharan Africa,2019,74.35,88.00,80.00,32.00,100.00,94.00,43.00,100.00,60.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,50.00,0.00,,
GNQ,Equatorial Guinea,Sub-Saharan Africa,2020,75.85,88.00,80.00,32.00,100.00,94.00,53.00,100.00,60.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,30.00,0.00,50.00,0.00,,
GNQ,Equatorial Guinea,Sub-Saharan Africa,2021,75.85,88.00,80.00,32.00,100.00,94.00,53.00,100.00,60.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,30.00,0.00,50.00,0.00,,
SWZ,Eswatini,Sub-Saharan Africa,2018,54.17,70.00,40.00,0.00,44.44,100.00,60.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,50.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,30.00,100.00,,,,
SWZ,Eswatini,Sub-Saharan Africa,2019,65.08,80.00,80.00,0.00,55.56,100.00,65.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,50.00,50.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,,,,
SWZ,Eswatini,Sub-Saharan Africa,2020,75.49,80.00,80.00,60.00,55.56,100.00,74.38,100.00,100.00,0.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,50.00,50.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,0.00,70.00,100.00,,,,
SWZ,Eswatini,Sub-Saharan Africa,2021,75.49,80.00,80.00,60.00,55.56,100.00,74.38,100.00,100.00,0.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,50.00,50.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,0.00,70.00,100.00,,,,
ETH,Ethiopia,Sub-Saharan Africa,2018,79.59,74.00,40.00,92.00,100.00,94.00,81.25,60.00,100.00,100.00,0.00,0.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,,,,
ETH,Ethiopia,Sub-Saharan Africa,2019,79.59,74.00,40.00,92.00,100.00,94.00,81.25,60.00,100.00,100.00,0.00,0.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,,,,
ETH,Ethiopia,Sub-Saharan Africa,2020,88.35,88.00,100.00,100.00,83.33,94.00,65.00,100.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,50.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,,,,
ETH,Ethiopia,Sub-Saharan Africa,2021,88.35,88.00,100.00,100.00,83.33,94.00,65.00,100.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,50.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,,,,
FJI,Fiji,East Asia and Pacific,2018,67.77,50.00,40.00,92.00,94.44,84.00,58.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,80.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,100.00,0.00,100.00,0.00,30.00,100.00,0.00,100.00,,
FJI,Fiji,East Asia and Pacific,2019,67.77,50.00,40.00,92.00,94.44,84.00,58.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,80.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,100.00,0.00,100.00,0.00,30.00,100.00,0.00,100.00,,
FJI,Fiji,East Asia and Pacific,2020,68.60,50.00,40.00,92.00,100.00,84.00,58.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,100.00,0.00,100.00,0.00,30.00,100.00,0.00,100.00,,
FJI,Fiji,East Asia and Pacific,2021,83.60,80.00,80.00,92.00,100.00,94.00,58.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,100.00,0.00,100.00,,
GAB,Gabon,Sub-Saharan Africa,2018,75.75,84.00,80.00,32.00,100.00,90.00,63.00,60.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,30.00,0.00,50.00,100.00,,
GAB,Gabon,Sub-Saharan Africa,2019,78.85,100.00,80.00,32.00,100.00,94.00,53.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,50.00,100.00,,
GAB,Gabon,Sub-Saharan Africa,2020,80.35,100.00,80.00,32.00,100.00,94.00,63.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,30.00,0.00,50.00,100.00,,
GAB,Gabon,Sub-Saharan Africa,2021,80.35,100.00,80.00,32.00,100.00,94.00,63.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,30.00,0.00,50.00,100.00,,
GMB,Gambia,Sub-Saharan Africa,2018,70.73,90.00,80.00,0.00,100.00,94.00,47.50,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
GMB,Gambia,Sub-Saharan Africa,2019,70.73,90.00,80.00,0.00,100.00,94.00,47.50,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
GMB,Gambia,Sub-Saharan Africa,2020,70.73,90.00,80.00,0.00,100.00,94.00,47.50,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
GMB,Gambia,Sub-Saharan Africa,2021,70.73,90.00,80.00,0.00,100.00,94.00,47.50,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
GEO,Georgia,Europe and Central Asia,2018,79.93,80.00,80.00,72.00,100.00,100.00,47.50,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
GEO,Georgia,Europe and Central Asia,2019,78.13,80.00,80.00,60.00,100.00,100.00,47.50,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
GEO,Georgia,Europe and Central Asia,2020,78.13,80.00,80.00,60.00,100.00,100.00,47.50,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
GEO,Georgia,Europe and Central Asia,2021,78.13,80.00,80.00,60.00,100.00,100.00,47.50,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,,,,
GHA,Ghana,Sub-Saharan Africa,2018,90.52,100.00,80.00,92.00,77.78,100.00,87.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,70.00,0.00,100.00,100.00,,
GHA,Ghana,Sub-Saharan Africa,2019,89.02,100.00,100.00,52.00,77.78,100.00,97.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,70.00,100.00,100.00,100.00,,
GHA,Ghana,Sub-Saharan Africa,2020,91.88,100.00,100.00,60.00,88.89,100.00,97.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,50.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,70.00,100.00,100.00,100.00,,
GHA,Ghana,Sub-Saharan Africa,2021,97.88,100.00,100.00,100.00,88.89,100.00,97.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,70.00,100.00,100.00,100.00,,
GTM,Guatemala,Latin America and the Caribbean,2018,69.48,60.00,100.00,0.00,94.44,100.00,68.75,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,,,,
GTM,Guatemala,Latin America and the Caribbean,2019,70.89,60.00,100.00,0.00,94.44,100.00,78.13,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,75.00,,,,
GTM,Guatemala,Latin America and the Caribbean,2020,70.89,60.00,100.00,0.00,94.44,100.00,78.13,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,75.00,,,,
GTM,Guatemala,Latin America and the Caribbean,2021,70.89,60.00,100.00,0.00,94.44,100.00,78.13,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,75.00,,,,
GIN,Guinea,Sub-Saharan Africa,2018,82.35,90.00,100.00,52.00,100.00,94.00,53.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,50.00,100.00,,
GIN,Guinea,Sub-Saharan Africa,2019,84.85,100.00,100.00,52.00,100.00,94.00,53.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,50.00,100.00,,
GIN,Guinea,Sub-Saharan Africa,2020,86.35,100.00,100.00,52.00,100.00,94.00,63.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,100.00,50.00,100.00,,
GIN,Guinea,Sub-Saharan Africa,2021,86.35,100.00,100.00,52.00,100.00,94.00,63.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,100.00,50.00,100.00,,
GNB,Guinea-Bissau,Sub-Saharan Africa,2018,72.77,100.00,40.00,32.00,100.00,94.00,52.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,,,,
GNB,Guinea-Bissau,Sub-Saharan Africa,2019,72.77,100.00,40.00,32.00,100.00,94.00,52.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,,,,
GNB,Guinea-Bissau,Sub-Saharan Africa,2020,72.77,100.00,40.00,32.00,100.00,94.00,52.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,,,,
GNB,Guinea-Bissau,Sub-Saharan Africa,2021,72.77,100.00,40.00,32.00,100.00,94.00,52.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,,,,
GUY,Guyana,Latin America and the Caribbean,2018,68.03,70.00,80.00,0.00,100.00,100.00,56.88,100.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,0.00,30.00,0.00,,,,
GUY,Guyana,Latin America and the Caribbean,2019,73.78,90.00,80.00,0.00,100.00,100.00,61.88,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,0.00,70.00,0.00,,,,
GUY,Guyana,Latin America and the Caribbean,2020,73.78,90.00,80.00,0.00,100.00,100.00,61.88,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,0.00,70.00,0.00,,,,
GUY,Guyana,Latin America and the Caribbean,2021,73.78,90.00,80.00,0.00,100.00,100.00,61.88,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,0.00,70.00,0.00,,,,
HTI,Haiti,Latin America and the Caribbean,2018,63.50,84.00,80.00,0.00,55.56,94.00,53.75,60.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,50.00,50.00,0.00,100.00,100.00,80.00,100.00,100.00,0.00,0.00,100.00,30.00,100.00,,,,
HTI,Haiti,Latin America and the Caribbean,2019,61.83,84.00,80.00,0.00,44.44,94.00,53.75,60.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,50.00,0.00,100.00,100.00,80.00,100.00,100.00,0.00,0.00,100.00,30.00,100.00,,,,
HTI,Haiti,Latin America and the Caribbean,2020,61.83,84.00,80.00,0.00,44.44,94.00,53.75,60.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,50.00,0.00,100.00,100.00,80.00,100.00,100.00,0.00,0.00,100.00,30.00,100.00,,,,
HTI,Haiti,Latin America and the Caribbean,2021,60.16,84.00,80.00,0.00,33.33,94.00,53.75,60.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,80.00,100.00,100.00,0.00,0.00,100.00,30.00,100.00,,,,
HND,Honduras,Latin America and the Caribbean,2018,75.42,90.00,80.00,52.00,55.56,94.00,71.25,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,50.00,100.00,0.00,70.00,75.00,,,,
HND,Honduras,Latin America and the Caribbean,2019,75.42,90.00,80.00,52.00,55.56,94.00,71.25,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,50.00,100.00,0.00,70.00,75.00,,,,
HND,Honduras,Latin America and the Caribbean,2020,75.42,90.00,80.00,52.00,55.56,94.00,71.25,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,50.00,100.00,0.00,70.00,75.00,,,,
HND,Honduras,Latin America and the Caribbean,2021,75.42,90.00,80.00,52.00,55.56,94.00,71.25,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,50.00,100.00,0.00,70.00,75.00,,,,
IND,India,South Asia,2018,88.73,76.00,100.00,92.00,88.89,94.00,90.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,,
IND,India,South Asia,2019,87.07,76.00,100.00,92.00,77.78,94.00,90.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,100.00,50.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,,
IND,India,South Asia,2020,88.27,76.00,100.00,100.00,77.78,94.00,90.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,50.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,,
IND,India,South Asia,2021,89.93,76.00,100.00,100.00,88.89,94.00,90.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,,
IDN,Indonesia,East Asia and Pacific,2018,76.62,90.00,80.00,100.00,55.56,84.00,41.25,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,50.00,0.00,80.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00,30.00,100.00,,,,
IDN,Indonesia,East Asia and Pacific,2019,78.50,90.00,80.00,100.00,55.56,84.00,53.75,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,50.00,0.00,80.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,30.00,100.00,,,,
IDN,Indonesia,East Asia and Pacific,2020,78.50,90.00,80.00,100.00,55.56,84.00,53.75,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,50.00,0.00,80.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,30.00,100.00,,,,
IDN,Indonesia,East Asia and Pacific,2021,78.50,90.00,80.00,100.00,55.56,84.00,53.75,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,50.00,0.00,80.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,30.00,100.00,,,,
IRQ,Iraq,Middle East and North Africa,2018,65.48,90.00,80.00,0.00,100.00,84.00,22.50,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,0.00,0.00,100.00,30.00,50.00,,,,
IRQ,Iraq,Middle East and North Africa,2019,65.48,90.00,80.00,0.00,100.00,84.00,22.50,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,0.00,0.00,100.00,30.00,50.00,,,,
IRQ,Iraq,Middle East and North Africa,2020,65.48,90.00,80.00,0.00,100.00,84.00,22.50,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,0.00,0.00,100.00,30.00,50.00,,,,
