 N/A , N/A ,18.5,27.5,36.6,44.7,57.3,66.5,74.1,81.1, 89.2 , 97.0 , 108.7 , 116.6 , 123.9 ,, N/A , N/A , 225 , 336 , 450 , 554 , 712 , 829 , 927 ," 1,016 "," 1,126 "," 1,229 "," 1,381 "," 1,487 "," 1,583 ", 125.2 ,,
 N/A , N/A ,0.8,1.6,3.0,4.5,8.2,12.4,17.5,27.5, 35.4 , 42.7 , 53.5 , 60.1 , 64.3 ,, N/A , N/A , 43 , 86 , 165 , 253 , 471 , 721 ," 1,032 "," 1,645 "," 2,156 "," 2,633 "," 3,342 "," 3,801 "," 4,119 ", 65.1 ,,
 N/A , N/A ,0.0,0.0,0.1,0.4, 1.3 , 2.8 , 4.7 , 10.3 , 14.9 , 19.9 , 26.2 , 29.0 , 31.8 ,, N/A , N/A , 0 , 1 , 1 , 3 , 11 , 25 , 42 , 95 , 141 , 192 , 258 , 292 , 329 , 33.2 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 19.7 , 24.3 , 31.4 , 33.3 , 33.8 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 93 , 118 , 156 , 169 , 176 , 37.3 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 31.8 , 38.5 , 44.8 , 49.1 , 53.4 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 22 , 26 , 31 , 34 , 38 , 54.0 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020*,,
 3.4 , 4.3 , 5.2 , 6.1 , 6.9 , 7.6 , 8.6 , 9.2 , 9.7 , 10.1 , 11.4 , 12.2 , 13.6 , 14.0 , 14.8 ,, 220 , 284 , 346 , 411 , 468 , 526 , 598 , 649 , 692 , 731 , 835 , 910 ," 1,020 "," 1,065 "," 1,134 ", 15.2 ,,
 12.3 , 15.5 , 18.0 , 20.4 , 22.0 , 23.5 , 25.2 , 26.3 , 27.4 , 28.3 , 29.5 , 30.4 , 31.5 , 32.2 , 33.2 ,, 148 , 188 , 219 , 250 , 271 , 291 , 313 , 328 , 343 , 354 , 373 , 385 , 400 , 411 , 424 , 33.6 ,,
 1.3 , 1.8 , 2.3 , 2.9 , 3.5 , 4.2 , 5.0 , 5.5 , 5.9 , 6.3 , 7.6 , 8.5 , 9.9 , 10.3 , 11.1 ,, 71 , 96 , 127 , 161 , 197 , 236 , 285 , 321 , 349 , 377 , 463 , 525 , 620 , 654 , 710 , 11.5 ,,
 -   , -   , -   , -   , 0.1 , 0.1 , 0.1 , 0.2 , 0.3 , 0.5 , 0.8 , 0.9 , 1.0 , 1.1 , 1.2 ,, -   , 0 , 0 , 0 , 1 , 1 , 1 , 2 , 3 , 5 , 7 , 9 , 10 , 12 , 12 , 1.3 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 1.9 , 2.1 , 2.3 , 2.5 , 2.8 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 9 , 10 , 11 , 13 , 14 , 3.1 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 6.7 , 7.0 , 7.0 , 7.1 , 7.5 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 5 , 5 , 5 , 5 , 5 , 7.9 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020*,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 94.8 , 95.3 , 96.1 , 96.3 , 96.7 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," 6,970 "," 7,087 "," 7,224 "," 7,323 "," 7,434 ", 96.7 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 98.5 , 98.6 , 98.7 , 98.7 , 99.6 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," 1,244 "," 1,249 "," 1,255 "," 1,258 "," 1,273 ", 99.6 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 94.0 , 94.6 , 95.5 , 95.8 , 96.2 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," 5,726 "," 5,838 "," 5,970 "," 6,065 "," 6,161 ", 96.1 ,,
