Legal Enablers to ID,,Country Characteristics,Legal System Type,Foundational Civil Identification Law,Data Protection Laws & Privacy Bills,Freedom in the World (2018),Freedom on the Net (2017),Freedom in the Press (2017),data_country,data_year
#,Economic Environment (0-30 points),Country Code,Legal System Type,Key Act / Bill,Key Act / Bill,Status,Status ,Press Freedom Status,Economic Environment (0-30 points),Economic Environment (0-30 points)
20,20,BTN,common,-,Bhutan Information Communications and Media Act 2006,PF,,PF,20,20
21,14,BOL,civil,"Ley No.145 del Servicio General de Identificación Personal y del Servicio General de  Licencias  para Conducir, Arts. 4(a) y 18 (I)","Ley general de Telecomunicaciones, Tecnologías de Información y Comunicación – Ley 167 de 08 agosto de 2011 ",PF,,PF,14,14
22,17,BIH,civil,"Law on Identity Cards of Citizens of Bosnia and Herzegovina, Arts. 1 and 3","The Law on Protection of Personal Data ('Official Gazette of BIH', nos. 49/06, 76/11 and 89/11) ('DP Law') ",PF,,PF,17,17
23,14,BWA,civil + common,National Registration Act 2004,A Data Protection Bill ,F,,PF,14,14
24,11,BRA,civil,"Law No. 13444 of May 11, 2017, Art. 8",Protection of Personal Data Bill,F,PF,PF,11,11
25,23,BRN,common + religious,"National Registration Regulations, Arts. 4 and 5",None,NF,,NF,23,23
26,13,BGR,civil,"Law for the Bulgarian Identification Documents, Art. 18",EU Data Protection Directive 95/46/EC with the Personal Data Protection Act ,F,,PF,13,13
27,13,BFA,civil,"Loi No. 005-2001/AN Portant Institution d’une Carte Nationale d’identite Burkinabe, Art. 2",Loi Portant Protection des Données à Caractère Personnel,PF,,PF,13,13
28,23,BDI,civil,"Ordonnance Ministérielle No. 530/060 - Carte Nationale d’Identité, Art. 4",Draft Bill on Electronic Transactions
,NF,,NF,23,23
29,12,CPV,civil,-,Regime Jurídico Geral de Protecção de Dados Pessoais a Pessoas Singulares,F,,F,12,12
30,19,KHM,civil,"Sub Decree National Identity Cards No. 60 2007, Art. 4",None,NF,PF,NF,19,19
31,21,CMR,civil + common,"Décret No. 2016/375 du 4 Aout 2016, Art. 6(a)",None,NF,,NF,21,21
32,6,CAN,common,-,Personal Information Protection and Electronic Documents Act,F,F,F,6,6
33,22,CAF,civil,-,None,NF,,NF,22,22
34,22,TCD,civil,-,None,NF,,NF,22,22
35,8,CHL,civil,-,Privacy Law,F,,F,8,8
36,23,CHN,civil,Regulations of the People's Republic of China concerning resident identity cards,None,NF,NF,NF,23,23
37,18,COL,civil,"Decreto 1260 de 1970, Arts. 109 y 117",Data Protection Law,PF,PF,PF,18,18
38,15,COM,civil + customary + religious,"Loi Instituant une Carte Nationale d’Identité, Art. 2",None,PF,,PF,15,15
39,25,COD,civil,"Décret PM/0008/95 du 10 Mars 1995 Portant Création de la Carte Nationale d'Identité, Art. 2",None,NF,,NF,25,25
40,18,COG,civil,"Décret No. 2007-207 du 2 Avril 2007, Arts. 1(7) et 8",None,NF,,PF,18,18
41,6,CRI,civil,"Ley No. 3504 Orgánica del Tribunal Supremo de Elecciones y del Registro Civil, Art. 89",Protección de la Persona frente al tratamiento de sus datos personales,F,,F,6,6
42,18,CIV,civil,"Loi no. 2004-303 du 3 Mai 2004 relative a l’Identification des Personnes et au Séjour des Etrangers en Côte d’Ivoire, Art. 3",Protection of Personal Data,PF,,PF,18,18
43,15,HRV,civil,"Law on Identity Cards, Art. 3",Act on Personal Data Protection,F,,PF,15,15
44,28,CUB,civil,-,Proyecto de Ley sobre Comercio electrónico
,NF,NF,NF,28,28
45,9,CYP,common,"Civil Registry Law 141(I)/2002, Arts. 59 and 61",The Processing of Personal Data (Protection of the Individual) Law,F,,F,9,9
46,9,CZE,civil,-,Personal Data Protection Act,F,,F,9,9
47,4,DNK,civil,-,Act on Processing of Personal Data,F,,F,4,4
48,24,DJI,civil + customary + religious,"Décret No. 2015-345/PR/MI Portant Modification du Décret No. 2013-356/PR/MI Relatif au Changement de la Carte Nationale d’Identité, Art. 1",None,NF,,NF,24,24
49,8,DMA,common,-,Privacy and Data Protection Bill,F,,F,8,8
50,13,DOM,civil,"Ley No. 8-92 sobre Cédula de Identidad y Electoral, Art. 5",Law on Protection of Personal Data,PF,,PF,13,13
51,16,ECU,civil,"Ley Orgánica de Gestión de la Identidad y Datos Civiles, Art. 93"," Ley de Comercio Electrónico, firmas electrónicas y mensajes de datos. Ley No. 2002-67 and Ley Del Sistema Nacional De Registro De Datos Públicos ",PF,PF,NF,16,16
52,17,EGY,civil,"Executive Regulations of the Civil Affairs Law No. 1121 of 1995, Art. 33", Draft Law on Cyber Security,NF,NF,NF,17,17
53,13,SLV,civil,"Decreto No. 581 Ley Especial Reguladora de la Emisión del Documento Único de Identidad, Arts. 3 y 4 ",None,F,,PF,13,13
54,28,GNQ,civil,-,None,NF,,NF,28,28
55,24,ERI,civil + customary + religious,-,None,NF,,NF,24,24
