2011,2016,2018,Country
32,32,37,India
20,19,29,Brazil
15,34,26,United States
12,13,25,Belgium
10,25,26,South Africa
--,--,23,Malaysia
14,20,23,Sweden
18,17,20,Canada
5,14,20,Turkey
18,17,19,Saudi Arabia
13,20,19,Australia
8,20,18,Mexico
11,15,18,Great Britain
11,20,17,China
--,--,16,Serbia
7,9,14,Germany
9,10,14,Argentina
--,13,14,Peru
8,9,13,South Korea
3,11,12,Italy
12,18,12,Poland
--,--,11,Romania
7,11,10,Hungary
5,10,9,Spain
5,7,9,France
--,--,8,Chile
7,7,5,Japan
5,9,1,Russia
