Ascension,,Cable & Wireless plc. (C&W).,34.94,Data refer to 31st December.,38.17,Cable & Wireless,33.00,Cable & Wireless South Atlantic Ltd,35.00,36.00,ITU estimate.,41.03,data_country,data_year
Cuba,,Ministerio de la Informática y las Comunicaciones.,0.54,Refers only to users with access to the international network.,1.08,Ministerio de la Informática y las Comunicaciones,14.33,Oficina Nacional de Estadisticas (ONE),15.90,16.02,ITU estimate.,21.20,,
Curacao,,,,,,,,,,,,,,
Cyprus,,ESIS.,15.26,,18.82,Eurostat.,49.81,Eurostat.,52.99,56.86,Eurostat.,60.69,,
Czech Republic,,Ministry of Economy. Czech Telecommunication Office.,9.78,,14.70,Eurostat.,64.43,Eurostat.,68.82,70.49,Eurostat.,73.43,,
Dem. People's Rep. of Korea,,Ministry of Posts and Telecommunications.,0.00,Commercially not available. Local Intranet available in country.,0.00,ITU estimate.,0.00,ITU estimate.,0.00,0.00,ITU estimate.,0.00,,
Dem. Rep. of the Congo,,ITU estimate. ,0.01,,0.01,ITU estimate. ,0.56,ITU estimate. ,0.72,1.20,ITU estimate.,1.68,,
Denmark,96.55,ITU estimate.,39.17,,42.96,Eurostat.,86.84,Eurostat.,88.72,89.81,Eurostat.,92.26,96.55,96.55
Djibouti,,,0.19,,0.34,ITU estimate. ,4.00,ITU estimate. ,6.50,7.00,ITU estimate.,8.27,,
Dominica,,,8.81,,13.25,ITU estimate.,42.02,ITU estimate.,47.45,48.60,ITU estimate.,49.80,,
Dominican Rep.,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,3.70,,4.43,Instituto Dominicano de las Telecomunicaciones (INDOTEL),27.72,Oficina Nacional Estadistica.,31.40,38.00,Oficina Nacional de Estadistica,42.32,,
Ecuador,,,1.46,,2.67,Secretaría Nacional de Telecomunicaciones (SENATEL),24.60,Instituto Nacional de Estadistica y Censos - INEC,29.03,31.37,Instituto Nacional de Estadistica y Censos - INEC,35.14,,
Egypt,,Telecom Egypt estimate.,0.64,,0.84,ITU estimate.,20.00,Ministry of Communications and Information Technology,21.60,25.60,central agency for public mobilization and statistics-capmas,26.40,,
El Salvador,,ITU estimate.,1.18,Estimated based on Survey results. Population age 10+.,1.50,DIGESTYC,12.11,ITU estimate.,15.90,18.90,Dirección General de Estadística y Censos. (DIGESTYC),20.32,,
Equatorial Guinea,,,0.13,,0.17,ITU estimate.,2.13,ITU estimate.,6.00,11.50,ITU estimate.,13.94,,
Eritrea,,,0.14,,0.16,ITU estimate.,0.54,ITU estimate.,0.61,0.70,ITU estimate,0.80,,
Estonia,89.06,Ministry of Economic Affairs and Communications.,28.58,,31.53,Eurostat.,72.50,Eurostat.,74.10,76.50,Eurostat.,78.39,89.06,89.06
Eswatini,,Swaziland Posts and Telecommunications Corporation (STPC).,0.93,,1.28,Swaziland Posts and Telecommunications Corporation,8.94,Swaziland Posts and Telecommunications Corporation,11.04,18.13,ITU estimate.,20.78,,
Ethiopia,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,0.02,,0.04,ITU estimate.,0.54,ITU estimate.,0.75,1.10,ITU estimate.,2.90,,
Falkland (Malvinas) Is.,,,58.62,,64.60,Cable & Wireless,95.84,Cable & Wireless,95.84,96.38,ITU estimate.,96.92,,
Faroe Islands,,,32.92,,43.25,Post and Telecom Surveillance Authority,75.18,ITU estimate.,75.20,80.73,ITU estimate.,85.34,,
