198,DG Systems & Services,,Country Data,Digital Government,UN e-Gov Dev Index,DG Institution,DG Strategy,Whole of Government,GovTech,GovTech Products and Services,"Finance Ministry web site, Public Finance data, and FMIS links",Financial Management Information System,Treasury Single Account,Tax Administration,Customs Administration,e-Filing,e-Payment,Digital Signature,Public Employment,HRMIS,Payroll System,e-Procurement,Public Debt,Public Investment Management Systems,Aid Mgmt Systems,Other Categories,Data Governance Maturity,"Data Governance Institution, Policy & Regulations","Government Cloud, Enterprise Architecture and Interoperability Platform", National CERT or CSIRT,National website for citizen participation,National website for citizen feedback / GRM,Government responsiveness,Legal System Type,Data Protection & Privacy Laws,Data Protection Agency,Right to Information Law,WDR Survey Results,WJP Rule of Law Index,Freedom in the World (2020),Freedom on the Net (2019),Is there an Open Government initiative?,Is there an Open Data portal?,Disruptive Technologies,PS Digital Skills & Innovation Strategy,Digital Skills & Innovation,PS Digital Skills & Innovation Institution,Open Source Policies adopted by the governments,ID4D,Government Effectiveness,Control of Corruption,CPI,GTMI > Expert opinion for weights,Core Gov Systems,Public Services,Citizen Engage,GovTech Enablers,I-1,I-2,I-3,I-4,I-5,I-6,I-7,I-8,I-9,I-10,I-11,I-12,I-13,I-14,I-15,I-16,I-17,I-18,I-19,I-20,I-21,I-22,I-23,I-24,I-25,I-26,I-27,I-28,I-29,I-30,I-31,I-32,I-33,I-34,I-35,I-36,I-37,I-38,I-39,I-40,I-41,I-42,I-43,I-44,I-45,I-46,I-47,I-48,GovTech Index,Comparison with UN,No weight,Comparison with weights,Standardized,Comparison with Indicators,No Weights,Comparison of weights,OECD DG 2019,GTMI > Correlation of indicators (without standardization),GTI > Factor analysis (without standardization),GTMI Raw Scores > ,GTMI Standardized Z-Scores> ,GTC > Correlation analysis with Standardized Scores,GTF > Factor analysis with Standardized Scores,data_country,data_year
Group,#,GTI-4,Level,e-Government,eGov'20,DG Org URL,DG St,WoG,GT,e-Gov,MoF URL,FMIS / TS,Treasury website,Tax Adm URL,Customs URL,e-Filing URL,ePayment,Digital Sign URL,Public Emp,HRMIS Abbr,Payroll Abbr,eProc System,Debt Org / URL,PIM Unit URL,AMP,Region,Grp,Inst,GCL,Cyber,Part,GRM,Perf,Legal System Type,DPL,DPA,RTI,Cl Pol,RoL Score,Status,Status,OGI,ODP,DT,DSI,DSI,PSI,OSS,Nat ID,GE,CoC,CPI,Code,CGSI,PSDI,CEI,GTEI,GCL,GEA,GSB,FMIS,TSA,Tax,Cust,HRM,Payr,e-GP,Debt,PIMS,OSS,eTII,DT,eOSI,eSrv,TaxS,eFil Srv,ePay Srv,CusS,ePart'20,OGI,ODP,Part,Petit,Publ,Anym,Resp,GRM,Serv,Acce,Perf,GT,DaG,DGSt,WoG,RTI,DPL,DPA,NatID,e-ID,dSign,Cyber,eHCI,DSSt,DSI,PSI,GT0,Code,GT0,GTE,GTCs,GovTech,eGDI,GTE,Score,Code,Code,Code,Code,Code,Code,GTI-4,GTI-4
C,49,-0.27,UMIC,http://www.dominica.gov.dm,99,http://establishment.gov.dm/activities/connect2government,1,0,0,-,http://finance.gov.dm,SIGFIS,http://finance.gov.dm/index.php/about-us/departments/18-treasury-division,http://ird.gov.dm,http://customs.gov.dm,https://eservices.gov.dm/taxefs/auth/Public/LogOn.aspx?ReturnUrl=%2ftaxefs%2fonline%2fdefault.aspx,-,-,"4,759",HRIS,SIGFIS,e-PPS,Ministry of Finance,https://finance.gov.dm/about-us/divisions-and-units,,LCR,D,0,0,1,0,0,0,common,2,0,1,-,0.58,3,-,0,0,0,0,0,0,0,1,0.45,0.61,55,DMA,0.53,0.60,0.03,0.32,-0.03,-0.08,-0.07,0.02,0.01,0.07,0.02,0.09,0.09,-0.05,0.03,-0.01,-0.05,0.05,-0.03,-0.03,-0.02,0.01,0.03,-0.10,-0.01,-0.05,-0.10,-0.03,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.04,-0.03,-0.04,0.02,-0.03,0.10,0.12,-0.03,-0.02,-0.01,-0.12,-0.12,-0.10,0.37,DMA,C,C,0.362,-,0.601,0.300,-,DMA,DMA,DMA,DMA,DMA,DMA,-0.27,-0.27
B,50,0.47,UMIC,http://dominicana.gob.do/,82,http://dominicana.gob.do/index.php/e-sociedad/2014-12-17-20-08-19,3,1,1,1,http://www.hacienda.gov.do,SIGEF,http://www.tesoreria.gov.do/,http://www.dgii.gov.do,http://www.aduanas.gob.do,http://www.dgii.gov.do/pst/Paginas/default.aspx,-,http://www.indotel.gob.do/index.php/sector-de-las-telecomunicaciones/comercio-electronico/descripcion-firma-digital,"353,700",SASP,SASP,Compras Dominicana,Ministry of Finance,http://mepyd.gob.do/dgip,,LCR,C,0,2,1,1,1,0,civil,2,0,2,1,0.48,2,-,1,1,0,2,1,2,2,1,0.43,0.35,28,DOM,0.77,0.70,0.52,0.73,0.05,-0.08,-0.07,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,0.03,0.07,-0.01,-0.03,0.05,0.05,0.01,0.03,-0.10,-0.01,0.05,0.12,-0.01,0.11,0.12,0.16,-0.04,-0.04,0.10,-0.05,-0.03,-0.02,0.03,-0.06,0.02,0.03,0.07,0.02,-0.03,0.10,0.12,0.02,-0.02,0.02,0.13,0.10,0.11,0.68,DOM,B,B,0.677,Yes,0.678,0.697,-,DOM,DOM,DOM,DOM,DOM,DOM,0.47,0.47
A,51,0.40,UMIC,http://www.presidencia.gob.ec,74,http://www.gobiernoelectronico.gob.ec/#gobiernoelectronico,3,0,1,1,https://www.finanzas.gob.ec/,SIGEF,https://www.aduanas.gob.do/,http://www.sri.gob.ec/web/guest/home,http://www.aduana.gob.ec,https://www.sri.gob.ec/web/guest/declaracion-de-impuestos-2017,-,https://www.eci.bce.ec/paso_3,"669,000",SIGEF,SIGEF,SERCOP,Ministerio de Economia y Finanzas,https://www.planificacion.gob.ec/informacion-de-inversion-publica/,,LCR,C,0,1,2,1,1,0,civil,2,0,2,-,0.49,2,2,1,2,0,2,1,1,2,1,0.42,0.40,38,ECU,0.77,0.70,0.91,0.70,0.01,-0.08,0.09,0.02,0.01,0.07,0.02,0.09,0.09,0.03,0.03,0.03,0.07,-0.01,-0.03,0.06,0.05,0.01,0.03,-0.10,-0.01,0.05,0.12,0.01,0.11,0.12,0.16,0.24,0.18,0.10,0.13,0.20,-0.02,0.03,-0.06,0.02,-0.03,0.07,0.02,-0.03,0.10,0.12,0.02,0.03,0.04,0.13,0.10,0.00,0.77,ECU,A,B,0.757,Yes,0.702,0.725,-,ECU,ECU,ECU,ECU,ECU,ECU,0.40,0.40
B,52,0.35,LMIC,http://www.egypt.gov.eg,111,http://www.mcit.gov.eg/,2,0,1,1,http://www.mof.gov.eg,GFMIS,http://www.mof.gov.eg/English/About%20MOF/Pages/Treasury_Authority.aspx,http://www.eta.gov.eg/,http://www.customs.gov.eg,http://www.egypt.gov.eg/services/LoadxtrServices.aspx?PgURL=63853&section=subjects,-,https://www.itida.gov.eg/English/Pages/E-Signature.aspx,"6,259,000",HRMIS,HRMIS,Government Procurement Portal,Ministry of Finance,http://www.mof.gov.eg/English/Pages/Home.aspx,2019,MNA,B,1,1,2,1,1,0,civil,2,1,0,1,0.36,1,1,1,0,2,2,1,2,2,1,0.42,0.37,35,EGY,0.82,0.61,0.27,0.69,0.01,0.20,0.09,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,0.07,-0.03,0.05,0.00,0.05,0.01,0.00,-0.10,-0.01,-0.01,0.12,-0.03,0.11,-0.04,-0.06,-0.04,-0.04,0.10,-0.05,-0.03,-0.02,0.03,0.05,-0.01,-0.03,-0.15,0.02,0.00,0.10,0.12,0.02,0.03,-0.03,0.13,0.10,0.11,0.60,EGY,B,B,0.609,Yes,0.553,0.649,-,EGY,EGY,EGY,EGY,EGY,EGY,0.35,0.35
A,53,0.45,LMIC,http://www.presidencia.gob.sv,107,http://www.secretariatecnica.gob.sv/category/transformacion-del-estado/gobierno-electronico/,3,1,1,1,http://www.mh.gob.sv,SAFI II,http://www.mh.gob.sv/portal/page/portal/MH_Fin_OLD/MH_TESORERIA,http://www.mh.gob.sv/portal/page/portal/PMH/Institucion/Marco_Institucional/Autoridades,http://www.mh.gob.sv/portal/page/portal/PMH/Temas/Aduana,http://portaldgii.mh.gob.sv/ssc/home,https://portaldgii.mh.gob.sv/ssc/pi/registro/,http://firmaelectronica.egob.sv/?page_id=486,"217,500",SIRH,SIRH,Comprasal,Ministry of Finance,https://www.mh.gob.sv/pmh/es/,,LCR,C,0,0,2,1,1,0,civil,1,0,2,-,0.49,2,-,1,1,2,2,1,2,2,1,0.41,0.39,34,SLV,0.77,0.83,0.82,0.73,-0.03,-0.08,-0.07,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,0.03,0.07,-0.01,0.05,0.00,0.05,0.01,0.03,0.14,-0.01,0.03,0.12,-0.01,0.11,0.12,0.16,0.24,0.18,0.10,0.13,0.20,-0.02,0.03,-0.06,0.02,0.03,0.07,-0.01,-0.03,0.10,0.12,0.02,0.03,-0.03,0.13,0.10,0.11,0.79,SLV,A,B,0.756,Yes,0.570,0.719,-,SLV,SLV,SLV,SLV,SLV,SLV,0.45,0.45
D,54,-1.65,UMIC,http://www.guineaecuatorialpress.com/,185,-,0,0,0,-,http://www.guineaecuatorialpress.com,-,-,-,-,-,-,-,"10,580",-,-,-,-,https://openknowledge.worldbank.org/bitstream/handle/10986/21054/933550WP0P12000PUBLIC00Guinea0Final.pdf?sequence=1&isAllowed=y,,AFR,D,0,0,0,0,0,0,civil,2,0,0,-,-,1,-,0,1,0,0,0,0,0,0,0.23,0.16,16,GNQ,0.00,0.00,0.08,0.09,-0.03,-0.08,-0.07,-0.37,-0.15,-0.46,-0.27,-0.48,-0.60,-0.09,-0.34,-0.01,-0.05,-0.13,-0.03,-0.13,-0.08,-0.43,-0.05,-0.10,-0.20,-0.12,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.06,-0.03,-0.15,0.02,-0.03,-0.91,-0.54,-0.09,-0.06,-0.05,-0.12,-0.12,-0.10,0.05,GNQ,D,D,0.039,-,0.251,0.054,-,GNQ,GNQ,GNQ,GNQ,GNQ,GNQ,-1.65,-1.65
D,55,-0.56,LIC,http://www.shabait.com,192,-,0,0,0,-,http://www.shabait.com,-,-,http://www.shabait.com/news/local-news/6953-meeting-of-ministerial-cabinet-concluded-,-,-,-,-,"18,500",-,-,-,-,http://www.shabait.com,,AFR,D,0,0,0,0,0,0,civil + customary + religious,0,0,0,-,-,1,-,0,0,0,0,0,0,0,1,0.15,0.22,23,ERI,0.07,0.14,0.00,0.09,-0.03,-0.08,-0.07,-0.37,-0.15,-0.46,0.02,-0.48,-0.60,-0.09,-0.34,-0.01,-0.05,-0.18,-0.03,-0.14,-0.08,-0.43,-0.05,-0.10,-0.01,-0.13,-0.10,-0.03,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.06,-0.03,-0.15,-0.04,-0.03,0.10,0.12,-0.09,-0.06,-0.13,-0.12,-0.12,-0.10,0.08,ERI,D,D,0.065,-,0.129,0.059,-,ERI,ERI,ERI,ERI,ERI,ERI,-0.56,-0.56
A,56,0.83,HIC,http://www.riik.ee,3,https://e-estonia.com/,3,2,1,1,http://www.fin.ee,FMIS,http://www.fin.ee/state-treasury,http://www.emta.ee,http://www.emta.ee,http://www.emta.ee/index.php?id=29761,https://www.eesti.ee/portaal/portaal.sisene?level=30&loc=%2Feng%2Fmydata,http://www.id.ee/?lang=en&id=,"157,000",HRMS,PS,E-Procurement Estonia,Ministry of Finance,https://www.rahandusministeerium.ee/et,,ECA,A,2,2,2,1,1,1,civil,2,2,2,1,0.81,3,3,1,2,2,2,1,2,2,1,0.73,0.81,74,EST,0.92,1.00,1.00,1.00,0.05,0.20,0.09,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,0.03,0.07,0.12,0.05,0.11,0.05,0.22,0.03,0.14,0.09,0.10,0.12,0.01,0.11,0.12,0.16,0.24,0.18,0.10,0.13,0.20,0.12,0.03,0.16,0.02,0.09,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.10,0.13,0.10,0.11,0.98,EST,A,A,0.986,Yes,0.947,0.967,0.48,EST,EST,EST,EST,EST,EST,0.83,0.83
C,57,-0.58,LIC,http://www.ethiopia.gov.et,178,http://www.mcit.gov.et/,2,0,0,-,http://www.mofed.gov.et,IFMIS + IBEX,http://www.mofed.gov.et/,http://www.erca.gov.et,http://www.erca.gov.et,https://etax.revenue.gov.et/remote/login?lang=en,-,-,"611,723",HRIS,IBEX,FPPA Website,Ministry of Finance of Republic of Ethiopia,http://www.mofed.gov.et/,2006,AFR,C,0,0,2,0,0,0,civil,2,0,2,0,0.41,1,1,0,1,0,0,1,0,0,1,0.37,0.42,37,ETH,0.54,0.60,0.10,0.38,-0.03,-0.08,-0.07,0.02,-0.07,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,-0.05,-0.14,-0.03,-0.05,0.05,0.01,0.00,-0.10,-0.01,-0.05,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.01,-0.03,0.07,0.02,-0.03,0.10,-0.54,-0.09,0.03,-0.14,-0.12,0.10,-0.10,0.41,ETH,C,C,0.373,-,0.274,0.336,-,ETH,ETH,ETH,ETH,ETH,ETH,-0.58,-0.58
C,58,-0.43,UMIC,http://www.fiji.gov.fj,90,http://www.communications.gov.fj/,3,0,0,-,http://www.finance.gov.fj,FMIS,http://www.finance.gov.fj/sections/financial-and-asset-management/treasury.html,https://www.frcs.org.fj/about-us/,https://www.frcs.org.fj/,-,-,https://www.egov.gov.fj/_layouts/images/egovFiji/eGOVdocs/Promulgation_26_Electronic_Transactions.pdf,"38,397",CHRIS,FMIS,FPO Website,Ministry of Finance of The Republic of The Fiji Islands,http://www.economy.gov.fj/index.php/divisions/budget-planning,,EAP,D,0,2,1,1,1,0,common,0,0,2,-,-,2,-,0,0,0,2,0,0,0,1,0.54,0.61,-,FJI,0.60,0.46,0.27,0.40,0.05,-0.08,-0.07,0.02,0.01,0.07,0.02,0.09,0.09,-0.01,0.03,-0.01,-0.05,0.03,-0.03,-0.01,0.05,0.01,-0.05,-0.10,-0.01,-0.02,-0.10,-0.03,0.11,0.12,-0.06,-0.04,-0.04,0.10,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,0.07,-0.04,-0.03,0.10,-0.54,-0.03,-0.02,0.05,0.13,-0.12,-0.10,0.43,FJI,C,C,0.444,-,0.659,0.440,-,FJI,FJI,FJI,FJI,FJI,FJI,-0.43,-0.43
A,59,0.75,HIC,http://valtioneuvosto.fi,4,https://vm.fi/tietoa-sivustosta,3,2,1,1,https://vm.fi/etusivu,KIEKU,http://www.treasuryfinland.fi/,http://www.vero.fi,http://www.tulli.fi,http://www.vero.fi/fi-FI/Asioi_verkossa,http://www.suomi.fi/suomifi/english/eservices/frequently_asked_questions/index.html#howdoIpay,http://www.fineid.fi/?site=10,"618,300",KIEKU,KIEKU,HILMA,Finnish State Treasury,https://vm.fi/etusivu,,-,A,2,2,2,1,1,0,civil,2,2,2,-,0.87,3,-,1,2,2,1,1,2,2,1,0.89,0.93,86,FIN,0.83,0.86,0.53,0.96,0.05,0.34,0.17,0.02,-0.15,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,0.07,0.12,0.05,0.10,0.05,0.01,0.03,0.14,-0.01,0.09,0.12,0.01,0.11,0.12,-0.06,-0.04,-0.04,0.10,-0.05,-0.03,-0.02,0.03,0.16,0.02,0.09,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.11,0.01,0.10,0.11,0.79,FIN,A,A,0.818,Yes,0.945,0.891,0.36,FIN,FIN,FIN,FIN,FIN,FIN,0.75,0.75
A,60,0.77,HIC,https://www.gouvernement.fr/,19,https://www.modernisation.gouv.fr/nos-actions/les-services-publics,3,1,1,1,http://www.economie.gouv.fr,CHORUS,http://www.aft.gouv.fr,http://www.impots.gouv.fr,http://www.douane.gouv.fr,http://www.impots.gouv.fr/pro/pro.html,https://www.amendes.gouv.fr/,http://www.chambersign.fr/cadre-juridique-autorite-certification/,"6,052,400",CHORUS,CHORUS,E-Procurement,Agence France Trésor,https://www.budget.gouv.fr/,,-,A,2,2,2,1,1,0,civil,2,2,2,-,0.73,3,3,1,2,2,2,1,2,2,1,0.78,0.76,69,FRA,0.97,0.99,0.92,0.96,0.05,0.34,0.17,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,0.03,0.07,0.11,0.05,0.08,0.05,0.22,0.03,0.14,0.09,0.08,0.12,0.01,0.11,0.12,0.16,0.24,0.18,0.10,0.13,0.20,-0.02,0.03,0.16,0.02,0.03,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.07,0.13,0.10,0.11,0.96,FRA,A,A,0.955,Yes,0.872,0.947,0.57,FRA,FRA,FRA,FRA,FRA,FRA,0.77,0.77
C,61,-0.21,UMIC,http://www.gouvernement.ga/,113,http://aninf.ga/,1,0,0,-,http://www.budget.gouv.ga,ASTER/SIGFIP,http://www.tresor.ga/,https://www.etax.dgi.ga/home.seam,http://www.douanes.ga,-,-,http://aninf.ga/acn.php#close,"105,000",-,-,DGMP Website,Ministry of Finance,http://www.budget.gouv.ga,,AFR,D,0,0,0,0,0,0,civil,2,2,0,0,-,1,-,0,1,0,1,0,0,0,1,0.32,0.31,31,GAB,0.41,0.31,0.10,0.40,-0.03,-0.08,-0.07,0.02,-0.15,-0.10,0.02,-0.29,-0.37,0.03,0.03,-0.01,-0.05,0.03,-0.03,-0.06,-0.08,-0.21,-0.02,-0.10,-0.01,-0.07,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.04,-0.03,-0.15,0.02,0.03,0.10,0.12,0.02,-0.06,-0.01,0.01,-0.12,-0.10,0.30,GAB,C,D,0.292,-,0.540,0.249,-,GAB,GAB,GAB,GAB,GAB,GAB,-0.21,-0.21
C,62,-0.32,LIC,http://www.statehouse.gm,181,http://moici.gov.gm/,3,0,0,-,http://www.mofea.gov.gm,IFMIS,http://www.mofea.gov.gm/index.php?option=com_content&view=article&id=4&Itemid=7,http://www.gra.gm,http://www.gra.gm,-,-,http://www.wipo.int/wipolex/en/text.jsp?file_id=238414,"35,000",HRIS,IFMIS Payroll,GPPA Website,Ministry of Finance,http://www.mofea.gov.gm,2015,AFR,D,0,0,1,0,0,0,common + customary + religious,2,0,1,0,0.50,2,2,0,1,0,0,0,0,0,1,0.37,0.44,37,GMB,0.47,0.29,0.08,0.38,-0.03,-0.08,-0.07,0.02,-0.15,0.07,0.02,0.09,0.09,-0.05,0.03,-0.01,-0.05,-0.05,-0.03,-0.13,-0.08,0.01,-0.05,-0.10,-0.01,-0.12,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,-0.04,0.02,-0.03,0.10,0.12,-0.03,-0.02,-0.13,-0.12,-0.12,-0.10,0.31,GMB,C,D,0.271,-,0.263,0.209,-,GMB,GMB,GMB,GMB,GMB,GMB,-0.32,-0.32
B,63,0.05,UMIC,http://www.government.gov.ge,65,http://napr.gov.ge/,3,0,0,-,http://www.mof.ge,PFMIS,http://treasury.gov.ge/,http://www.rs.ge,http://www.rs.ge,http://www.rs.ge/4297,http://www.e-government.ge/index.php?lang=4,https://www.my.gov.ge/public/,"299,800",HRMIS,HRMIS,Ge-GP,Ministry of Finance,https://mof.ge/,,ECA,C,0,1,2,1,0,0,civil,2,2,2,1,0.60,2,3,1,2,0,0,0,0,0,1,0.67,0.63,56,GEO,0.68,0.83,0.51,0.62,0.01,-0.08,0.09,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,-0.05,0.05,-0.03,0.01,0.05,0.01,0.03,0.14,-0.01,0.02,0.12,0.01,0.11,0.12,0.16,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.07,-0.12,-0.12,-0.10,0.66,GEO,B,B,0.620,-,0.717,0.586,-,GEO,GEO,GEO,GEO,GEO,GEO,0.05,0.05
A,64,0.70,HIC,http://www.bundesregierung.de,25,http://www.bmi.bund.de/DE/Home/startseite_node.html,3,1,1,1,http://www.bundesfinanzministerium.de,HKR,http://www.bundesfinanzministerium.de,http://www.steuerliches-info-center.de,http://www.zoll.de,https://www.elster.de/,http://www.bund.de/DE/Leistungen/XYZ/Zahlungsverkehrsplattform-des-Bundes-ePayment-BMF-ZIVIT.html?nn=42,https://www.bsi.bund.de/DE/Service/FAQ/ElektrSIgnatur/faq_node.html,"6,371,200",HRMS,Payroll KIDICAP,e-Vergabe,German Federal Republic Finance Agency GmbH,https://www.bundesfinanzministerium.de/Web/DE/Home/home.html,,-,A,2,2,2,1,1,0,civil,2,2,2,-,0.84,3,3,1,2,2,1,1,2,2,1,0.82,0.88,80,DEU,0.85,0.98,0.83,0.92,0.05,0.20,0.09,0.02,-0.15,0.07,0.02,0.09,0.09,0.03,0.03,0.03,0.07,0.11,0.05,0.04,0.05,0.22,0.03,0.14,0.09,0.04,0.12,0.01,0.11,0.12,0.16,0.24,-0.04,0.10,0.13,0.20,-0.02,0.03,0.16,0.02,0.03,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.10,0.01,0.10,0.11,0.90,DEU,A,A,0.890,Yes,0.852,0.883,0.40,DEU,DEU,DEU,DEU,DEU,DEU,0.70,0.70
B,65,-0.04,LMIC,http://presidency.gov.gh/,101,https://nita.gov.gh/,2,0,0,-,http://www.mofep.gov.gh,GIFMIS,https://cagd.gov.gh/organization/treasury-division/,http://www.gra.gov.gh,http://www.gra.gov.gh,-,http://www.epay.gov.gh/epay/the-portal.html,http://nca.org.gh/downloads/regdocs/NCA_Electronic_Transactions_Act_772.pdf,"650,000",HRMIS,IPPD 2,PPA Website,Ministry of Finance,https://www.mofep.gov.gh/divisions/pid/functions,2016,AFR,B,1,2,2,1,1,0,common,2,2,2,0,0.57,3,-,1,2,0,0,0,0,0,1,0.46,0.48,41,GHA,0.77,0.69,0.89,0.54,0.05,0.20,0.09,0.02,0.01,0.07,0.02,-0.10,0.09,0.03,0.03,0.03,-0.05,0.00,-0.03,0.02,0.05,0.01,-0.02,0.14,-0.01,0.01,0.12,0.01,0.11,0.12,0.16,0.24,0.18,0.10,0.13,0.20,-0.02,-0.02,0.05,-0.01,-0.03,0.07,0.02,0.03,0.10,0.12,-0.03,0.03,-0.04,-0.12,-0.12,-0.10,0.72,GHA,B,B,0.691,-,0.596,0.661,-,GHA,GHA,GHA,GHA,GHA,GHA,-0.04,-0.04
A,66,0.63,HIC,http://www.government.gr,42,http://www.ydmed.gov.gr/,2,1,0,-,http://www.minfin.gr,MIS,http://www.minfin.gr/,http://www.gsis.gr,http://www.gsis.gov.gr,https://login.gsis.gr/sso/pages/login.jsp,http://www.gsis.gr/gsis/info/gsis_site/index.html,http://www.eett.gr/opencms/opencms/EETT_EN/Electronic_Communications/DigitalSignatures/,"800,500",HRMIS,HRMIS,Procurement Portal,Public Debt Management Agency,http://www.mindev.gov.gr/,,-,A,2,2,2,1,1,0,civil,2,2,2,-,0.61,3,-,1,2,1,1,1,2,2,1,0.58,0.50,48,GRC,0.87,0.76,0.91,0.85,0.05,0.20,0.09,0.02,0.01,0.07,0.02,0.09,0.09,0.03,0.03,0.03,0.07,0.09,0.01,0.04,0.05,0.01,0.00,0.14,-0.01,0.05,0.12,0.01,0.11,0.12,0.16,0.24,0.18,0.10,0.13,0.20,-0.02,-0.02,0.16,-0.01,0.03,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.08,0.01,0.10,0.11,0.85,GRC,A,A,0.836,-,0.802,0.820,0.35,GRC,GRC,GRC,GRC,GRC,GRC,0.63,0.63
C,67,-0.26,UMIC,http://www.gov.gd,102,http://www.gov.gd/ministries/works.html,2,0,0,-,http://www.gov.gd/ministries/finance.html,SIGFIS,http://www.gov.gd/ministries/finance.html,http://www.ird.gov.gd,http://www.customs.gov.gd,https://eservices.gov.gd/taxefs/auth/Public/LogOn.aspx?ReturnUrl=%2ftaxefs%2fonline%2fdefault.aspx,-,http://www.gov.gd/egov/docs/other/eTransactionsAct.pdf,"5,250",SIGFIS,SIGFIS,e-PPS,Ministry of Finance,http://www.gov.gd/ministries/finance.html,,LCR,D,0,0,0,0,0,0,common,0,0,1,-,0.59,3,-,0,0,0,0,0,0,0,1,0.47,0.57,53,GRD,0.53,0.67,0.03,0.25,-0.03,-0.08,-0.07,0.02,0.01,0.07,0.02,0.09,0.09,-0.05,0.03,-0.01,-0.05,0.00,-0.03,-0.06,0.05,0.01,0.03,-0.10,-0.01,-0.05,-0.10,-0.03,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.01,-0.03,-0.04,-0.04,-0.03,0.10,0.12,-0.03,-0.06,0.07,-0.12,-0.12,-0.10,0.37,GRD,C,C,0.354,-,0.581,0.313,-,GRD,GRD,GRD,GRD,GRD,GRD,-0.26,-0.26
B,68,0.21,UMIC,http://www.guatemala.gob.gt/,121,https://www.minfin.gob.gt/servicios-en-linea,2,0,0,-,http://www.minfin.gob.gt,SIAF,http://www.minfin.gob.gt/index.php/acerca-del-ministerio/estructura-organica,http://portal.sat.gob.gt/sitio,http://www.sat.gob.gt,http://portal.sat.gob.gt/sitio/,http://portal.sat.gob.gt/sitio/,http://www.firma-e.com.gt/,"396,500",GUATENOMINA,GUATENOMINA,GUATECOMPRAS,Ministry of Finance,http://www.segeplan.gob.gt/nportal/,,LCR,D,0,0,1,0,0,0,civil,0,0,2,-,0.45,2,-,1,1,0,2,1,1,0,1,0.36,0.32,26,GTM,0.65,0.82,0.19,0.50,-0.03,-0.08,-0.07,0.02,0.01,0.07,0.02,0.09,0.09,0.03,0.03,0.03,-0.05,-0.02,-0.03,-0.01,0.05,0.01,0.03,0.14,-0.01,-0.02,0.12,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.01,-0.03,0.07,-0.04,-0.03,0.10,0.12,0.02,-0.02,-0.06,0.13,0.10,0.00,0.54,GTM,B,C,0.494,-,0.516,0.483,-,GTM,GTM,GTM,GTM,GTM,GTM,0.21,0.21
