1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country Name,Country Code,Indicator Name,Indicator Code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.007752238,0.389464214,0.783428912,1.970249237,2.376247035,3.973678355,11.93645034,27.83632242,39.68962712,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11,79.54939789,81.76077839,,,,Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1.017080166,3.303349927,4.831057905,6.284742844,7.671041206,8.996284534,12.91776908,15.32987986,19.59500322,29.71560414,36.46639195,42.18634916,44.68,46,49,53,56,60.27306504,64.5,68.77,71.2,90,94.86669164,95,95,,Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,0.137571514,0.400944447,0.864628564,1.675802584,2.436912399,3.156984196,3.847106745,4.518317258,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,41.77264453,,,,,Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS
0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064521041,0.15745423,0.30774685,0.602400929,1.122391474,2.902666622,3.430886787,3.385922351,3.345190174,3.304889253,3.262554036,4.289932975,5.28,6.25,6.15,6,9,16,30,36.74474744,37.31205037,39.36299738,41.41379464,58,61,,Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.005849503,0.014270881,0.027878201,0.040894287,0.053394174,0.078543428,0.128537117,0.151563338,0.223401395,0.268195609,0.311159173,0.375815961,1,1.8,2,2.2,3,3.4,3.6,3.8,4,,,,,Central African Republic,CAF,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.360999701,0.570385926,0.91598104,1.184557509,2.378693853,4.163525253,6.76023965,15.07235736,24.8974003,36.18644004,51.3,60.2,61.59329927,64.2,65.95596346,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,90,91.16,92.70137191,94.64,96.5,,Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.002110211,0.023377661,0.140246289,0.367437456,0.587341803,1.068812458,1.79192321,3.515199038,4.967280248,7.053821236,10.23883,18.25547593,22.5931211,29.24634069,34.75088949,40.80060882,45.28417403,50.68652882,55.09862076,58.59131297,59.11034673,61.71634151,63.46399045,66.48339261,67.35117029,71.34198079,73.40956731,75.98213727,78.72948708,83.13023343,Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595714223,1.17995597,1.751713322,2.167270203,2.720004329,3.552007211,4.549656748,15.1,24.8,34,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19302818,85.2,86.34,87.4,87.4790556,89.13468774,89.68614767,91.8,93.14608695,,Switzerland,CHE,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Channel Islands,CHI,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.036548938,0.071783144,0.141084507,0.346980781,0.68347561,1.057092496,1.662322022,4.103419297,16.6,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,41.56,45,52.24960729,55.05,58,61.11,76.62959195,83.55858602,82.32748693,,,,Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.00016868,0.001168115,0.00495471,0.013081692,0.032394861,0.168540297,0.708187957,1.775913207,2.639650215,4.595704331,6.2,7.3,8.523257003,10.52315262,16,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2,54.3,59.2,64.56912253,70.64214286,China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.000200256,0.00840978,0.018828361,0.060974439,0.118685917,0.231461671,0.395747702,0.497929361,0.758669629,0.849282415,1.039238205,1.524900791,1.8,1.9,2,2.7,2.9,5,12,19.2742298,38.44000017,41.20781493,43.83992085,37.54653613,36.28895457,,Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0.006768744,0.013216341,0.129067581,0.252120078,0.277051322,0.360871584,0.587622611,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5,7.5,10,16.21487223,18.3,20.6,23.20297197,29.7,33.5,,Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.000108207,0.000211213,0.000413065,0.001009076,0.005902114,0.011475782,0.092790702,0.134914837,0.196208375,0.238037799,0.29605361,0.37,0.44,0.56,0.72,1.2,1.679961015,2.2,3,3.799999507,6.20997406,8.619904916,11.7,12.5,,"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00352686,0.003469104,0.003415143,0.016791049,0.026354732,0.032223616,0.157249517,0.460014187,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5,5.6,6.106695024,6.6,7.11,7.615974662,8.121949323,8.65,,,,"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.107173945,0.18804679,0.330017773,0.550521023,1.126225245,1.697730794,2.207532993,2.854199971,4.6,7.388923711,9.118690303,11.00726389,15.34167454,21.8,25.6,30,36.5,40.35091575,48.98,51.7,52.57,55.90497251,58.13649357,62.25988032,64.12637682,65.00690072,,Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0.03787097,0.148162964,0.271740607,0.443068373,0.554869675,0.84818937,1.327327178,2,2.2,2.5,3,3.5,5.1,5.5,5.975296308,6.5,6.98,7.459161386,7.938322771,8.478170295,,,,Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0.24096792,0.472735008,1.159982461,1.822443852,2.685332713,3.518757175,4.324885391,5.31883207,6.074087107,6.808911008,8.28321982,14,21,30,32,34.74,37.5,40.26,42.68301416,50.32281787,57.16214635,59.5,61.94339776,,Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.001113325,0.081509754,0.279912479,0.416829206,0.84105704,1.640221288,2.666378698,3.904323257,5.800253023,9.559482135,19.89485113,20.33361481,20.79230671,22.07,25.1,28.4,32.29,34.33,36.5,39.212196,47.5,45.96,53,59.76295014,65.88044919,71.58166462,73.47972844,81.20259644,80.53018608,Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.014833905,0.168093321,0.552033163,0.900278279,1.939210571,3.366104182,4.919305911,8.304084369,11.74958391,14.90380679,16.81713677,19.42329602,22.29266562,24.4998464,27.66798763,31.75089746,35.39109463,42.14125388,42.49399165,45.26984014,48.33369185,50.81894504,53.47842647,59.61657015,,,,Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9.17E-05,0.031949001,0.068220214,0.226699199,0.314690541,0.541182549,1.079751722,3.770585038,5.241269054,8.407984759,9.738062208,11.15960131,11.69,12.94,14.33,15.9,16.0172908,21.2,27.93,29.07018437,37.30509742,42.97867519,57.14840432,62.67892362,67.97080866,,Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS
