,Global Cybersecurity Index (GCI): Rank (2018),Global Cybersecurity Index (GCI): Score (2018),data_country,data_year
Seychelles,110,0.259,Seychelles,Seychelles
Sierra Leone,136,0.138,Sierra Leone,Sierra Leone
Singapore,6,0.898,Singapore,Singapore
Slovakia,45,0.729,Slovakia,Slovakia
Slovenia,48,0.701,Slovenia,Slovenia
Solomon Islands,160,0.061,Solomon Islands,Solomon Islands
Somalia,156,0.07,Somalia,Somalia
South Africa,56,0.652,South Africa,South Africa
South Sudan,157,0.065,South Sudan,South Sudan
Spain,7,0.896,Spain,Spain
Sri Lanka,84,0.466,Sri Lanka,Sri Lanka
St. Christopher-Nevis,157,0.065,St. Christopher-Nevis,St. Christopher-Nevis
St. Lucia,149,0.096,St. Lucia,St. Lucia
St. Vincent and the Grenadines,129,0.169,St. Vincent and the Grenadines,St. Vincent and the Grenadines
Sudan,103,0.294,Sudan,Sudan
Suriname,144,0.11,Suriname,Suriname
Swaziland,137,0.133,Swaziland,Swaziland
Sweden,32,0.81,Sweden,Sweden
Switzerland,37,0.788,Switzerland,Switzerland
Syria,114,0.237,Syria,Syria
Tajikistan,107,0.263,Tajikistan,Tajikistan
Tanzania,59,0.642,Tanzania,Tanzania
Thailand,35,0.796,Thailand,Thailand
Timor-Leste,153,0.082,Timor-Leste,Timor-Leste
Togo,151,0.087,Togo,Togo
Tonga,116,0.208,Tonga,Tonga
Trinidad and Tobago,123,0.188,Trinidad and Tobago,Trinidad and Tobago
Tunisia,76,0.536,Tunisia,Tunisia
Turkey,20,0.853,Turkey,Turkey
Turkmenistan,143,0.115,Turkmenistan,Turkmenistan
Tuvalu,161,0.057,Tuvalu,Tuvalu
Uganda,65,0.621,Uganda,Uganda
Ukraine,54,0.661,Ukraine,Ukraine
United Arab Emirates,33,0.807,United Arab Emirates,United Arab Emirates
United Kingdom,1,0.931,United Kingdom,United Kingdom
United States,2,0.926,United States,United States
Uruguay,51,0.681,Uruguay,Uruguay
Uzbekistan,52,0.666,Uzbekistan,Uzbekistan
Vanuatu,147,0.098,Vanuatu,Vanuatu
Vatican,170,0.021,Vatican,Vatican
Venezuela,99,0.354,Venezuela,Venezuela
Vietnam,50,0.693,Vietnam,Vietnam
Yemen,172,0.019,Yemen,Yemen
Zambia,90,0.436,Zambia,Zambia
Zimbabwe,124,0.186,Zimbabwe,Zimbabwe
