,overall LPI score,overall LPI rank,Customs,Infrastructure,International shipments,Logistics quality and competence,Tracking and tracing,Timeliness,data_country,data_year
,,,,,,,,,,
rank,score,rank,score,score,score,score,score,score,rank,rank
101,2.66,87,2.41,2.36,2.77,2.44,2.97,2.98,101,101
73,2.66,88,2.35,2.29,2.82,2.56,2.67,3.20,73,73
97,2.65,89,2.71,2.33,2.42,2.65,2.78,3.01,97,97
85,2.63,90,2.35,2.79,2.45,2.25,2.85,3.15,85,85
95,2.62,91,2.41,2.43,2.92,2.46,2.40,3.04,95,95
111,2.61,92,2.57,2.48,2.65,2.50,2.51,2.90,111,111
118,2.60,93,2.24,2.47,2.66,2.72,2.68,2.83,118,118
122,2.60,94,2.58,2.49,2.51,2.42,2.79,2.79,122,122
142,2.60,95,2.46,2.57,2.87,2.60,2.47,2.57,142,142
119,2.59,96,2.15,2.30,2.70,2.45,3.08,2.83,119,119
102,2.59,97,2.43,2.18,2.55,2.68,2.67,2.98,102,102
84,2.58,98,2.37,2.14,2.79,2.41,2.52,3.16,84,84
91,2.58,99,2.10,2.57,2.42,2.59,2.71,3.09,91,91
107,2.58,100,2.30,2.39,2.56,2.48,2.79,2.92,107,107
90,2.58,101,2.30,2.25,2.71,2.56,2.47,3.10,90,90
110,2.58,102,2.61,2.19,2.76,2.50,2.41,2.90,110,110
78,2.57,103,2.35,2.44,2.31,2.64,2.54,3.18,78,78
87,2.57,104,2.77,2.21,2.20,2.73,2.37,3.12,87,87
70,2.57,105,2.38,2.10,2.50,2.30,2.86,3.24,70,70
115,2.57,106,2.45,2.44,2.53,2.51,2.57,2.87,115,115
120,2.56,107,2.63,2.25,2.49,2.21,2.93,2.80,120,120
106,2.55,108,2.75,2.38,2.22,2.36,2.64,2.94,106,106
114,2.54,109,2.33,2.43,2.58,2.49,2.51,2.88,114,114
92,2.53,110,1.97,2.56,2.52,2.40,2.68,3.07,92,92
94,2.53,111,2.18,2.30,3.05,2.48,1.98,3.05,94,94
125,2.53,112,2.68,2.41,2.50,2.27,2.52,2.75,125,125
121,2.52,113,2.42,2.32,2.53,2.54,2.48,2.79,121,121
89,2.51,114,2.29,2.19,2.36,2.46,2.65,3.10,89,89
103,2.49,115,2.27,2.07,2.87,2.28,2.38,2.95,103,103
82,2.46,116,2.25,2.02,2.69,2.30,2.21,3.17,82,82
124,2.45,117,2.13,2.42,2.39,2.39,2.60,2.76,124,124
112,2.45,118,2.31,2.23,2.52,2.25,2.45,2.88,112,112
105,2.44,119,2.42,2.38,2.38,2.26,2.26,2.95,105,105
133,2.43,120,2.37,2.12,2.37,2.49,2.51,2.69,133,133
139,2.43,121,2.14,2.18,2.58,2.51,2.51,2.62,139,139
136,2.42,122,2.12,2.20,2.63,2.59,2.27,2.66,136,136
138,2.42,123,2.15,2.37,2.37,2.62,2.37,2.62,138,138
144,2.42,124,2.42,2.38,2.59,2.27,2.27,2.53,144,144
88,2.41,125,2.16,2.20,2.33,2.25,2.42,3.11,88,88
130,2.41,126,2.35,2.23,2.29,2.31,2.56,2.72,130,130
131,2.40,127,2.08,1.82,2.71,2.21,2.81,2.71,131,131
128,2.39,128,2.32,2.16,2.19,2.33,2.61,2.73,128,128
116,2.39,129,2.01,1.78,2.53,2.28,2.78,2.86,116,116
93,2.37,130,2.22,2.10,2.49,2.21,2.10,3.06,93,93
127,2.36,131,2.32,2.15,2.54,2.21,2.13,2.74,127,127
137,2.36,132,2.55,2.09,2.17,2.24,2.44,2.65,137,137
143,2.35,133,2.41,2.40,2.16,2.31,2.31,2.54,143,143
104,2.34,134,1.92,2.17,2.31,2.33,2.33,2.95,104,104
134,2.33,135,2.20,2.26,2.19,2.19,2.47,2.68,134,134
126,2.32,136,1.91,1.88,2.88,2.25,2.13,2.75,126,126
108,2.30,137,2.17,1.99,2.20,2.28,2.20,2.91,108,108
148,2.30,138,1.82,2.51,2.37,2.29,2.37,2.44,148,148
132,2.28,139,2.36,1.96,2.21,2.03,2.37,2.70,132,132
151,2.27,140,2.40,2.12,2.21,2.26,2.16,2.43,151,151
145,2.25,141,2.17,2.22,2.36,2.11,2.11,2.52,145,145
141,2.23,142,1.79,2.10,2.38,2.21,2.29,2.58,141,141
69,2.23,143,1.91,1.91,2.08,2.14,2.05,3.25,69,69
157,2.21,144,2.00,1.81,2.61,2.30,2.23,2.20,157,157
160,2.20,145,2.45,1.56,2.32,2.07,2.70,2.04,160,160
147,2.20,146,2.03,2.04,2.27,2.20,2.15,2.46,147,147
129,2.18,147,1.84,2.03,2.32,1.91,2.19,2.72,129,129
150,2.17,148,2.32,1.97,2.15,1.88,2.26,2.44,150,150
146,2.17,149,2.14,1.91,1.80,2.35,2.35,2.49,146,146
135,2.16,150,1.96,2.09,2.10,2.07,2.07,2.67,135,135
156,2.15,151,2.24,1.93,2.30,1.93,2.10,2.33,156,156
152,2.12,152,2.00,1.83,2.06,2.16,2.26,2.39,152,152
149,2.11,153,2.03,1.94,2.01,2.19,2.05,2.44,149,149
123,2.11,154,1.95,2.25,1.99,2.05,1.64,2.77,123,123
159,2.09,155,2.13,1.86,2.09,2.17,2.17,2.08,159,159
154,2.08,156,1.82,1.82,2.18,2.00,2.27,2.34,154,154
155,2.07,157,1.77,2.00,2.00,2.10,2.22,2.33,155,155
158,2.06,158,1.69,1.95,2.21,2.33,2.01,2.17,158,158
140,2.05,159,1.57,1.86,2.20,2.00,2.00,2.59,140,140
153,1.95,160,1.73,1.81,2.10,1.92,1.70,2.38,153,153
