date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,th,"Thailand","Bangkok Metropolitan, Thailand","All",Top Trending Employers,"Shopee",9.059309368946824,1
2020-09-01,th,"Thailand","Bangkok Metropolitan, Thailand","All",Top Trending Jobs,"Software Engineer",3.8826240575306916,1
2020-09-01,th,"Thailand","Bangkok Metropolitan, Thailand","All",Top Trending Skills,"JavaScript",-1,1
2020-09-01,th,"Thailand","Bangkok Metropolitan, Thailand","All",Top Trending Skills,"C#",-1,2
