Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,Category,Category Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,Growth rate (over previous period),Growth rate (over previous period) Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of total trade in services,Percentage of total trade in services Footnote
2005,0000,"World",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1202760.165,,,,100,,44.92149,
2005,008,"Albania",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",200.069,,,,,,14.46744,
2005,008,"Albania",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",153.134,,,,0.012732,,12.08971,
2005,012,"Algeria",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",1782,,,,,,36.94796,
2005,012,"Algeria",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1262,,,,0.104925,,50.33905,
2005,024,"Angola",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",3428.787,,,,,,50.49032,
2005,024,"Angola",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",65.949,,,,0.005483,,37.29633,
2005,028,"Antigua and Barbuda",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",82.525,"Estimated",,,,,36.29589,"Estimated"
2005,028,"Antigua and Barbuda",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",60.012,"Estimated",,,0.00499,"Estimated",12.97275,"Estimated"
2005,031,"Azerbaijan",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",578.415,,,,,,21.75474,
2005,031,"Azerbaijan",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",295.346,,,,0.024556,,39.83303,
2005,032,"Argentina",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",2455.34,,,,,,32.75145,
2005,032,"Argentina",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2252.82,,,,0.187304,,34.88385,
2005,036,"Australia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",7849.7,,,,,,23.7461,
2005,036,"Australia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",7208.3,,,,0.599313,,22.36748,
2005,044,"Bahamas",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",457.24,"Estimated",,,,,35.54388,"Estimated"
2005,048,"Bahrain",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",372.181,"Estimated",,,,,26.2799,"Estimated"
2005,048,"Bahrain",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1445.479,"Estimated",,,0.12018,"Estimated",45.81695,"Estimated"
2005,050,"Bangladesh",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",327.07,,,,,,13.83247,
2005,050,"Bangladesh",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",272.35,,,,0.022644,,18.19394,
