Pillar,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Business,Mauritius,2019,Time required to start a business (days),4.5,5.99,False,Startup Environment
Business,Mexico,2019,Time required to start a business (days),8.4,4.7425,False,Startup Environment
Business,"Micronesia, Fed. Sts.",2019,Time required to start a business (days),16.0,3.495,False,Startup Environment
Business,Moldova,2019,Time required to start a business (days),4.0,5.99,False,Startup Environment
Business,Mongolia,2019,Time required to start a business (days),12.0,3.495,False,Startup Environment
Business,Montenegro,2019,Time required to start a business (days),12.0,3.495,False,Startup Environment
Business,Morocco,2019,Time required to start a business (days),9.0,4.7425,False,Startup Environment
Business,Mozambique,2019,Time required to start a business (days),17.0,3.495,False,Startup Environment
Business,Myanmar,2019,Time required to start a business (days),7.0,5.99,False,Startup Environment
Business,Namibia,2019,Time required to start a business (days),54.0,1.0,False,Startup Environment
Business,Nepal,2019,Time required to start a business (days),22.5,2.2475000000000005,False,Startup Environment
Business,Netherlands,2019,Time required to start a business (days),3.5,5.99,False,Startup Environment
Business,New Zealand,2019,Time required to start a business (days),0.5,5.99,False,Startup Environment
Business,Nicaragua,2019,Time required to start a business (days),14.0,3.495,False,Startup Environment
Business,Niger,2019,Time required to start a business (days),10.0,4.7425,False,Startup Environment
Business,Nigeria,2019,Time required to start a business (days),7.2,4.7425,False,Startup Environment
Business,North Macedonia,2019,Time required to start a business (days),15.0,3.495,False,Startup Environment
Business,Norway,2019,Time required to start a business (days),4.0,5.99,False,Startup Environment
Business,Oman,2019,Time required to start a business (days),4.3,5.99,False,Startup Environment
Business,Pakistan,2019,Time required to start a business (days),16.5,3.495,False,Startup Environment
Business,Palau,2019,Time required to start a business (days),28.0,1.0,False,Startup Environment
Business,Panama,2019,Time required to start a business (days),6.0,5.99,False,Startup Environment
Business,Papua New Guinea,2019,Time required to start a business (days),41.0,1.0,False,Startup Environment
Business,Paraguay,2019,Time required to start a business (days),35.0,1.0,False,Startup Environment
Business,Peru,2019,Time required to start a business (days),26.0,1.0,False,Startup Environment
Business,Philippines,2019,Time required to start a business (days),33.0,1.0,False,Startup Environment
Business,Poland,2019,Time required to start a business (days),37.0,1.0,False,Startup Environment
Business,Portugal,2019,Time required to start a business (days),6.5,5.99,False,Startup Environment
Business,Puerto Rico,2019,Time required to start a business (days),5.5,5.99,False,Startup Environment
Business,Qatar,2019,Time required to start a business (days),8.7,4.7425,False,Startup Environment
Business,Romania,2019,Time required to start a business (days),20.0,2.2475000000000005,False,Startup Environment
Business,Russian Federation,2019,Time required to start a business (days),10.1,4.7425,False,Startup Environment
Business,Rwanda,2019,Time required to start a business (days),4.0,5.99,False,Startup Environment
Business,Samoa,2019,Time required to start a business (days),9.0,4.7425,False,Startup Environment
Business,San Marino,2019,Time required to start a business (days),11.5,4.7425,False,Startup Environment
Business,Sao Tome and Principe,2019,Time required to start a business (days),7.0,5.99,False,Startup Environment
Business,Saudi Arabia,2019,Time required to start a business (days),10.4,4.7425,False,Startup Environment
Business,Senegal,2019,Time required to start a business (days),6.0,5.99,False,Startup Environment
Business,Serbia,2019,Time required to start a business (days),7.0,5.99,False,Startup Environment
Business,Seychelles,2019,Time required to start a business (days),32.0,1.0,False,Startup Environment
Business,Sierra Leone,2019,Time required to start a business (days),8.0,4.7425,False,Startup Environment
Business,Singapore,2019,Time required to start a business (days),1.5,5.99,False,Startup Environment
Business,Slovak Republic,2019,Time required to start a business (days),21.5,2.2475000000000005,False,Startup Environment
Business,Slovenia,2019,Time required to start a business (days),8.0,4.7425,False,Startup Environment
Business,Solomon Islands,2019,Time required to start a business (days),9.0,4.7425,False,Startup Environment
Business,Somalia,2019,Time required to start a business (days),70.0,1.0,False,Startup Environment
Business,South Africa,2019,Time required to start a business (days),40.0,1.0,False,Startup Environment
Business,South Sudan,2019,Time required to start a business (days),13.0,3.495,False,Startup Environment
Business,Spain,2019,Time required to start a business (days),12.5,3.495,False,Startup Environment
Business,Sri Lanka,2019,Time required to start a business (days),8.0,4.7425,False,Startup Environment
Business,St. Kitts and Nevis,2019,Time required to start a business (days),18.5,2.2475000000000005,False,Startup Environment
Business,St. Lucia,2019,Time required to start a business (days),11.0,4.7425,False,Startup Environment
Business,St. Vincent and the Grenadines,2019,Time required to start a business (days),10.0,4.7425,False,Startup Environment
Business,Sudan,2019,Time required to start a business (days),34.5,1.0,False,Startup Environment
Business,Suriname,2019,Time required to start a business (days),66.0,1.0,False,Startup Environment
Business,Sweden,2019,Time required to start a business (days),7.5,4.7425,False,Startup Environment
Business,Switzerland,2019,Time required to start a business (days),10.0,4.7425,False,Startup Environment
Business,Syrian Arab Republic,2019,Time required to start a business (days),15.5,3.495,False,Startup Environment
Business,Tajikistan,2019,Time required to start a business (days),7.0,5.99,False,Startup Environment
Business,Tanzania,2019,Time required to start a business (days),29.5,1.0,False,Startup Environment
Business,Thailand,2019,Time required to start a business (days),6.0,5.99,False,Startup Environment
Business,Timor-Leste,2019,Time required to start a business (days),13.0,3.495,False,Startup Environment
Business,Togo,2019,Time required to start a business (days),2.5,5.99,False,Startup Environment
Business,Tonga,2019,Time required to start a business (days),16.0,3.495,False,Startup Environment
Business,Trinidad and Tobago,2019,Time required to start a business (days),10.5,4.7425,False,Startup Environment
Business,Tunisia,2019,Time required to start a business (days),9.0,4.7425,False,Startup Environment
Business,Turkey,2019,Time required to start a business (days),7.0,5.99,False,Startup Environment
Business,Uganda,2019,Time required to start a business (days),24.0,2.2475000000000005,False,Startup Environment
Business,Ukraine,2019,Time required to start a business (days),6.5,5.99,False,Startup Environment
Business,United Arab Emirates,2019,Time required to start a business (days),3.8,5.99,False,Startup Environment
Business,United Kingdom,2019,Time required to start a business (days),4.5,5.99,False,Startup Environment
Business,United States,2019,Time required to start a business (days),4.2,5.99,False,Startup Environment
Business,Uruguay,2019,Time required to start a business (days),6.5,5.99,False,Startup Environment
Business,Uzbekistan,2019,Time required to start a business (days),3.0,5.99,False,Startup Environment
Business,Vanuatu,2019,Time required to start a business (days),18.0,2.2475000000000005,False,Startup Environment
Business,"Venezuela, RB",2019,Time required to start a business (days),230.0,1.0,False,Startup Environment
Business,Vietnam,2019,Time required to start a business (days),16.0,3.495,False,Startup Environment
Business,West Bank and Gaza,2019,Time required to start a business (days),43.5,1.0,False,Startup Environment
Business,"Yemen, Rep.",2019,Time required to start a business (days),40.5,1.0,False,Startup Environment
Business,Zambia,2019,Time required to start a business (days),8.5,4.7425,False,Startup Environment
Business,Zimbabwe,2019,Time required to start a business (days),27.0,1.0,False,Startup Environment
Business,Africa Eastern and Southern,2019,Time required to start a business (days),26.8269230769231,1.0,False,Startup Environment
Business,Africa Western and Central,2019,Time required to start a business (days),15.2590909090909,3.495,False,Startup Environment
Business,Arab World,2019,Time required to start a business (days),19.6545454545455,2.2475000000000005,False,Startup Environment
Business,Caribbean small states,2019,Time required to start a business (days),19.6538461538462,2.2475000000000005,False,Startup Environment
Business,Central Europe and the Baltics,2019,Time required to start a business (days),15.9090909090909,3.495,False,Startup Environment
Business,Early-demographic dividend,2019,Time required to start a business (days),30.8311475409836,1.0,False,Startup Environment
Business,East Asia & Pacific,2019,Time required to start a business (days),22.851724137931,2.2475000000000005,False,Startup Environment
Business,East Asia & Pacific (excluding high income),2019,Time required to start a business (days),29.73,1.0,False,Startup Environment
Business,East Asia & Pacific (IDA & IBRD countries),2019,Time required to start a business (days),29.647619047619,1.0,False,Startup Environment
