Pillar,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Infrastructure,Oman,2021,ISP internet download speed average ,58.75,4.75,True,Connectivity Technology
Infrastructure,Peru,2021,ISP internet download speed average ,57.27,4.75,True,Connectivity Technology
Infrastructure,Kosovo,2021,ISP internet download speed average ,57.22,4.75,True,Connectivity Technology
Infrastructure,Saint Vincent and the Grenadines,2021,ISP internet download speed average ,56.12,3.5,True,Connectivity Technology
Infrastructure,Argentina,2021,ISP internet download speed average ,55.94,3.5,True,Connectivity Technology
Infrastructure,The Bahamas,2021,ISP internet download speed average ,55.04,3.5,True,Connectivity Technology
Infrastructure,Croatia,2021,ISP internet download speed average ,54.62,3.5,True,Connectivity Technology
Infrastructure,Grenada,2021,ISP internet download speed average ,53.14,3.5,True,Connectivity Technology
Infrastructure,Ghana,2021,ISP internet download speed average ,52.52,3.5,True,Connectivity Technology
Infrastructure,Costa Rica,2021,ISP internet download speed average ,51.21,3.5,True,Connectivity Technology
Infrastructure,Mexico,2021,ISP internet download speed average ,51.1,3.5,True,Connectivity Technology
Infrastructure,Cyprus,2021,ISP internet download speed average ,50.77,3.5,True,Connectivity Technology
Infrastructure,South Africa,2021,ISP internet download speed average ,50.45,3.5,True,Connectivity Technology
Infrastructure,Mongolia,2021,ISP internet download speed average ,49.08,3.5,True,Connectivity Technology
Infrastructure,Montenegro,2021,ISP internet download speed average ,48.86,3.5,True,Connectivity Technology
Infrastructure,Kyrgyzstan,2021,ISP internet download speed average ,47.73,3.5,True,Connectivity Technology
Infrastructure,Laos,2021,ISP internet download speed average ,47.58,3.5,True,Connectivity Technology
Infrastructure,Saint Lucia,2021,ISP internet download speed average ,46.89,3.5,True,Connectivity Technology
Infrastructure,Madagascar,2021,ISP internet download speed average ,44.65,3.5,True,Connectivity Technology
Infrastructure,Bosnia and Herzegovina,2021,ISP internet download speed average ,44.08,3.5,True,Connectivity Technology
Infrastructure,Albania,2021,ISP internet download speed average ,43.56,3.5,True,Connectivity Technology
Infrastructure,Belize,2021,ISP internet download speed average ,41.76,3.5,True,Connectivity Technology
Infrastructure,Egypt,2021,ISP internet download speed average ,41.45,3.5,True,Connectivity Technology
Infrastructure,Uzbekistan,2021,ISP internet download speed average ,40.9,3.5,True,Connectivity Technology
Infrastructure,Jamaica,2021,ISP internet download speed average ,40.19,3.5,True,Connectivity Technology
Infrastructure,Brunei,2021,ISP internet download speed average ,39.78,3.5,True,Connectivity Technology
Infrastructure,North Macedonia,2021,ISP internet download speed average ,39.74,3.5,True,Connectivity Technology
Infrastructure,Dominica,2021,ISP internet download speed average ,39.65,3.5,True,Connectivity Technology
Infrastructure,Turkey,2021,ISP internet download speed average ,38.58,3.5,True,Connectivity Technology
Infrastructure,Bangladesh,2021,ISP internet download speed average ,38.27,3.5,True,Connectivity Technology
Infrastructure,Greece,2021,ISP internet download speed average ,36.42,3.5,True,Connectivity Technology
Infrastructure,Armenia,2021,ISP internet download speed average ,36.25,3.5,True,Connectivity Technology
Infrastructure,Ecuador,2021,ISP internet download speed average ,34.81,3.5,True,Connectivity Technology
Infrastructure,Senegal,2021,ISP internet download speed average ,34.65,3.5,True,Connectivity Technology
Infrastructure,Côte d'Ivoire,2021,ISP internet download speed average ,32.47,3.5,True,Connectivity Technology
Infrastructure,Tajikistan,2021,ISP internet download speed average ,32.37,3.5,True,Connectivity Technology
Infrastructure,Iraq,2021,ISP internet download speed average ,32.17,3.5,True,Connectivity Technology
Infrastructure,Dominican Republic,2021,ISP internet download speed average ,31.26,3.5,True,Connectivity Technology
Infrastructure,Nicaragua,2021,ISP internet download speed average ,29.66,3.5,True,Connectivity Technology
Infrastructure,Seychelles,2021,ISP internet download speed average ,29.52,2.25,True,Connectivity Technology
Infrastructure,Marshall Islands,2021,ISP internet download speed average ,29.41,2.25,True,Connectivity Technology
Infrastructure,Saint Kitts and Nevis,2021,ISP internet download speed average ,29.21,2.25,True,Connectivity Technology
Infrastructure,Nepal,2021,ISP internet download speed average ,29.08,2.25,True,Connectivity Technology
Infrastructure,Morocco,2021,ISP internet download speed average ,27.52,2.25,True,Connectivity Technology
Infrastructure,Georgia,2021,ISP internet download speed average ,27.46,2.25,True,Connectivity Technology
Infrastructure,Western Sahara,2021,ISP internet download speed average ,27.0,2.25,True,Connectivity Technology
Infrastructure,Bolivia,2021,ISP internet download speed average ,26.96,2.25,True,Connectivity Technology
Infrastructure,El Salvador,2021,ISP internet download speed average ,26.11,2.25,True,Connectivity Technology
Infrastructure,Sri Lanka,2021,ISP internet download speed average ,25.96,2.25,True,Connectivity Technology
Infrastructure,Indonesia,2021,ISP internet download speed average ,25.58,2.25,True,Connectivity Technology
Infrastructure,Cambodia,2021,ISP internet download speed average ,25.5,2.25,True,Connectivity Technology
Infrastructure,Burkina Faso,2021,ISP internet download speed average ,25.45,2.25,True,Connectivity Technology
Infrastructure,Honduras,2021,ISP internet download speed average ,25.26,2.25,True,Connectivity Technology
Infrastructure,Azerbaijan,2021,ISP internet download speed average ,24.08,2.25,True,Connectivity Technology
Infrastructure,Cape Verde,2021,ISP internet download speed average ,24.01,2.25,True,Connectivity Technology
Infrastructure,Lesotho,2021,ISP internet download speed average ,23.87,2.25,True,Connectivity Technology
Infrastructure,Maldives,2021,ISP internet download speed average ,23.85,2.25,True,Connectivity Technology
Infrastructure,Mauritius,2021,ISP internet download speed average ,23.25,2.25,True,Connectivity Technology
Infrastructure,Guatemala,2021,ISP internet download speed average ,22.91,2.25,True,Connectivity Technology
Infrastructure,Republic of the Union of Myanmar,2021,ISP internet download speed average ,22.69,2.25,True,Connectivity Technology
Infrastructure,Palestine,2021,ISP internet download speed average ,22.09,2.25,True,Connectivity Technology
Infrastructure,Congo,2021,ISP internet download speed average ,22.03,2.25,True,Connectivity Technology
Infrastructure,Togo,2021,ISP internet download speed average ,21.61,2.25,True,Connectivity Technology
Infrastructure,Venezuela,2021,ISP internet download speed average ,21.34,2.25,True,Connectivity Technology
Infrastructure,Iran,2021,ISP internet download speed average ,21.04,2.25,True,Connectivity Technology
Infrastructure,Gabon,2021,ISP internet download speed average ,20.22,2.25,True,Connectivity Technology
Infrastructure,Mali,2021,ISP internet download speed average ,20.18,2.25,True,Connectivity Technology
Infrastructure,Rwanda,2021,ISP internet download speed average ,19.91,2.25,True,Connectivity Technology
Infrastructure,Fiji,2021,ISP internet download speed average ,19.58,2.25,True,Connectivity Technology
Infrastructure,Antigua and Barbuda,2021,ISP internet download speed average ,18.75,2.25,True,Connectivity Technology
Infrastructure,Liberia,2021,ISP internet download speed average ,18.45,2.25,True,Connectivity Technology
Infrastructure,Benin,2021,ISP internet download speed average ,18.26,2.25,True,Connectivity Technology
Infrastructure,Kenya,2021,ISP internet download speed average ,17.96,2.25,True,Connectivity Technology
Infrastructure,Somalia,2021,ISP internet download speed average ,17.53,2.25,True,Connectivity Technology
Infrastructure,Bhutan,2021,ISP internet download speed average ,17.5,2.25,True,Connectivity Technology
Infrastructure,Namibia,2021,ISP internet download speed average ,17.49,1.0,True,Connectivity Technology
Infrastructure,Tanzania,2021,ISP internet download speed average ,16.86,1.0,True,Connectivity Technology
Infrastructure,Nigeria,2021,ISP internet download speed average ,16.85,1.0,True,Connectivity Technology
Infrastructure,Lebanon,2021,ISP internet download speed average ,16.55,1.0,True,Connectivity Technology
Infrastructure,Libya,2021,ISP internet download speed average ,16.31,1.0,True,Connectivity Technology
Infrastructure,Vanuatu,2021,ISP internet download speed average ,16.24,1.0,True,Connectivity Technology
Infrastructure,Ethiopia,2021,ISP internet download speed average ,15.71,1.0,True,Connectivity Technology
Infrastructure,Papua New Guinea,2021,ISP internet download speed average ,15.33,1.0,True,Connectivity Technology
Infrastructure,Haiti,2021,ISP internet download speed average ,15.2,1.0,True,Connectivity Technology
Infrastructure,Suriname,2021,ISP internet download speed average ,15.1,1.0,True,Connectivity Technology
Infrastructure,Micronesia,2021,ISP internet download speed average ,14.89,1.0,True,Connectivity Technology
Infrastructure,Uganda,2021,ISP internet download speed average ,14.72,1.0,True,Connectivity Technology
Infrastructure,Angola,2021,ISP internet download speed average ,14.56,1.0,True,Connectivity Technology
Infrastructure,Zambia,2021,ISP internet download speed average ,13.86,1.0,True,Connectivity Technology
Infrastructure,Zimbabwe,2021,ISP internet download speed average ,13.63,1.0,True,Connectivity Technology
Infrastructure,Cameroon,2021,ISP internet download speed average ,13.36,1.0,True,Connectivity Technology
Infrastructure,Pakistan,2021,ISP internet download speed average ,13.19,1.0,True,Connectivity Technology
Infrastructure,Djibouti,2021,ISP internet download speed average ,12.77,1.0,True,Connectivity Technology
Infrastructure,Sierra Leone,2021,ISP internet download speed average ,12.28,1.0,True,Connectivity Technology
Infrastructure,Botswana,2021,ISP internet download speed average ,12.08,1.0,True,Connectivity Technology
Infrastructure,DR Congo,2021,ISP internet download speed average ,11.39,1.0,True,Connectivity Technology
Infrastructure,Burundi,2021,ISP internet download speed average ,11.36,1.0,True,Connectivity Technology
