Country Name,Pillar,Sub-Pillar,Indicator,Data Source,Data Link,Available
Niger,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Niger,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Niger,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Niger,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Niger,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Niger,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Niger,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Niger,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Niger,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Niger,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Niger,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Nigeria,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Nigeria,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Nigeria,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Nigeria,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Nigeria,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Nigeria,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Nigeria,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Nigeria,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Nigeria,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Nigeria,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Nigeria,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Nigeria,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Nigeria,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Saint Helena,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Saint Helena,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Saint Helena,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Saint Helena,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Saint Helena,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Saint Helena,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Saint Helena,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Saint Helena,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Saint Helena,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Saint Helena,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Saint Helena,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Saint Helena,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Saint Helena,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Senegal,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Senegal,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Senegal,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Senegal,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Senegal,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Senegal,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Senegal,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Senegal,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Senegal,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Senegal,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Senegal,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Senegal,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Senegal,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Sierra Leone,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Sierra Leone,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Sierra Leone,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Sierra Leone,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Sierra Leone,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Sierra Leone,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Sierra Leone,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Sierra Leone,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Sierra Leone,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Sierra Leone,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Sierra Leone,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Sierra Leone,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Sierra Leone,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Togo,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Togo,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Togo,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Togo,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Togo,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Togo,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Togo,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Togo,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Togo,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Togo,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Togo,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Togo,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Togo,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Anguilla,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Anguilla,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Anguilla,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Anguilla,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Anguilla,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Anguilla,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Anguilla,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Anguilla,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Anguilla,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Anguilla,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Anguilla,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Anguilla,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Anguilla,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Antigua and Barbuda,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Antigua and Barbuda,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Antigua and Barbuda,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Antigua and Barbuda,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Antigua and Barbuda,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Antigua and Barbuda,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Antigua and Barbuda,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Antigua and Barbuda,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Antigua and Barbuda,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Antigua and Barbuda,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Antigua and Barbuda,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Antigua and Barbuda,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Antigua and Barbuda,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,1
Aruba,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Aruba,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Aruba,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Aruba,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Aruba,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Aruba,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Aruba,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Aruba,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Aruba,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Aruba,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Aruba,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Aruba,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Aruba,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Bahamas,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Bahamas,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Bahamas,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Bahamas,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Bahamas,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Bahamas,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Bahamas,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Bahamas,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Bahamas,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Bahamas,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Bahamas,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Bahamas,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Bahamas,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Barbados,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Barbados,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Barbados,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Barbados,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Barbados,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Barbados,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Barbados,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Barbados,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Barbados,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Barbados,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Barbados,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Barbados,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Barbados,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,1
"Bonaire, Sint Eustatius and Saba",Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
"Bonaire, Sint Eustatius and Saba",Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
"Bonaire, Sint Eustatius and Saba",Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
"Bonaire, Sint Eustatius and Saba",Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
"Bonaire, Sint Eustatius and Saba",Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
"Bonaire, Sint Eustatius and Saba",Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
"Bonaire, Sint Eustatius and Saba",Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
"Bonaire, Sint Eustatius and Saba",Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
"Bonaire, Sint Eustatius and Saba",Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
"Bonaire, Sint Eustatius and Saba",Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
"Bonaire, Sint Eustatius and Saba",Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
"Bonaire, Sint Eustatius and Saba",Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
"Bonaire, Sint Eustatius and Saba",Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
British Virgin Islands,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
British Virgin Islands,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
British Virgin Islands,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
British Virgin Islands,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
British Virgin Islands,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
British Virgin Islands,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
British Virgin Islands,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
British Virgin Islands,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
British Virgin Islands,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
British Virgin Islands,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
British Virgin Islands,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
British Virgin Islands,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
British Virgin Islands,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Cayman Islands,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Cayman Islands,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cayman Islands,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cayman Islands,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cayman Islands,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cayman Islands,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cayman Islands,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cayman Islands,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cayman Islands,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Cayman Islands,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Cayman Islands,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Cayman Islands,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Cayman Islands,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Cuba,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Cuba,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cuba,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cuba,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cuba,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cuba,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cuba,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cuba,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Cuba,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Cuba,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Cuba,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Cuba,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Cuba,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Curaçao,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Curaçao,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Curaçao,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Curaçao,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Curaçao,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Curaçao,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Curaçao,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Curaçao,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Curaçao,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Curaçao,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Curaçao,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Curaçao,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Curaçao,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Dominica,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Dominica,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Dominica,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Dominica,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Dominica,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Dominica,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Dominica,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Dominica,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Dominica,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Dominica,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Dominica,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
