"Internet users, total (% of population)"
"Dimension: Mobility and communication"
"SDG 17.6 Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms,in particular at the United Nations level, and through a global technology facilitation mechanism and SDG 17.8 Fully operationalize the technology bank and science, technology and innovation capacitybuilding mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology"
"Definition: People with access to the worldwide network."
"Source: ITU (International Telecommunication Union) (2020). ICT Facts and Figures 2020. www.itu.int/en/ITU-D/Statistics/Pages/stat/. Accessed 2 September 2020."
""
"HDI Rank","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"169"," Afghanistan","..","","1.2","","4.0","","5.0","","5.5","","5.9","","7.0","","8.3","","11.2","","13.5","","13.5","a"
"69"," Albania","0.1","","6.0","","45.0","","49.0","","54.7","","57.2","","60.1","","63.3","","66.4","","71.8","","71.8","a"
"91"," Algeria","0.5","","5.8","","12.5","","14.9","","18.2","","22.5","","29.5","","38.2","","42.9","","47.7","","59.6","a"
"36"," Andorra","10.5","","37.6","","81.0","","81.0","","86.4","","94.0","","95.9","","96.9","","97.9","","91.6","","91.6","a"
"148"," Angola","0.1","","1.1","","2.8","","3.1","","6.5","","8.9","","21.4","","12.4","","13.0","","14.3","","14.3","a"
"78"," Antigua and Barbuda","6.5","","27.0","","47.0","","52.0","","58.0","","63.4","","67.8","","70.0","","73.0","","76.0","","76.0","a"
"46"," Argentina","7.0","","17.7","","45.0","","51.0","","55.8","","59.9","","64.7","","68.0","","71.0","","74.3","","74.3","a"
"81"," Armenia","1.3","","5.3","","25.0","","32.0","","37.5","","41.9","","54.6","","59.1","","64.3","","64.7","","64.7","a"
"8"," Australia","46.8","","63.0","","76.0","","79.5","","79.0","","83.5","","84.0","","84.6","","86.5","","86.5","","86.5","a"
"18"," Austria","33.7","","58.0","","75.2","","78.7","","80.0","","80.6","","81.0","","83.9","","84.3","","87.9","","87.7","a"
"88"," Azerbaijan","0.1","","8.0","","46.0","","50.0","","54.2","","73.0","","75.0","","77.0","","78.2","","79.0","","79.8","a"
"58"," Bahamas","8.0","","25.0","","43.0","","65.0","","71.7","","72.0","","76.9","","78.0","","80.0","","85.0","","85.0","a"
"42"," Bahrain","6.2","","21.3","","55.0","","77.0","","88.0","","90.0","","90.5","","93.5","","98.0","","95.9","","98.6","a"
"133"," Bangladesh","0.1","","0.2","","3.7","","4.5","","5.0","","6.6","","13.9","","14.4","","18.0","","15.0","","15.0","a"
"58"," Barbados","4.0","","52.5","","65.1","","66.5","","71.2","","71.8","","75.2","","76.1","","79.5","","81.8","","81.8","a"
"53"," Belarus","1.9","","9.0","","31.8","","39.6","","46.9","","54.2","","59.0","","62.2","","71.1","","74.4","","79.1","a"
"14"," Belgium","29.4","","55.8","","75.0","","81.6","","80.7","","82.2","","85.0","","85.1","","86.5","","87.7","","88.7","a"
"110"," Belize","6.0","","17.0","","28.2","","30.7","","31.0","","33.6","","38.7","","41.6","","44.6","","47.1","","47.1","a"
"158"," Benin","0.2","","1.3","","3.1","","4.1","","4.5","","4.9","","6.0","","11.3","","12.0","","20.0","","20.0","a"
"129"," Bhutan","0.4","","3.8","","13.6","","14.4","","15.6","","22.4","","30.3","","39.8","","41.8","","48.1","","48.1","a"
"107"," Bolivia (Plurinational State of)","1.4","","5.2","","22.4","","30.0","","35.3","","37.0","","34.6","","35.6","","39.7","","43.8","","43.8","a"
"73"," Bosnia and Herzegovina","1.1","","21.3","","42.8","","43.9","","45.1","","48.5","","49.9","","52.6","","60.3","","64.9","","70.1","a"
"100"," Botswana","2.9","","3.3","","6.0","","9.0","","16.0","","30.0","","36.7","","37.3","","39.4","","47.0","","47.0","a"
"84"," Brazil","2.9","","21.0","","40.6","","45.7","","48.6","","51.0","","54.6","","58.3","","60.9","","67.5","","67.5","a"
"47"," Brunei Darussalam","9.0","","36.5","","53.0","","56.0","","60.3","","64.5","","68.8","","71.2","","90.0","","94.9","","94.6","a"
"56"," Bulgaria","5.4","","20.0","","46.2","","48.0","","51.9","","53.1","","55.5","","56.7","","59.8","","63.4","","64.8","a"
"182"," Burkina Faso","0.1","","0.5","","2.4","","3.0","","3.7","","9.1","","9.4","","14.0","","14.0","","16.0","","16.0","a"
"185"," Burundi","0.1","","0.5","","1.0","","1.1","","1.2","","1.3","","1.4","","4.9","","5.2","","2.7","","2.7","a"
"126"," Cabo Verde","1.8","","6.1","","30.0","","32.0","","34.7","","37.5","","40.3","","42.7","","50.3","","57.2","","58.2","a"
"144"," Cambodia","0.0","","0.3","","1.3","","3.1","","4.9","","6.8","","14.0","","6.4","","32.4","","32.4","","40.0","a"
"153"," Cameroon","0.3","","1.4","","4.3","","5.0","","7.5","","10.0","","16.2","","20.7","","23.2","","23.2","","23.2","a"
"16"," Canada","51.3","","71.7","","80.3","","83.0","","83.0","","85.8","","87.1","","90.0","","91.2","","91.0","","91.0","a"
"188"," Central African Republic","0.1","","0.3","","2.0","","2.2","","3.0","","3.4","","3.6","","3.8","","4.0","","4.3","","4.3","a"
"187"," Chad","0.0","","0.4","","1.7","","1.9","","2.1","","2.5","","2.9","","3.5","","5.0","","6.5","","6.5","a"
"43"," Chile","16.6","","31.2","","45.0","","52.3","","55.0","","58.0","","61.1","","76.6","","83.6","","82.3","","82.3","a"
"85"," China","1.8","","8.5","","34.3","","38.3","","42.3","","45.8","","47.9","","50.3","","53.2","","54.3","","54.3","a"
"83"," Colombia","2.2","","11.0","","36.5","","40.4","","49.0","","51.7","","52.6","","55.9","","58.1","","62.3","","62.3","a"
"156"," Comoros","0.3","","2.0","","5.1","","5.5","","6.0","","6.5","","7.0","","7.5","","7.9","","8.5","","8.5","a"
"149"," Congo","0.0","","1.5","","5.0","","5.6","","6.1","","6.6","","7.1","","7.6","","8.1","","8.7","","8.7","a"
"175"," Congo (Democratic Republic of the)","0.0","","0.2","","0.7","","1.2","","1.7","","2.2","","3.0","","3.8","","6.2","","8.6","","8.6","a"
"62"," Costa Rica","5.8","","22.1","","36.5","","39.2","","47.5","","46.0","","53.0","","59.8","","65.9","","71.4","","74.1","a"
"43"," Croatia","6.6","","33.1","","56.5","","57.8","","61.9","","66.7","","68.6","","69.8","","72.7","","67.1","","72.7","a"
"70"," Cuba","0.5","","9.7","","15.9","","16.0","","21.2","","27.9","","29.1","","37.3","","43.0","","57.1","","57.1","a"
"33"," Cyprus","15.3","","32.8","","53.0","","56.9","","60.7","","65.5","","69.3","","71.7","","75.9","","80.7","","84.4","a"
"27"," Czechia","9.8","","35.3","","68.8","","70.5","","73.4","","74.1","","74.2","","75.7","","76.5","","78.7","","80.7","a"
"162"," Côte d'Ivoire","0.2","","1.0","","2.7","","2.9","","5.0","","12.0","","19.3","","38.4","","41.2","","43.8","","46.8","a"
"10"," Denmark","39.2","","82.7","","88.7","","89.8","","92.3","","94.6","","96.0","","96.3","","97.0","","97.1","","97.6","a"
"166"," Djibouti","0.2","","1.0","","6.5","","7.0","","8.3","","9.5","","10.7","","11.9","","13.1","","55.7","","55.7","a"
"94"," Dominica","8.8","","38.5","","47.5","","48.6","","49.8","","51.0","","57.5","","65.0","","67.0","","69.6","","69.6","a"
"88"," Dominican Republic","3.7","","11.5","","31.4","","38.0","","42.3","","45.9","","49.6","","54.2","","63.9","","67.6","","74.8","a"
"86"," Ecuador","1.5","","6.0","","29.0","","31.4","","35.1","","40.3","","45.6","","48.9","","54.1","","57.3","","57.3","a"
"116"," Egypt","0.6","","12.8","","21.6","","25.6","","26.4","","29.4","","33.9","","37.8","","41.2","","45.0","","46.9","a"
"124"," El Salvador","1.2","","4.2","","15.9","","18.9","","20.3","","23.1","","24.8","","26.8","","29.0","","33.8","","33.8","a"
"145"," Equatorial Guinea","0.1","","1.1","","6.0","","11.5","","13.9","","16.4","","18.9","","21.3","","23.8","","26.2","","26.2","a"
"180"," Eritrea","0.1","","0.2","","0.6","","0.7","","0.8","","0.9","","1.0","","1.1","","1.2","","1.3","","1.3","a"
"29"," Estonia","28.6","","61.5","","74.1","","76.5","","78.4","","80.0","","84.2","","88.4","","87.2","","88.1","","89.4","a"
"138"," Eswatini (Kingdom of)","0.9","","3.7","","11.0","","18.1","","20.8","","24.7","","26.2","","25.6","","28.6","","47.0","","47.0","a"
"173"," Ethiopia","0.0","","0.2","","0.8","","1.1","","2.9","","4.6","","7.7","","13.9","","15.4","","18.6","","18.6","a"
"93"," Fiji","1.5","","8.5","","20.0","","28.0","","33.7","","35.2","","37.4","","42.5","","46.5","","50.0","","50.0","a"
"11"," Finland","37.2","","74.5","","86.9","","88.7","","89.9","","91.5","","86.5","","86.4","","87.7","","87.5","","88.9","a"
"26"," France","14.3","","42.9","","77.3","","77.8","","81.4","","81.9","","83.8","","78.0","","79.3","","80.5","","82.0","a"
"119"," Gabon","1.2","","4.9","","13.0","","18.0","","24.0","","30.5","","38.1","","45.8","","48.1","","62.0","","62.0","a"
"172"," Gambia","0.9","","3.8","","9.2","","10.9","","12.4","","14.0","","15.6","","16.5","","18.5","","19.8","","19.8","a"
"61"," Georgia","0.5","","6.1","","26.9","","31.5","","36.9","","43.3","","44.0","","47.6","","58.5","","59.7","","64.0","a"
"6"," Germany","30.2","","68.7","","82.0","","81.3","","82.3","","84.2","","86.2","","87.6","","84.2","","84.4","","89.7","a"
"138"," Ghana","0.2","","1.8","","7.8","","9.0","","10.6","","15.0","","25.5","","25.0","","34.7","","39.0","","39.0","a"
"32"," Greece","9.1","","24.0","","44.4","","51.6","","55.1","","59.9","","63.2","","66.8","","69.1","","70.5","","73.0","a"
"74"," Grenada","4.1","","20.5","","27.0","","30.0","","32.0","","35.0","","51.6","","53.8","","55.9","","59.1","","59.1","a"
"127"," Guatemala","0.7","","5.7","","10.5","","12.3","","16.0","","19.7","","23.4","","28.8","","34.5","","65.0","","65.0","a"
"178"," Guinea","0.1","","0.5","","1.0","","2.0","","3.1","","4.5","","6.4","","8.2","","9.8","","18.0","","18.0","a"
"175"," Guinea-Bissau","0.2","","1.9","","2.5","","2.7","","2.9","","3.1","","3.3","","3.5","","3.8","","3.9","","3.9","a"
"122"," Guyana","6.6","","13.2","","29.9","","30.0","","30.5","","31.0","","32.0","","34.0","","35.7","","37.3","","37.3","a"
"170"," Haiti","0.2","","6.4","","8.4","","9.0","","9.8","","10.6","","11.4","","12.2","","12.2","","12.3","","32.5","a"
"132"," Honduras","1.2","","6.5","","11.1","","15.9","","18.1","","17.8","","19.1","","27.1","","29.5","","31.7","","31.7","a"
"4"," Hong Kong, China (SAR)","27.8","","56.9","","72.0","","72.2","","72.9","","74.2","","79.9","","84.9","","87.5","","89.4","","89.4","a"
"40"," Hungary","7.0","","39.0","","65.0","","68.0","","70.6","","72.6","","75.7","","72.8","","79.3","","76.8","","76.1","a"
"4"," Iceland","44.5","","87.0","","93.4","","94.8","","96.2","","96.5","","98.2","","98.2","","98.2","","98.3","","99.0","a"
"131"," India","0.5","","2.4","","7.5","","10.1","","12.6","","15.1","","21.0","","17.0","","22.0","","34.5","","34.5","a"
"107"," Indonesia","0.9","","3.6","","10.9","","12.3","","14.5","","14.9","","17.1","","22.0","","25.4","","32.3","","39.8","a"
"70"," Iran (Islamic Republic of)","0.9","","8.1","","15.9","","19.0","","22.7","","29.9","","39.4","","45.3","","53.2","","64.0","","70.0","a"
"123"," Iraq","..","","0.9","","2.5","","5.0","","7.1","","9.2","","13.2","","58.0","","21.2","","49.4","","49.4","a"
"2"," Ireland","17.9","","41.6","","69.8","","74.9","","76.9","","78.2","","83.5","","83.5","","85.0","","84.1","","84.5","a"
"19"," Israel","20.9","","25.2","","67.5","","68.9","","70.8","","70.3","","75.0","","77.4","","79.7","","81.6","","81.6","a"
"29"," Italy","23.1","","35.0","","53.7","","54.4","","55.8","","58.5","","55.6","","58.1","","61.3","","63.1","","74.4","a"
"101"," Jamaica","3.1","","12.8","","27.7","","37.4","","33.8","","37.1","","40.4","","42.2","","44.4","","55.1","","55.1","a"
"19"," Japan","30.0","","66.9","","78.2","","79.1","","79.5","","88.2","","89.1","","91.1","","93.2","","84.6","","84.6","a"
"102"," Jordan","2.6","","12.9","","27.2","","34.9","","37.0","","41.4","","46.2","","60.1","","62.3","","66.8","","66.8","a"
"51"," Kazakhstan","0.7","","3.0","","31.6","","50.6","","61.9","","63.3","","66.0","","70.8","","74.6","","76.4","","78.9","a"
"143"," Kenya","0.3","","3.1","","7.2","","8.8","","10.5","","13.0","","16.5","","16.6","","16.6","","17.8","","17.8","a"
"134"," Kiribati","1.8","","4.0","","9.1","","10.0","","10.7","","11.5","","12.3","","13.0","","13.7","","14.6","","14.6","a"
".."," Korea (Democratic People's Rep. of)","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","b"
"23"," Korea (Republic of)","44.7","","73.5","","83.7","","83.8","","84.1","","84.8","","87.6","","89.9","","92.8","","95.1","","95.9","a"
"64"," Kuwait","6.7","","25.9","","61.4","","65.8","","70.5","","75.5","","78.7","","72.0","","78.4","","100.0","","99.6","a"
"120"," Kyrgyzstan","1.0","","10.5","","16.3","","17.5","","19.8","","23.0","","28.3","","30.2","","37.0","","38.0","","38.0","a"
"137"," Lao People's Democratic Republic","0.1","","0.8","","7.0","","9.0","","10.7","","12.5","","14.3","","18.2","","21.9","","25.5","","25.5","a"
"37"," Latvia","6.3","","46.0","","68.4","","69.8","","73.1","","75.2","","75.8","","79.2","","79.8","","80.1","","83.6","a"
"92"," Lebanon","8.0","","10.1","","43.7","","52.0","","61.3","","70.5","","73.0","","74.0","","76.1","","78.2","","78.2","a"
"165"," Lesotho","0.2","","2.6","","3.9","","7.0","","10.0","","15.0","","22.0","","25.0","","27.4","","29.0","","29.0","a"
"175"," Liberia","0.0","","0.0","","2.3","","2.5","","2.6","","3.2","","5.4","","33.0","","7.3","","8.0","","8.0","a"
"105"," Libya","0.2","","3.9","","14.0","","14.0","","14.0","","16.5","","17.8","","19.0","","20.3","","21.8","","21.8","a"
