"Internet users, female (% of female population)"
"Dimension: Mobility and communication"
"Definition: Proportion of females who use the internet."
"Source: ITU (International Telecommunication Union) (2020). ICT Facts and Figures 2020. www.itu.int/en/ITU-D/Statistics/Pages/stat/. Accessed 2 September 2020."
""
"138"," Eswatini (Kingdom of)","..",""
"67"," Seychelles","..",""
"151"," Syrian Arab Republic","..",""
"187"," Chad","..",""
"125"," Tajikistan","..",""
"111"," Turkmenistan","..",""
"141"," Timor-Leste","..",""
"104"," Tonga","..",""
"95"," Tunisia","..",""
"163"," Tanzania (United Republic of)","..",""
"159"," Uganda","..",""
"106"," Uzbekistan","..",""
"97"," Saint Vincent and the Grenadines","..",""
"117"," Viet Nam","..",""
"140"," Vanuatu","..",""
"111"," Samoa","..",""
"179"," Yemen","..",""
"114"," South Africa","..",""
"","Human Development","",""
" ","Very high human development","80.2",""
" ","High human development","..",""
" ","Medium human development","..",""
" ","Low human development","..",""
" ","Developing Countries","..",""
"","Regions","",""
" ","Arab States","49.5",""
" ","East Asia and the Pacific","..",""
" ","Europe and Central Asia","65.6",""
" ","Latin America and the Caribbean","63.4",""
" ","South Asia","..",""
" ","Sub-Saharan Africa","..",""
" ","Least Developed Countries","..",""
" ","Small Island Developing States","..",""
" ","Organization for Economic Co-operation and Development","78.5",""
" ","World","..",""
"a: Refers to a year between 2014 and 2017."
""
