Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,HRAssociation
Mali,2018,Electricity supply quality,2.932907581,1.14664537905,True,Access
Malta,2018,Electricity supply quality,4.911948204,1.2455974102,True,Access
Myanmar,2018,Electricity supply quality,,,True,Access
Montenegro,2018,Electricity supply quality,4.570213795,1.22851068975,True,Access
Mongolia,2018,Electricity supply quality,3.975337029,1.19876685145,True,Access
Mozambique,2018,Electricity supply quality,2.97186923,1.1485934615,True,Access
Mauritania,2018,Electricity supply quality,2.09340167,1.1046700835,True,Access
Mauritius,2018,Electricity supply quality,5.459154606,1.2729577303,True,Access
Malawi,2018,Electricity supply quality,1.850234628,1.0925117314,True,Access
Malaysia,2018,Electricity supply quality,5.883521557,1.29417607785,True,Access
Namibia,2018,Electricity supply quality,5.471197605,1.27355988025,True,Access
Nigeria,2018,Electricity supply quality,1.422393203,1.07111966015,True,Access
Nicaragua,2018,Electricity supply quality,4.413043499,1.2206521749500001,True,Access
Netherlands,2018,Electricity supply quality,6.779602528,1.3389801264,True,Access
Norway,2018,Electricity supply quality,6.86563158,1.3432815790000001,True,Access
Nepal,2018,Electricity supply quality,2.834329367,1.14171646835,True,Access
New Zealand,2018,Electricity supply quality,6.519242764,1.3259621382,True,Access
Oman,2018,Electricity supply quality,6.21298027,1.3106490135,True,Access
Pakistan,2018,Electricity supply quality,2.949956179,1.14749780895,True,Access
Panama,2018,Electricity supply quality,5.188526154,1.2594263077,True,Access
Peru,2018,Electricity supply quality,5.071106434,1.2535553217,True,Access
Philippines,2018,Electricity supply quality,4.211909771,1.21059548855,True,Access
Poland,2018,Electricity supply quality,5.522806644,1.2761403322,True,Access
Puerto Rico,2018,Electricity supply quality,,,True,Access
Portugal,2018,Electricity supply quality,6.22116518,1.311058259,True,Access
Paraguay,2018,Electricity supply quality,2.611359358,1.1305679679,True,Access
Qatar,2018,Electricity supply quality,6.452067852,1.3226033926,True,Access
Romania,2018,Electricity supply quality,5.158751965,1.25793759825,True,Access
Russian Federation,2018,Electricity supply quality,5.115175247,1.25575876235,True,Access
Rwanda,2018,Electricity supply quality,4.360671997,1.21803359985,True,Access
Saudi Arabia,2018,Electricity supply quality,6.157646179,1.30788230895,True,Access
Senegal,2018,Electricity supply quality,3.595326424,1.1797663212,True,Access
Singapore,2018,Electricity supply quality,6.853553295,1.34267766475,True,Access
Sierra Leone,2018,Electricity supply quality,2.575628042,1.1287814021,True,Access
El Salvador,2018,Electricity supply quality,4.824230671,1.24121153355,True,Access
Serbia,2018,Electricity supply quality,4.96603632,1.2483018160000001,True,Access
Suriname,2018,Electricity supply quality,,,True,Access
Slovak Republic,2018,Electricity supply quality,5.994334698,1.2997167349,True,Access
Slovenia,2018,Electricity supply quality,6.399738789,1.3199869394500001,True,Access
Sweden,2018,Electricity supply quality,6.559594154,1.3279797077,True,Access
Swaziland,2018,Electricity supply quality,3.74000001,1.1870000004999999,True,Access
Seychelles,2018,Electricity supply quality,4.978723526,1.2489361763,True,Access
Syrian Arab Republic,2018,Electricity supply quality,,,True,Access
Chad,2018,Electricity supply quality,2.248557091,1.11242785455,True,Access
Thailand,2018,Electricity supply quality,5.181928158,1.2590964079,True,Access
Tajikistan,2018,Electricity supply quality,3.683651924,1.1841825961999999,True,Access
Timor-Leste,2018,Electricity supply quality,,,True,Access
Trinidad and Tobago,2018,Electricity supply quality,4.985456467,1.24927282335,True,Access
Tunisia,2018,Electricity supply quality,5.097829819,1.25489149095,True,Access
Turkey,2018,Electricity supply quality,4.402481079,1.22012405395,True,Access
Tanzania,2018,Electricity supply quality,3.140009165,1.15700045825,True,Access
Uganda,2018,Electricity supply quality,3.429037571,1.17145187855,True,Access
Ukraine,2018,Electricity supply quality,4.485351563,1.22426757815,True,Access
Uruguay,2018,Electricity supply quality,6.02886343,1.3014431715,True,Access
United States,2018,Electricity supply quality,6.24075985,1.3120379925,True,Access
"Venezuela, RB",2018,Electricity supply quality,2.100899696,1.1050449848,True,Access
Vietnam,2018,Electricity supply quality,4.338947296,1.2169473648,True,Access
"Yemen, Rep.",2018,Electricity supply quality,1.189312816,1.0594656408,True,Access
South Africa,2018,Electricity supply quality,3.92000699,1.1960003495,True,Access
Zambia,2018,Electricity supply quality,2.520936728,1.1260468364,True,Access
Zimbabwe,2018,Electricity supply quality,3.089855433,1.15449277165,True,Access
