Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,HR Association
Italy,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Jamaica,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Jordan,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Japan,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Kazakhstan,2019,% of population covered by mobile 3G+ data connectivity,96.0,5.8,True,Access
Kenya,2019,% of population covered by mobile 3G+ data connectivity,95.82,5.7909999999999995,True,Access
Kyrgyzstan,2019,% of population covered by mobile 3G+ data connectivity,90.0,5.5,True,Access
Cambodia,2019,% of population covered by mobile 3G+ data connectivity,90.0,5.5,True,Access
"Korea, South",2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Kuwait,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Laos,2019,% of population covered by mobile 3G+ data connectivity,78.0,4.9,True,Access
Lebanon,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Liberia,2019,% of population covered by mobile 3G+ data connectivity,60.4,4.02,True,Access
Libya,2019,% of population covered by mobile 3G+ data connectivity,78.0,4.9,True,Access
Saint Lucia,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Sri Lanka,2019,% of population covered by mobile 3G+ data connectivity,90.0,5.5,True,Access
Lesotho,2019,% of population covered by mobile 3G+ data connectivity,99.97,5.9985,True,Access
Lithuania,2019,% of population covered by mobile 3G+ data connectivity,97.0,5.85,True,Access
Luxembourg,2019,% of population covered by mobile 3G+ data connectivity,99.2,5.96,True,Access
Latvia,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Morocco,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Moldova,2019,% of population covered by mobile 3G+ data connectivity,99.8,5.99,True,Access
Madagascar,2019,% of population covered by mobile 3G+ data connectivity,65.0,4.25,True,Access
Maldives,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Mexico,2019,% of population covered by mobile 3G+ data connectivity,97.0,5.85,True,Access
North Macedonia,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Mali,2019,% of population covered by mobile 3G+ data connectivity,71.77,4.5885,True,Access
Malta,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Myanmar,2019,% of population covered by mobile 3G+ data connectivity,90.0,5.5,True,Access
Montenegro,2019,% of population covered by mobile 3G+ data connectivity,97.0,5.85,True,Access
Mongolia,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Mozambique,2019,% of population covered by mobile 3G+ data connectivity,55.0,3.75,True,Access
Mauritania,2019,% of population covered by mobile 3G+ data connectivity,42.07,3.1035,True,Access
Mauritius,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Malawi,2019,% of population covered by mobile 3G+ data connectivity,92.01,5.6005,True,Access
Malaysia,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Namibia,2019,% of population covered by mobile 3G+ data connectivity,75.0,4.75,True,Access
Niger,2019,% of population covered by mobile 3G+ data connectivity,24.0,2.2,True,Access
Nigeria,2019,% of population covered by mobile 3G+ data connectivity,78.3,4.915,True,Access
Nicaragua,2019,% of population covered by mobile 3G+ data connectivity,85.0,5.25,True,Access
Netherlands,2019,% of population covered by mobile 3G+ data connectivity,99.5,5.975,True,Access
Norway,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Nepal,2019,% of population covered by mobile 3G+ data connectivity,59.0,3.95,True,Access
New Zealand,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Oman,2019,% of population covered by mobile 3G+ data connectivity,99.3,5.965,True,Access
Pakistan,2019,% of population covered by mobile 3G+ data connectivity,76.6,4.83,True,Access
Panama,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Peru,2019,% of population covered by mobile 3G+ data connectivity,80.0,5.0,True,Access
Philippines,2019,% of population covered by mobile 3G+ data connectivity,93.0,5.65,True,Access
Papua New Guinea,2019,% of population covered by mobile 3G+ data connectivity,67.5,4.375,True,Access
Poland,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Portugal,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Paraguay,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Qatar,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Romania,2019,% of population covered by mobile 3G+ data connectivity,99.9,5.995,True,Access
Russian Federation,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Rwanda,2019,% of population covered by mobile 3G+ data connectivity,90.3,5.515,True,Access
Saudi Arabia,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Sudan,2019,% of population covered by mobile 3G+ data connectivity,47.0,3.35,True,Access
Senegal,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Singapore,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Solomon Islands,2019,% of population covered by mobile 3G+ data connectivity,45.0,3.25,True,Access
Sierra Leone,2019,% of population covered by mobile 3G+ data connectivity,62.49,4.124499999999999,True,Access
El Salvador,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Serbia,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
South Sudan,2019,% of population covered by mobile 3G+ data connectivity,42.22,3.1109999999999998,True,Access
Suriname,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Slovakia,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Slovenia,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Sweden,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Eswatini,2019,% of population covered by mobile 3G+ data connectivity,91.0,5.55,True,Access
Chad,2019,% of population covered by mobile 3G+ data connectivity,42.0,3.1,True,Access
Togo,2019,% of population covered by mobile 3G+ data connectivity,66.44,4.322,True,Access
Thailand,2019,% of population covered by mobile 3G+ data connectivity,98.0,5.9,True,Access
Tajikistan,2019,% of population covered by mobile 3G+ data connectivity,90.0,5.5,True,Access
Timor-Leste,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Tonga,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Trinidad and Tobago,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Tunisia,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Turkey,2019,% of population covered by mobile 3G+ data connectivity,98.0,5.9,True,Access
Tanzania,2019,% of population covered by mobile 3G+ data connectivity,66.3,4.3149999999999995,True,Access
Uganda,2019,% of population covered by mobile 3G+ data connectivity,84.6,5.23,True,Access
Ukraine,2019,% of population covered by mobile 3G+ data connectivity,90.0,5.5,True,Access
Uruguay,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
United States of America,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Uzbekistan,2019,% of population covered by mobile 3G+ data connectivity,75.5,4.775,True,Access
Saint Vincent and the Grenadines,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Venezuela,2019,% of population covered by mobile 3G+ data connectivity,91.0,5.55,True,Access
Vietnam,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Vanuatu,2019,% of population covered by mobile 3G+ data connectivity,90.04,5.502000000000001,True,Access
Samoa,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Yemen,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
South Africa,2019,% of population covered by mobile 3G+ data connectivity,99.5,5.975,True,Access
Zambia,2019,% of population covered by mobile 3G+ data connectivity,71.8,4.59,True,Access
Zimbabwe,2019,% of population covered by mobile 3G+ data connectivity,84.0,5.2,True,Access
